,obj1,obj2,correlation,zscore
1,OBJ (25).png,OBJ (6).png,0.999129286020544,0.6774057287464552
2,OBJ (1).png,OBJ (6).png,0.9987503747421148,0.4165495831633014
3,OBJ (38).png,OBJ (6).png,0.9995975154348963,0.9997516900040876
4,OBJ (12).png,OBJ (6).png,0.9989950003457471,0.5849586427695694
5,OBJ (21).png,OBJ (6).png,0.998738643384911,0.40847329513269903
6,OBJ (19).png,OBJ (6).png,0.9994918744301687,0.9270246246525323
7,OBJ (18).png,OBJ (6).png,0.9995893986620382,0.9941638117780695
8,OBJ (4).png,OBJ (6).png,0.9983285525380861,0.12615201378900742
9,OBJ (41).png,OBJ (6).png,0.9980294642940093,-0.07975108538117408
10,OBJ (47).png,OBJ (6).png,0.9984573086064484,0.21479231991209732
11,OBJ (46).png,OBJ (6).png,0.999453542215626,0.9006353501533909
12,OBJ (11).png,OBJ (6).png,0.9993616448517397,0.8373699012282407
13,OBJ (16).png,OBJ (6).png,0.9992252630316134,0.743479753452081
14,OBJ (44).png,OBJ (6).png,0.9986932413345877,0.3772168915281005
15,OBJ (27).png,OBJ (6).png,0.9993188507325966,0.807908891200845
16,OBJ (14).png,OBJ (6).png,0.998832623627855,0.4731726728787418
17,OBJ (32).png,OBJ (6).png,0.999657132568501,1.0407942679587694
18,OBJ (23).png,OBJ (6).png,0.998788863050803,0.4430463184836448
19,OBJ (29).png,OBJ (6).png,0.9991532911893214,0.693931749896613
20,OBJ (7).png,OBJ (6).png,0.9965333343833855,-1.1097407003510429
21,OBJ (8).png,OBJ (6).png,0.9990943653131856,0.6533650584336154
22,OBJ (22).png,OBJ (6).png,0.9974795787513788,-0.4583120608083172
23,OBJ (42).png,OBJ (6).png,0.9994106870232122,0.8711322950909428
24,OBJ (31).png,OBJ (6).png,0.9991335742520469,0.6803579014710305
25,OBJ (45).png,OBJ (6).png,0.9975141574363412,-0.4345068510082476
26,OBJ (20).png,OBJ (6).png,0.9997154349522547,1.0809317248519805
27,OBJ (17).png,OBJ (6).png,0.9995625844973817,0.9757039768839014
28,OBJ (30).png,OBJ (6).png,0.9970800317255177,-0.7333745967597907
29,OBJ (10).png,OBJ (6).png,0.9992917642146872,0.789261558536573
30,OBJ (6).png,OBJ (25).png,0.999129286020544,0.6774057287464552
32,OBJ (1).png,OBJ (25).png,0.998204236121544,0.040568123580409475
33,OBJ (38).png,OBJ (25).png,0.9989324583295788,0.5419024705112677
34,OBJ (12).png,OBJ (25).png,0.9992696033503341,0.7740052228531484
35,OBJ (21).png,OBJ (25).png,0.9991019836348339,0.6586097849279771
36,OBJ (19).png,OBJ (25).png,0.9993559484414062,0.8334482875739079
37,OBJ (18).png,OBJ (25).png,0.9986789771696692,0.367396927614606
38,OBJ (4).png,OBJ (25).png,0.9974050958236458,-0.5095887858526031
39,OBJ (41).png,OBJ (25).png,0.9982894496320012,0.09923216752660353
40,OBJ (47).png,OBJ (25).png,0.9975720933841266,-0.3946216618086828
41,OBJ (46).png,OBJ (25).png,0.9985930659314637,0.3082525428037722
42,OBJ (11).png,OBJ (25).png,0.9989993330422678,0.5879414268109368
43,OBJ (16).png,OBJ (25).png,0.999285236309989,0.7847675142701255
44,OBJ (44).png,OBJ (25).png,0.9973651021820528,-0.5371218464599273
45,OBJ (27).png,OBJ (25).png,0.9986823553978655,0.36972262134913614
46,OBJ (14).png,OBJ (25).png,0.998845237044277,0.48185620218438663
47,OBJ (32).png,OBJ (25).png,0.9993346100370843,0.8187581629427148
48,OBJ (23).png,OBJ (25).png,0.9982912752669959,0.10048900028688032
49,OBJ (29).png,OBJ (25).png,0.9991928451148356,0.7211620941479223
50,OBJ (7).png,OBJ (25).png,0.9952304888283969,-2.006666416506573
51,OBJ (8).png,OBJ (25).png,0.999452231926265,0.8997332998535711
52,OBJ (22).png,OBJ (25).png,0.9982291411469686,0.0577136383955174
53,OBJ (42).png,OBJ (25).png,0.9985124177606407,0.25273144278154397
54,OBJ (31).png,OBJ (25).png,0.9991064732359713,0.6617005877480112
55,OBJ (45).png,OBJ (25).png,0.9985614693318137,0.2865003077359551
56,OBJ (20).png,OBJ (25).png,0.9994124008834473,0.8723121780884627
57,OBJ (17).png,OBJ (25).png,0.9993361009781505,0.8197845803706232
58,OBJ (30).png,OBJ (25).png,0.997823359580484,-0.2216409794472114
59,OBJ (10).png,OBJ (25).png,0.9985330621998905,0.2669438169097144
60,OBJ (6).png,OBJ (1).png,0.9987503747421149,0.4165495831633778
61,OBJ (25).png,OBJ (1).png,0.9982042361215441,0.04056812358048591
63,OBJ (38).png,OBJ (1).png,0.9981641971243405,0.013003838540331715
64,OBJ (12).png,OBJ (1).png,0.9987374662975756,0.4076629458958146
65,OBJ (21).png,OBJ (1).png,0.9973412045511739,-0.5535738346548099
66,OBJ (19).png,OBJ (1).png,0.998898131745817,0.5182708162404854
67,OBJ (18).png,OBJ (1).png,0.9989368471023142,0.5449238594347035
68,OBJ (4).png,OBJ (1).png,0.9958987879961642,-1.5465852446741932
69,OBJ (41).png,OBJ (1).png,0.9970401304826864,-0.7608440467379499
70,OBJ (47).png,OBJ (1).png,0.9962873108185272,-1.2791121667207894
71,OBJ (46).png,OBJ (1).png,0.9978816910809672,-0.18148347755063574
72,OBJ (11).png,OBJ (1).png,0.9975431146202133,-0.41457168464653704
73,OBJ (16).png,OBJ (1).png,0.9992462900107681,0.7579554818027945
74,OBJ (44).png,OBJ (1).png,0.997971696977287,-0.11952018289475985
75,OBJ (27).png,OBJ (1).png,0.9976951013708659,-0.3099385417131318
76,OBJ (14).png,OBJ (1).png,0.9992831141935143,0.7833065730008333
77,OBJ (32).png,OBJ (1).png,0.9986300935936395,0.33374371655607316
78,OBJ (23).png,OBJ (1).png,0.997131070358706,-0.6982377668810177
79,OBJ (29).png,OBJ (1).png,0.9975371621170074,-0.41866960184050106
80,OBJ (7).png,OBJ (1).png,0.9954227094995728,-1.8743347963124888
81,OBJ (8).png,OBJ (1).png,0.9980679224809927,-0.05327508692526059
82,OBJ (22).png,OBJ (1).png,0.9964661102778889,-1.1560201912197972
83,OBJ (42).png,OBJ (1).png,0.9980863779048929,-0.04056970965688222
84,OBJ (31).png,OBJ (1).png,0.9978587813783554,-0.1972553404114213
85,OBJ (45).png,OBJ (1).png,0.998320212105983,0.12041016049837772
86,OBJ (20).png,OBJ (1).png,0.999034565146253,0.6121964737561006
87,OBJ (17).png,OBJ (1).png,0.998694871588979,0.37833921725719266
88,OBJ (30).png,OBJ (1).png,0.9970538514819457,-0.7513980175904983
89,OBJ (10).png,OBJ (1).png,0.9985099209622308,0.25101255699855024
