model,layers,use
vonenet_r_stylized-ecoset,model.IT.conv2,
vonenet_r_stylized-ecoset,model.IT.nonlin2,
vonenet_r_stylized-ecoset,model.IT.conv3,
vonenet_r_stylized-ecoset,model.IT.nonlin3,
vonenet_r_stylized-ecoset,model.IT.output,
vonenet_r_stylized-ecoset,model.IT.norm1_0,
vonenet_r_stylized-ecoset,model.IT.norm2_0,
vonenet_r_stylized-ecoset,model.IT.norm3_0,
vonenet_r_stylized-ecoset,model.IT.norm1_1,
vonenet_r_stylized-ecoset,model.IT.norm2_1,
vonenet_r_stylized-ecoset,model.IT.norm3_1,1
vonenet_r_stylized-ecoset,model.decoder,
vonenet_r_stylized-ecoset,model.decoder.avgpool,1
vonenet_r_stylized-ecoset,model.decoder.flatten,
vonenet_r_stylized-ecoset,model.decoder.linear,
vonenet_r_stylized-ecoset,model.decoder.output,
SayCam,,
SayCam,conv1,
SayCam,bn1,
SayCam,relu,
SayCam,maxpool,
SayCam,layer1,
SayCam,layer1.0,
SayCam,layer1.0.conv1,
SayCam,layer1.0.bn1,
SayCam,layer1.0.conv2,
SayCam,layer1.0.bn2,
SayCam,layer1.0.conv3,
SayCam,layer1.0.bn3,
SayCam,layer1.0.relu,
SayCam,layer1.0.downsample,
SayCam,layer1.0.downsample.0,
SayCam,layer1.0.downsample.1,
SayCam,layer1.1,
SayCam,layer1.1.conv1,
SayCam,layer1.1.bn1,
SayCam,layer1.1.conv2,
SayCam,layer1.1.bn2,
SayCam,layer1.1.conv3,
SayCam,layer1.1.bn3,
SayCam,layer1.1.relu,
SayCam,layer1.2,
SayCam,layer1.2.conv1,
SayCam,layer1.2.bn1,
SayCam,layer1.2.conv2,
SayCam,layer1.2.bn2,
SayCam,layer1.2.conv3,
SayCam,layer1.2.bn3,
SayCam,layer1.2.relu,1
SayCam,layer2,
SayCam,layer2.0,
SayCam,layer2.0.conv1,
SayCam,layer2.0.bn1,
SayCam,layer2.0.conv2,
SayCam,layer2.0.bn2,
SayCam,layer2.0.conv3,
SayCam,layer2.0.bn3,
SayCam,layer2.0.relu,
