model,layer,classifier,train_ims,condition,animacy,obj1,obj2,acc
vit,blocks.0.ls1,KNN,150,Pert,inam,flower,lamp,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,flower,leaf,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,flower,spoon,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,flower,tree,0.425
vit,blocks.0.ls1,KNN,150,Pert,inam,flower,truck,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,flower,umbrella,0.575
vit,blocks.0.ls1,KNN,150,Pert,inam,fork,guitar,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,fork,key,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,fork,kite,0.475
vit,blocks.0.ls1,KNN,150,Pert,inam,fork,lamp,0.525
vit,blocks.0.ls1,KNN,150,Pert,inam,fork,leaf,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,fork,spoon,0.475
vit,blocks.0.ls1,KNN,150,Pert,inam,fork,tree,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,fork,truck,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,fork,umbrella,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,guitar,key,0.475
vit,blocks.0.ls1,KNN,150,Pert,inam,guitar,kite,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,guitar,lamp,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,guitar,leaf,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,guitar,spoon,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,guitar,tree,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,guitar,truck,0.575
vit,blocks.0.ls1,KNN,150,Pert,inam,guitar,umbrella,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,key,kite,0.475
vit,blocks.0.ls1,KNN,150,Pert,inam,key,lamp,0.475
vit,blocks.0.ls1,KNN,150,Pert,inam,key,leaf,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,key,spoon,0.575
vit,blocks.0.ls1,KNN,150,Pert,inam,key,tree,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,key,truck,0.525
vit,blocks.0.ls1,KNN,150,Pert,inam,key,umbrella,0.475
vit,blocks.0.ls1,KNN,150,Pert,inam,kite,lamp,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,kite,leaf,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,kite,spoon,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,kite,tree,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,kite,truck,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,kite,umbrella,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,lamp,leaf,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,lamp,spoon,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,lamp,tree,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,lamp,truck,0.525
vit,blocks.0.ls1,KNN,150,Pert,inam,lamp,umbrella,0.525
vit,blocks.0.ls1,KNN,150,Pert,inam,leaf,spoon,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,leaf,tree,0.475
vit,blocks.0.ls1,KNN,150,Pert,inam,leaf,truck,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,leaf,umbrella,0.475
vit,blocks.0.ls1,KNN,150,Pert,inam,spoon,tree,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,spoon,truck,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,spoon,umbrella,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,tree,truck,0.475
vit,blocks.0.ls1,KNN,150,Pert,inam,tree,umbrella,0.5
vit,blocks.0.ls1,KNN,150,Pert,inam,truck,umbrella,0.575
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,bird,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,butterfly,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,cat,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,cow,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,dog,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,duck,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,elephant,0.475
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,fish,0.55
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,foot,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,frog,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,hand,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,rabbit,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,squirrel,0.525
vit,blocks.0.ls1,KNN,150,Pert,anim,bear,turtle,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,butterfly,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,cat,0.5
vit,blocks.0.ls1,KNN,150,Pert,anim,bird,cow,0.5
