model,obj1,obj2,condition,train_acc,acc
cornets_pretrained,airplane,apple,Pert,1.0,0.55
cornets_pretrained,airplane,bike,Pert,1.0,0.45
cornets_pretrained,airplane,chair,Pert,0.998,0.35
cornets_pretrained,airplane,flower,Pert,0.9970000000000001,0.5
cornets_pretrained,airplane,fork,Pert,0.999,0.2
cornets_pretrained,airplane,guitar,Pert,0.9970000000000001,0.4
cornets_pretrained,airplane,key,Pert,0.998,0.6
cornets_pretrained,airplane,kite,Pert,1.0,0.3
cornets_pretrained,airplane,lamp,Pert,0.998,0.45
cornets_pretrained,airplane,leaf,Pert,0.994,0.55
cornets_pretrained,airplane,spoon,Pert,0.998,0.45
cornets_pretrained,airplane,tree,Pert,0.994,0.4
cornets_pretrained,airplane,truck,Pert,1.0,0.6
cornets_pretrained,airplane,umbrella,Pert,0.998,0.45
cornets_pretrained,apple,airplane,Pert,0.999,0.55
cornets_pretrained,apple,bike,Pert,1.0,0.45
cornets_pretrained,apple,chair,Pert,0.999,0.45
cornets_pretrained,apple,flower,Pert,0.998,0.7
cornets_pretrained,apple,fork,Pert,1.0,0.65
cornets_pretrained,apple,guitar,Pert,1.0,0.45
cornets_pretrained,apple,key,Pert,0.9970000000000001,0.5
cornets_pretrained,apple,kite,Pert,1.0,0.55
cornets_pretrained,apple,lamp,Pert,0.9970000000000001,0.5
cornets_pretrained,apple,leaf,Pert,0.993,0.6
cornets_pretrained,apple,spoon,Pert,0.994,0.5
cornets_pretrained,apple,tree,Pert,0.998,0.45
cornets_pretrained,apple,truck,Pert,0.999,0.5
cornets_pretrained,apple,umbrella,Pert,0.999,0.6
cornets_pretrained,bike,airplane,Pert,1.0,0.6
cornets_pretrained,bike,apple,Pert,1.0,0.55
cornets_pretrained,bike,chair,Pert,0.9970000000000001,0.35
cornets_pretrained,bike,flower,Pert,0.999,0.5
cornets_pretrained,bike,fork,Pert,1.0,0.55
cornets_pretrained,bike,guitar,Pert,0.999,0.6
cornets_pretrained,bike,key,Pert,1.0,0.7
cornets_pretrained,bike,kite,Pert,0.998,0.45
cornets_pretrained,bike,lamp,Pert,1.0,0.75
cornets_pretrained,bike,leaf,Pert,0.994,0.55
cornets_pretrained,bike,spoon,Pert,0.999,0.5
cornets_pretrained,bike,tree,Pert,1.0,0.45
cornets_pretrained,bike,truck,Pert,0.9970000000000001,0.45
cornets_pretrained,bike,umbrella,Pert,0.9970000000000001,0.45
cornets_pretrained,chair,airplane,Pert,0.999,0.5
cornets_pretrained,chair,apple,Pert,0.9960000000000001,0.65
cornets_pretrained,chair,bike,Pert,0.999,0.35
cornets_pretrained,chair,flower,Pert,0.9959999999999999,0.45
cornets_pretrained,chair,fork,Pert,0.999,0.5
cornets_pretrained,chair,guitar,Pert,0.998,0.5
cornets_pretrained,chair,key,Pert,1.0,0.35
cornets_pretrained,chair,kite,Pert,0.999,0.25
cornets_pretrained,chair,lamp,Pert,0.999,0.65
cornets_pretrained,chair,leaf,Pert,0.998,0.5
cornets_pretrained,chair,spoon,Pert,0.998,0.2
cornets_pretrained,chair,tree,Pert,0.9959999999999999,0.6
cornets_pretrained,chair,truck,Pert,0.9949999999999999,0.5
cornets_pretrained,chair,umbrella,Pert,1.0,0.3
cornets_pretrained,flower,airplane,Pert,0.998,0.55
cornets_pretrained,flower,apple,Pert,0.999,0.4
cornets_pretrained,flower,bike,Pert,0.999,0.45
cornets_pretrained,flower,chair,Pert,1.0,0.4
cornets_pretrained,flower,fork,Pert,0.999,0.8
cornets_pretrained,flower,guitar,Pert,0.999,0.65
cornets_pretrained,flower,key,Pert,1.0,0.45
cornets_pretrained,flower,kite,Pert,0.999,0.5
cornets_pretrained,flower,lamp,Pert,0.999,0.35
cornets_pretrained,flower,leaf,Pert,0.994,0.55
cornets_pretrained,flower,spoon,Pert,0.999,0.3
cornets_pretrained,flower,tree,Pert,0.998,0.5
cornets_pretrained,flower,truck,Pert,0.9969999999999999,0.45
cornets_pretrained,flower,umbrella,Pert,0.999,0.5
cornets_pretrained,fork,airplane,Pert,1.0,0.35
cornets_pretrained,fork,apple,Pert,0.998,0.5
cornets_pretrained,fork,bike,Pert,0.999,0.5
cornets_pretrained,fork,chair,Pert,0.9960000000000001,0.5
cornets_pretrained,fork,flower,Pert,0.999,0.7
cornets_pretrained,fork,guitar,Pert,0.9950000000000001,0.5
