model,layer,classifier,train_ims,condition,animacy,obj1,obj2,acc
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,apple,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,bicycle,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,chair,0.525
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,flower,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,fork,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,guitar,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,key,0.45
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,kite,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,lamp,0.65
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,leaf,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,spoon,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,tree,0.45
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,truck,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,airplane,umbrella,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,bicycle,0.6
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,chair,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,flower,0.6
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,fork,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,guitar,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,key,0.525
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,kite,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,lamp,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,leaf,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,spoon,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,tree,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,truck,0.425
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,apple,umbrella,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,chair,0.525
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,flower,0.525
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,fork,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,guitar,0.45
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,key,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,kite,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,lamp,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,leaf,0.425
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,spoon,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,tree,0.525
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,truck,0.45
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,bicycle,umbrella,0.55
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,flower,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,fork,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,guitar,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,key,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,kite,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,lamp,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,leaf,0.55
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,spoon,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,tree,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,truck,0.425
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,chair,umbrella,0.525
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,flower,fork,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,flower,guitar,0.55
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,flower,key,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,flower,kite,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,flower,lamp,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,flower,leaf,0.525
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,flower,spoon,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,flower,tree,0.55
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,flower,truck,0.4
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,flower,umbrella,0.425
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,fork,guitar,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,fork,key,0.575
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,fork,kite,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,fork,lamp,0.7
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,fork,leaf,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,fork,spoon,0.625
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,fork,tree,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,fork,truck,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,fork,umbrella,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,guitar,key,0.225
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,guitar,kite,0.3
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,guitar,lamp,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,guitar,leaf,0.4
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,guitar,spoon,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,guitar,tree,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,guitar,truck,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,guitar,umbrella,0.55
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,key,kite,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,key,lamp,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,key,leaf,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,key,spoon,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,key,tree,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,key,truck,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,key,umbrella,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,kite,lamp,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,kite,leaf,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,kite,spoon,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,kite,tree,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,kite,truck,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,kite,umbrella,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,lamp,leaf,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,lamp,spoon,0.55
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,lamp,tree,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,lamp,truck,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,lamp,umbrella,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,leaf,spoon,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,leaf,tree,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,leaf,truck,0.325
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,leaf,umbrella,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,spoon,tree,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,spoon,truck,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,spoon,umbrella,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,tree,truck,0.35
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,tree,umbrella,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,inam,truck,umbrella,0.425
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,bird,0.6
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,butterfly,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,cat,0.425
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,cow,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,dog,0.45
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,duck,0.65
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,elephant,0.775
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,fish,0.725
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,foot,0.55
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,frog,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,hand,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,rabbit,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,squirrel,0.65
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bear,turtle,0.55
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,butterfly,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,cat,0.425
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,cow,0.45
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,dog,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,duck,0.475
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,elephant,0.6
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,fish,0.6
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,foot,0.4
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,frog,0.525
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,hand,0.45
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,rabbit,0.4
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,squirrel,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,bird,turtle,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,butterfly,cat,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,butterfly,cow,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,butterfly,dog,0.525
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,butterfly,duck,0.5
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,butterfly,elephant,0.525
vit_dinov2,blocks.0.ls1,KNN,150,IC,anim,butterfly,fish,0.5
