model,classifier,train_ims,condition,animacy,obj1,obj2,acc
SayCam,Ridge,50,Pert,inam,airplane,apple,0.95
SayCam,Ridge,50,Pert,inam,airplane,bike,0.725
SayCam,Ridge,50,Pert,inam,airplane,chair,0.525
SayCam,Ridge,50,Pert,inam,airplane,flower,0.5
SayCam,Ridge,50,Pert,inam,airplane,fork,0.55
SayCam,Ridge,50,Pert,inam,airplane,guitar,0.5
SayCam,Ridge,50,Pert,inam,airplane,key,0.85
SayCam,Ridge,50,Pert,inam,airplane,kite,0.525
SayCam,Ridge,50,Pert,inam,airplane,lamp,0.875
SayCam,Ridge,50,Pert,inam,airplane,leaf,0.775
SayCam,Ridge,50,Pert,inam,airplane,spoon,0.875
SayCam,Ridge,50,Pert,inam,airplane,tree,0.725
SayCam,Ridge,50,Pert,inam,airplane,truck,0.7
SayCam,Ridge,50,Pert,inam,airplane,umbrella,0.675
SayCam,Ridge,50,Pert,inam,apple,airplane,0.925
SayCam,Ridge,50,Pert,inam,apple,bike,0.5
SayCam,Ridge,50,Pert,inam,apple,chair,0.625
SayCam,Ridge,50,Pert,inam,apple,flower,0.8
SayCam,Ridge,50,Pert,inam,apple,fork,0.65
SayCam,Ridge,50,Pert,inam,apple,guitar,0.8
SayCam,Ridge,50,Pert,inam,apple,key,0.825
SayCam,Ridge,50,Pert,inam,apple,kite,0.575
SayCam,Ridge,50,Pert,inam,apple,lamp,0.75
SayCam,Ridge,50,Pert,inam,apple,leaf,0.425
SayCam,Ridge,50,Pert,inam,apple,spoon,0.6
SayCam,Ridge,50,Pert,inam,apple,tree,0.75
SayCam,Ridge,50,Pert,inam,apple,truck,0.975
SayCam,Ridge,50,Pert,inam,apple,umbrella,0.725
SayCam,Ridge,50,Pert,inam,bike,airplane,0.725
SayCam,Ridge,50,Pert,inam,bike,apple,0.475
SayCam,Ridge,50,Pert,inam,bike,chair,0.325
SayCam,Ridge,50,Pert,inam,bike,flower,0.5
SayCam,Ridge,50,Pert,inam,bike,fork,0.625
SayCam,Ridge,50,Pert,inam,bike,guitar,0.175
SayCam,Ridge,50,Pert,inam,bike,key,0.425
SayCam,Ridge,50,Pert,inam,bike,kite,0.75
SayCam,Ridge,50,Pert,inam,bike,lamp,0.725
SayCam,Ridge,50,Pert,inam,bike,leaf,0.525
SayCam,Ridge,50,Pert,inam,bike,spoon,0.525
SayCam,Ridge,50,Pert,inam,bike,tree,0.925
SayCam,Ridge,50,Pert,inam,bike,truck,0.8
SayCam,Ridge,50,Pert,inam,bike,umbrella,0.65
SayCam,Ridge,50,Pert,inam,chair,airplane,0.55
SayCam,Ridge,50,Pert,inam,chair,apple,0.7
SayCam,Ridge,50,Pert,inam,chair,bike,0.475
SayCam,Ridge,50,Pert,inam,chair,flower,0.875
SayCam,Ridge,50,Pert,inam,chair,fork,0.75
SayCam,Ridge,50,Pert,inam,chair,guitar,0.35
SayCam,Ridge,50,Pert,inam,chair,key,0.525
SayCam,Ridge,50,Pert,inam,chair,kite,0.275
SayCam,Ridge,50,Pert,inam,chair,lamp,0.425
SayCam,Ridge,50,Pert,inam,chair,leaf,0.75
SayCam,Ridge,50,Pert,inam,chair,spoon,0.9
SayCam,Ridge,50,Pert,inam,chair,tree,0.575
SayCam,Ridge,50,Pert,inam,chair,truck,0.45
SayCam,Ridge,50,Pert,inam,chair,umbrella,0.375
SayCam,Ridge,50,Pert,inam,flower,airplane,0.475
SayCam,Ridge,50,Pert,inam,flower,apple,0.825
SayCam,Ridge,50,Pert,inam,flower,bike,0.65
SayCam,Ridge,50,Pert,inam,flower,chair,0.875
SayCam,Ridge,50,Pert,inam,flower,fork,0.575
SayCam,Ridge,50,Pert,inam,flower,guitar,0.475
SayCam,Ridge,50,Pert,inam,flower,key,0.5
SayCam,Ridge,50,Pert,inam,flower,kite,0.55
SayCam,Ridge,50,Pert,inam,flower,lamp,0.675
SayCam,Ridge,50,Pert,inam,flower,leaf,0.575
SayCam,Ridge,50,Pert,inam,flower,spoon,0.85
SayCam,Ridge,50,Pert,inam,flower,tree,0.575
SayCam,Ridge,50,Pert,inam,flower,truck,0.8
SayCam,Ridge,50,Pert,inam,flower,umbrella,0.7
SayCam,Ridge,50,Pert,inam,fork,airplane,0.6
SayCam,Ridge,50,Pert,inam,fork,apple,0.6
SayCam,Ridge,50,Pert,inam,fork,bike,0.575
SayCam,Ridge,50,Pert,inam,fork,chair,0.775
SayCam,Ridge,50,Pert,inam,fork,flower,0.6
SayCam,Ridge,50,Pert,inam,fork,guitar,0.475
SayCam,Ridge,50,Pert,inam,fork,key,0.675
SayCam,Ridge,50,Pert,inam,fork,kite,0.625
SayCam,Ridge,50,Pert,inam,fork,lamp,0.6
SayCam,Ridge,50,Pert,inam,fork,leaf,0.45
SayCam,Ridge,50,Pert,inam,fork,spoon,0.4
SayCam,Ridge,50,Pert,inam,fork,tree,0.625
SayCam,Ridge,50,Pert,inam,fork,truck,1.0
SayCam,Ridge,50,Pert,inam,fork,umbrella,0.55
SayCam,Ridge,50,Pert,inam,guitar,airplane,0.6
SayCam,Ridge,50,Pert,inam,guitar,apple,0.7
SayCam,Ridge,50,Pert,inam,guitar,bike,0.15
SayCam,Ridge,50,Pert,inam,guitar,chair,0.35
SayCam,Ridge,50,Pert,inam,guitar,flower,0.675
SayCam,Ridge,50,Pert,inam,guitar,fork,0.525
SayCam,Ridge,50,Pert,inam,guitar,key,0.6
SayCam,Ridge,50,Pert,inam,guitar,kite,0.25
SayCam,Ridge,50,Pert,inam,guitar,lamp,0.45
SayCam,Ridge,50,Pert,inam,guitar,leaf,0.5
SayCam,Ridge,50,Pert,inam,guitar,spoon,0.65
SayCam,Ridge,50,Pert,inam,guitar,tree,0.65
SayCam,Ridge,50,Pert,inam,guitar,truck,1.0
SayCam,Ridge,50,Pert,inam,guitar,umbrella,0.25
SayCam,Ridge,50,Pert,inam,key,airplane,0.825
SayCam,Ridge,50,Pert,inam,key,apple,0.775
SayCam,Ridge,50,Pert,inam,key,bike,0.425
SayCam,Ridge,50,Pert,inam,key,chair,0.525
SayCam,Ridge,50,Pert,inam,key,flower,0.575
SayCam,Ridge,50,Pert,inam,key,fork,0.65
SayCam,Ridge,50,Pert,inam,key,guitar,0.75
SayCam,Ridge,50,Pert,inam,key,kite,0.375
SayCam,Ridge,50,Pert,inam,key,lamp,0.4
SayCam,Ridge,50,Pert,inam,key,leaf,0.575
SayCam,Ridge,50,Pert,inam,key,spoon,0.975
SayCam,Ridge,50,Pert,inam,key,tree,0.7
SayCam,Ridge,50,Pert,inam,key,truck,1.0
SayCam,Ridge,50,Pert,inam,key,umbrella,0.475
