model,classifier,train_ims,condition,animacy,obj1,obj2,acc
resnet_100m,SVM,150,Pert,inam,airplane,apple,1.0
resnet_100m,SVM,150,Pert,inam,airplane,bicycle,1.0
resnet_100m,SVM,150,Pert,inam,airplane,chair,1.0
resnet_100m,SVM,150,Pert,inam,airplane,flower,1.0
resnet_100m,SVM,150,Pert,inam,airplane,fork,1.0
resnet_100m,SVM,150,Pert,inam,airplane,guitar,1.0
resnet_100m,SVM,150,Pert,inam,airplane,key,0.825
resnet_100m,SVM,150,Pert,inam,airplane,kite,0.775
resnet_100m,SVM,150,Pert,inam,airplane,lamp,1.0
resnet_100m,SVM,150,Pert,inam,airplane,leaf,1.0
resnet_100m,SVM,150,Pert,inam,airplane,spoon,1.0
resnet_100m,SVM,150,Pert,inam,airplane,tree,1.0
resnet_100m,SVM,150,Pert,inam,airplane,truck,0.975
resnet_100m,SVM,150,Pert,inam,airplane,umbrella,0.5
resnet_100m,SVM,150,Pert,inam,apple,airplane,1.0
resnet_100m,SVM,150,Pert,inam,apple,bicycle,0.75
resnet_100m,SVM,150,Pert,inam,apple,chair,0.7
resnet_100m,SVM,150,Pert,inam,apple,flower,0.75
resnet_100m,SVM,150,Pert,inam,apple,fork,0.5
resnet_100m,SVM,150,Pert,inam,apple,guitar,0.625
resnet_100m,SVM,150,Pert,inam,apple,key,0.525
resnet_100m,SVM,150,Pert,inam,apple,kite,0.95
resnet_100m,SVM,150,Pert,inam,apple,lamp,0.5
resnet_100m,SVM,150,Pert,inam,apple,leaf,0.525
resnet_100m,SVM,150,Pert,inam,apple,spoon,0.5
resnet_100m,SVM,150,Pert,inam,apple,tree,0.85
resnet_100m,SVM,150,Pert,inam,apple,truck,1.0
resnet_100m,SVM,150,Pert,inam,apple,umbrella,0.5
resnet_100m,SVM,150,Pert,inam,bicycle,airplane,1.0
resnet_100m,SVM,150,Pert,inam,bicycle,apple,0.675
resnet_100m,SVM,150,Pert,inam,bicycle,chair,0.975
resnet_100m,SVM,150,Pert,inam,bicycle,flower,1.0
resnet_100m,SVM,150,Pert,inam,bicycle,fork,1.0
resnet_100m,SVM,150,Pert,inam,bicycle,guitar,0.85
resnet_100m,SVM,150,Pert,inam,bicycle,key,0.925
resnet_100m,SVM,150,Pert,inam,bicycle,kite,0.95
resnet_100m,SVM,150,Pert,inam,bicycle,lamp,0.9
resnet_100m,SVM,150,Pert,inam,bicycle,leaf,1.0
resnet_100m,SVM,150,Pert,inam,bicycle,spoon,0.775
resnet_100m,SVM,150,Pert,inam,bicycle,tree,1.0
resnet_100m,SVM,150,Pert,inam,bicycle,truck,0.975
resnet_100m,SVM,150,Pert,inam,bicycle,umbrella,0.5
resnet_100m,SVM,150,Pert,inam,chair,airplane,0.95
resnet_100m,SVM,150,Pert,inam,chair,apple,0.8
resnet_100m,SVM,150,Pert,inam,chair,bicycle,0.95
resnet_100m,SVM,150,Pert,inam,chair,flower,1.0
resnet_100m,SVM,150,Pert,inam,chair,fork,0.5
resnet_100m,SVM,150,Pert,inam,chair,guitar,0.55
resnet_100m,SVM,150,Pert,inam,chair,key,0.925
resnet_100m,SVM,150,Pert,inam,chair,kite,0.925
resnet_100m,SVM,150,Pert,inam,chair,lamp,0.55
resnet_100m,SVM,150,Pert,inam,chair,leaf,1.0
resnet_100m,SVM,150,Pert,inam,chair,spoon,0.85
resnet_100m,SVM,150,Pert,inam,chair,tree,1.0
resnet_100m,SVM,150,Pert,inam,chair,truck,0.675
resnet_100m,SVM,150,Pert,inam,chair,umbrella,0.5
resnet_100m,SVM,150,Pert,inam,flower,airplane,1.0
resnet_100m,SVM,150,Pert,inam,flower,apple,0.7
resnet_100m,SVM,150,Pert,inam,flower,bicycle,1.0
resnet_100m,SVM,150,Pert,inam,flower,chair,1.0
resnet_100m,SVM,150,Pert,inam,flower,fork,0.5
resnet_100m,SVM,150,Pert,inam,flower,guitar,1.0
resnet_100m,SVM,150,Pert,inam,flower,key,0.975
resnet_100m,SVM,150,Pert,inam,flower,kite,0.525
resnet_100m,SVM,150,Pert,inam,flower,lamp,0.85
resnet_100m,SVM,150,Pert,inam,flower,leaf,0.35
resnet_100m,SVM,150,Pert,inam,flower,spoon,0.575
resnet_100m,SVM,150,Pert,inam,flower,tree,1.0
resnet_100m,SVM,150,Pert,inam,flower,truck,1.0
resnet_100m,SVM,150,Pert,inam,flower,umbrella,0.975
resnet_100m,SVM,150,Pert,inam,fork,airplane,1.0
resnet_100m,SVM,150,Pert,inam,fork,apple,0.5
resnet_100m,SVM,150,Pert,inam,fork,bicycle,1.0
resnet_100m,SVM,150,Pert,inam,fork,chair,0.5
resnet_100m,SVM,150,Pert,inam,fork,flower,0.55
resnet_100m,SVM,150,Pert,inam,fork,guitar,0.95
resnet_100m,SVM,150,Pert,inam,fork,key,0.675
resnet_100m,SVM,150,Pert,inam,fork,kite,0.525
resnet_100m,SVM,150,Pert,inam,fork,lamp,0.95
resnet_100m,SVM,150,Pert,inam,fork,leaf,1.0
resnet_100m,SVM,150,Pert,inam,fork,spoon,0.5
resnet_100m,SVM,150,Pert,inam,fork,tree,1.0
resnet_100m,SVM,150,Pert,inam,fork,truck,0.725
resnet_100m,SVM,150,Pert,inam,fork,umbrella,0.5
resnet_100m,SVM,150,Pert,inam,guitar,airplane,1.0
resnet_100m,SVM,150,Pert,inam,guitar,apple,0.7
resnet_100m,SVM,150,Pert,inam,guitar,bicycle,0.9
resnet_100m,SVM,150,Pert,inam,guitar,chair,0.55
resnet_100m,SVM,150,Pert,inam,guitar,flower,1.0
resnet_100m,SVM,150,Pert,inam,guitar,fork,0.8
resnet_100m,SVM,150,Pert,inam,guitar,key,0.425
resnet_100m,SVM,150,Pert,inam,guitar,kite,1.0
resnet_100m,SVM,150,Pert,inam,guitar,lamp,0.725
resnet_100m,SVM,150,Pert,inam,guitar,leaf,1.0
resnet_100m,SVM,150,Pert,inam,guitar,spoon,0.8
resnet_100m,SVM,150,Pert,inam,guitar,tree,1.0
resnet_100m,SVM,150,Pert,inam,guitar,truck,1.0
resnet_100m,SVM,150,Pert,inam,guitar,umbrella,0.5
resnet_100m,SVM,150,Pert,inam,key,airplane,0.85
resnet_100m,SVM,150,Pert,inam,key,apple,0.525
resnet_100m,SVM,150,Pert,inam,key,bicycle,0.95
resnet_100m,SVM,150,Pert,inam,key,chair,0.9
resnet_100m,SVM,150,Pert,inam,key,flower,1.0
resnet_100m,SVM,150,Pert,inam,key,fork,0.7
resnet_100m,SVM,150,Pert,inam,key,guitar,0.5
resnet_100m,SVM,150,Pert,inam,key,kite,1.0
resnet_100m,SVM,150,Pert,inam,key,lamp,0.775
resnet_100m,SVM,150,Pert,inam,key,leaf,0.825
resnet_100m,SVM,150,Pert,inam,key,spoon,0.975
resnet_100m,SVM,150,Pert,inam,key,tree,0.95
resnet_100m,SVM,150,Pert,inam,key,truck,1.0
resnet_100m,SVM,150,Pert,inam,key,umbrella,0.5
resnet_100m,SVM,150,Pert,inam,kite,airplane,0.75
resnet_100m,SVM,150,Pert,inam,kite,apple,0.85
resnet_100m,SVM,150,Pert,inam,kite,bicycle,0.975
resnet_100m,SVM,150,Pert,inam,kite,chair,0.875
resnet_100m,SVM,150,Pert,inam,kite,flower,0.6
resnet_100m,SVM,150,Pert,inam,kite,fork,0.5
resnet_100m,SVM,150,Pert,inam,kite,guitar,1.0
resnet_100m,SVM,150,Pert,inam,kite,key,0.975
resnet_100m,SVM,150,Pert,inam,kite,lamp,1.0
resnet_100m,SVM,150,Pert,inam,kite,leaf,0.925
resnet_100m,SVM,150,Pert,inam,kite,spoon,1.0
resnet_100m,SVM,150,Pert,inam,kite,tree,1.0
resnet_100m,SVM,150,Pert,inam,kite,truck,1.0
resnet_100m,SVM,150,Pert,inam,kite,umbrella,0.5
resnet_100m,SVM,150,Pert,inam,lamp,airplane,0.95
resnet_100m,SVM,150,Pert,inam,lamp,apple,0.5
resnet_100m,SVM,150,Pert,inam,lamp,bicycle,0.925
resnet_100m,SVM,150,Pert,inam,lamp,chair,0.525
resnet_100m,SVM,150,Pert,inam,lamp,flower,0.95
resnet_100m,SVM,150,Pert,inam,lamp,fork,0.95
resnet_100m,SVM,150,Pert,inam,lamp,guitar,0.625
resnet_100m,SVM,150,Pert,inam,lamp,key,0.9
resnet_100m,SVM,150,Pert,inam,lamp,kite,1.0
resnet_100m,SVM,150,Pert,inam,lamp,leaf,1.0
resnet_100m,SVM,150,Pert,inam,lamp,spoon,1.0
resnet_100m,SVM,150,Pert,inam,lamp,tree,1.0
resnet_100m,SVM,150,Pert,inam,lamp,truck,0.8
resnet_100m,SVM,150,Pert,inam,lamp,umbrella,0.5
resnet_100m,SVM,150,Pert,inam,leaf,airplane,1.0
resnet_100m,SVM,150,Pert,inam,leaf,apple,0.5
resnet_100m,SVM,150,Pert,inam,leaf,bicycle,1.0
resnet_100m,SVM,150,Pert,inam,leaf,chair,1.0
resnet_100m,SVM,150,Pert,inam,leaf,flower,0.325
resnet_100m,SVM,150,Pert,inam,leaf,fork,1.0
resnet_100m,SVM,150,Pert,inam,leaf,guitar,1.0
resnet_100m,SVM,150,Pert,inam,leaf,key,0.925
resnet_100m,SVM,150,Pert,inam,leaf,kite,0.9
resnet_100m,SVM,150,Pert,inam,leaf,lamp,1.0
