model,classifier,train_ims,condition,animacy,obj1,obj2,acc
resnet50,NB,5,Pert,inam,airplane,apple,0.55
resnet50,NB,5,Pert,inam,airplane,bicycle,0.5
resnet50,NB,5,Pert,inam,airplane,chair,0.5
resnet50,NB,5,Pert,inam,airplane,flower,0.525
resnet50,NB,5,Pert,inam,airplane,fork,0.5
resnet50,NB,5,Pert,inam,airplane,guitar,0.55
resnet50,NB,5,Pert,inam,airplane,key,0.475
resnet50,NB,5,Pert,inam,airplane,kite,0.5
resnet50,NB,5,Pert,inam,airplane,lamp,0.5
resnet50,NB,5,Pert,inam,airplane,leaf,0.55
resnet50,NB,5,Pert,inam,airplane,spoon,0.475
resnet50,NB,5,Pert,inam,airplane,tree,0.475
resnet50,NB,5,Pert,inam,airplane,truck,0.5
resnet50,NB,5,Pert,inam,airplane,umbrella,0.475
resnet50,NB,5,Pert,inam,apple,airplane,0.4
resnet50,NB,5,Pert,inam,apple,bicycle,0.575
resnet50,NB,5,Pert,inam,apple,chair,0.5
resnet50,NB,5,Pert,inam,apple,flower,0.425
resnet50,NB,5,Pert,inam,apple,fork,0.5
resnet50,NB,5,Pert,inam,apple,guitar,0.6
resnet50,NB,5,Pert,inam,apple,key,0.5
resnet50,NB,5,Pert,inam,apple,kite,0.55
resnet50,NB,5,Pert,inam,apple,lamp,0.5
resnet50,NB,5,Pert,inam,apple,leaf,0.55
resnet50,NB,5,Pert,inam,apple,spoon,0.475
resnet50,NB,5,Pert,inam,apple,tree,0.55
resnet50,NB,5,Pert,inam,apple,truck,0.55
resnet50,NB,5,Pert,inam,apple,umbrella,0.5
resnet50,NB,5,Pert,inam,bicycle,airplane,0.375
resnet50,NB,5,Pert,inam,bicycle,apple,0.5
resnet50,NB,5,Pert,inam,bicycle,chair,0.4
resnet50,NB,5,Pert,inam,bicycle,flower,0.55
resnet50,NB,5,Pert,inam,bicycle,fork,0.425
resnet50,NB,5,Pert,inam,bicycle,guitar,0.5
resnet50,NB,5,Pert,inam,bicycle,key,0.525
resnet50,NB,5,Pert,inam,bicycle,kite,0.525
resnet50,NB,5,Pert,inam,bicycle,lamp,0.45
resnet50,NB,5,Pert,inam,bicycle,leaf,0.4
resnet50,NB,5,Pert,inam,bicycle,spoon,0.5
resnet50,NB,5,Pert,inam,bicycle,tree,0.625
resnet50,NB,5,Pert,inam,bicycle,truck,0.5
resnet50,NB,5,Pert,inam,bicycle,umbrella,0.4
resnet50,NB,5,Pert,inam,chair,airplane,0.5
resnet50,NB,5,Pert,inam,chair,apple,0.45
resnet50,NB,5,Pert,inam,chair,bicycle,0.525
resnet50,NB,5,Pert,inam,chair,flower,0.5
resnet50,NB,5,Pert,inam,chair,fork,0.575
resnet50,NB,5,Pert,inam,chair,guitar,0.5
