model,layer,classifier,train_ims,condition,animacy,obj1,obj2,acc
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,apple,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,bicycle,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,chair,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,flower,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,fork,0.525
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,guitar,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,key,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,kite,0.575
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,lamp,0.625
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,leaf,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,spoon,0.625
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,tree,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,truck,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,airplane,umbrella,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,bicycle,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,chair,0.525
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,flower,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,fork,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,guitar,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,key,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,kite,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,lamp,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,leaf,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,spoon,0.5
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,tree,0.475
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,truck,0.525
clip_vit,visual.transformer.resblocks.0.ln_2,KNN,150,Pert,inam,apple,umbrella,0.525
