sub,sex,age,age_group,cond,acc_0.1,acc_0.15,acc_0.2,acc_0.25,acc_0.3,rt_0.1,rt_0.15,rt_0.2,rt_0.25,rt_0.3,fast,slow
6000,F,5.93,5yrold,deleted,0.6923076923076923,1.0,1.0,0.625,0.6666666666666666,2.2410705555555555,3.459395,4.719155,4.265791,5.7505575,0.8461538461538461,0.8125
6001,M,5.34,5yrold,complete,0.8571428571428571,0.75,1.0,1.0,1.0,7.7799129166666665,6.317155,3.647546666666667,6.800161666666667,3.5730775,0.8035714285714286,1.0
6002,F,5.09,5yrold,perturbed,0.6842105263157895,1.0,1.0,1.0,1.0,7.291303461538462,3.982898333333333,3.91332,6.760565,8.22823,0.8421052631578947,1.0
6003,F,5.49,5yrold,deleted,1.0,0.5714285714285714,0.7272727272727273,1.0,0.625,6.73286,6.9483749999999995,7.228905625,6.402383333333333,7.710032,0.7857142857142857,0.8636363636363636
6004,M,5.06,5yrold,complete,0.8333333333333334,1.0,0.75,1.0,1.0,10.477509666666666,3.9171666666666667,1.64685,4.713885,9.250995,0.9166666666666667,0.875
6005,F,5.49,5yrold,perturbed,1.0,1.0,1.0,0.8333333333333334,1.0,5.681591875,1.7216283333333333,2.1469366666666665,1.669981,1.8976725,1.0,0.9166666666666667
6006,M,5.34,5yrold,deleted,0.3232823190553372,0.375,0.6666666666666666,0.7777777777777778,0.75,,5.461365000000001,6.203548333333333,5.957450714285714,10.565163333333334,0.3491411595276686,0.7222222222222222
6007,M,5.25,5yrold,complete,0.8571428571428571,0.7,0.75,1.0,1.0,6.58143,5.128277857142857,5.456985,4.916818333333333,2.706875,0.7785714285714285,0.875
6008,M,5.75,5yrold,perturbed,0.3232823190553372,0.3232823190553372,0.3232823190553372,1.0,0.8,,,,6.245775,6.878572500000001,0.3232823190553372,0.6616411595276686
6009,M,5.52,5yrold,deleted,0.7692307692307693,0.75,0.625,1.0,1.0,5.3979705,5.710446666666667,3.518324,3.5331766666666664,12.5707825,0.7596153846153846,0.8125
6010,M,5.54,5yrold,complete,0.8,0.8,1.0,0.6,1.0,7.459108333333333,7.786725000000001,7.092033333333333,6.8768,7.37135,0.8,0.8
6011,F,5.38,5yrold,perturbed,0.5714285714285714,1.0,0.625,1.0,1.0,7.83925,6.629666666666666,5.724200000000001,5.755533333333333,5.55905,0.7857142857142857,0.8125
6012,F,5.57,5yrold,deleted,0.3232823190553372,0.3232823190553372,0.3232823190553372,0.4166666666666667,0.5454545454545454,,,,8.15356,9.2469,0.3232823190553372,0.3699744928610019
6013,F,5.79,5yrold,complete,0.8823529411764706,1.0,1.0,0.8,1.0,3.8766000000000003,1.9866666666666666,2.0923333333333334,1.9572500000000002,3.215,0.9411764705882353,0.9
6014,F,5.47,5yrold,perturbed,0.8333333333333334,1.0,0.75,1.0,1.0,8.994306666666667,7.887366666666666,17.55966666666667,2.0838,7.2046,0.9166666666666667,0.875
6015,M,4.48,4yrold,complete,0.7894736842105263,1.0,1.0,1.0,1.0,3.6127623333333334,1.5952316666666668,3.5555566666666665,3.550026666666666,1.6827475,0.8947368421052632,1.0
6016,M,4.19,4yrold,perturbed,0.7647058823529411,1.0,1.0,1.0,0.75,7.115243461538461,8.906080000000001,9.108008333333332,31.303726666666666,3.29016,0.8823529411764706,1.0
6017,M,4.8,4yrold,deleted,0.6666666666666666,0.6,1.0,1.0,0.8,6.3389525,6.858666666666667,6.432905000000001,6.458021666666667,7.05660625,0.6333333333333333,1.0
6020,M,4.76,4yrold,deleted,0.8888888888888888,0.6,0.75,1.0,0.75,6.937795625,6.3011574999999995,6.743073333333332,6.069608333333334,5.723185000000001,0.7444444444444445,0.875
6021,F,4.57,4yrold,complete,0.9375,0.8333333333333334,1.0,1.0,1.0,5.418406333333333,5.217929,5.167155,5.37638,7.926155,0.8854166666666667,1.0
6022,M,4.73,4yrold,perturbed,1.0,0.7777777777777778,0.5333333333333333,1.0,1.0,5.56598,6.467352142857143,5.568232500000001,11.838386666666667,6.7730475000000006,0.8888888888888888,0.7666666666666666
6023,M,4.89,4yrold,deleted,0.7142857142857143,0.6153846153846154,1.0,1.0,0.75,5.56796,5.8942125,5.029466666666667,5.227766666666667,13.301766666666666,0.6648351648351649,1.0
