model,obj1,obj2,condition,train_acc,acc
alexnet,key,leaf,Outline,1.0,0.5
alexnet,key,spoon,Outline,1.0,0.6333333333333333
alexnet,key,tree,Outline,1.0,0.5
alexnet,key,truck,Outline,1.0,0.5
alexnet,key,umbrella,Outline,1.0,0.5
alexnet,kite,airplane,Outline,1.0,0.6
alexnet,kite,apple,Outline,1.0,0.5
alexnet,kite,bike,Outline,1.0,0.9333333333333333
alexnet,kite,chair,Outline,1.0,0.8333333333333334
alexnet,kite,flower,Outline,1.0,0.6333333333333333
alexnet,kite,fork,Outline,1.0,0.5666666666666667
alexnet,kite,guitar,Outline,1.0,0.8666666666666667
alexnet,kite,key,Outline,1.0,0.8333333333333334
alexnet,kite,lamp,Outline,1.0,0.9333333333333333
alexnet,kite,leaf,Outline,1.0,0.6333333333333333
alexnet,kite,spoon,Outline,1.0,0.5666666666666667
alexnet,kite,tree,Outline,1.0,0.5
alexnet,kite,truck,Outline,1.0,0.5666666666666667
alexnet,kite,umbrella,Outline,1.0,0.7666666666666667
alexnet,lamp,airplane,Outline,1.0,0.6333333333333333
alexnet,lamp,apple,Outline,1.0,0.5
alexnet,lamp,bike,Outline,1.0,0.6
alexnet,lamp,chair,Outline,1.0,0.4
alexnet,lamp,flower,Outline,1.0,0.6
alexnet,lamp,fork,Outline,1.0,0.5333333333333333
alexnet,lamp,guitar,Outline,1.0,0.6666666666666666
alexnet,lamp,key,Outline,1.0,0.5
alexnet,lamp,kite,Outline,1.0,0.7666666666666667
alexnet,lamp,leaf,Outline,1.0,0.5
alexnet,lamp,spoon,Outline,1.0,0.5
alexnet,lamp,tree,Outline,1.0,0.5
alexnet,lamp,truck,Outline,1.0,0.5
alexnet,lamp,umbrella,Outline,1.0,0.4666666666666667
alexnet,leaf,airplane,Outline,1.0,0.8
alexnet,leaf,apple,Outline,1.0,0.5
alexnet,leaf,bike,Outline,1.0,0.8333333333333334
alexnet,leaf,chair,Outline,1.0,0.8666666666666667
alexnet,leaf,flower,Outline,1.0,0.43333333333333335
alexnet,leaf,fork,Outline,1.0,0.5
alexnet,leaf,guitar,Outline,1.0,0.7
alexnet,leaf,key,Outline,1.0,0.5
alexnet,leaf,kite,Outline,1.0,0.6
alexnet,leaf,lamp,Outline,1.0,0.5
alexnet,leaf,spoon,Outline,1.0,0.5
alexnet,leaf,tree,Outline,1.0,0.5
alexnet,leaf,truck,Outline,1.0,0.9666666666666667
alexnet,leaf,umbrella,Outline,1.0,0.5666666666666667
alexnet,spoon,airplane,Outline,1.0,0.5333333333333333
alexnet,spoon,apple,Outline,1.0,0.5
alexnet,spoon,bike,Outline,1.0,0.5
alexnet,spoon,chair,Outline,1.0,0.5666666666666667
alexnet,spoon,flower,Outline,1.0,0.5
alexnet,spoon,fork,Outline,1.0,0.5
alexnet,spoon,guitar,Outline,1.0,0.5
alexnet,spoon,key,Outline,1.0,0.6
alexnet,spoon,kite,Outline,1.0,0.6666666666666666
alexnet,spoon,lamp,Outline,1.0,0.5
alexnet,spoon,leaf,Outline,1.0,0.5
alexnet,spoon,tree,Outline,1.0,0.5
alexnet,spoon,truck,Outline,1.0,0.5
alexnet,spoon,umbrella,Outline,1.0,0.5
alexnet,tree,airplane,Outline,1.0,0.6333333333333333
alexnet,tree,apple,Outline,1.0,0.5
alexnet,tree,bike,Outline,1.0,0.6666666666666666
alexnet,tree,chair,Outline,1.0,0.6
alexnet,tree,flower,Outline,1.0,0.6
