model,classifier,train_ims,condition,animacy,obj1,obj2,acc
resnet50,NC,5,IC,inam,airplane,apple,0.625
resnet50,NC,5,IC,inam,airplane,bicycle,0.525
resnet50,NC,5,IC,inam,airplane,chair,0.5
resnet50,NC,5,IC,inam,airplane,flower,0.425
resnet50,NC,5,IC,inam,airplane,fork,0.575
resnet50,NC,5,IC,inam,airplane,guitar,0.6
resnet50,NC,5,IC,inam,airplane,key,0.575
resnet50,NC,5,IC,inam,airplane,kite,0.525
resnet50,NC,5,IC,inam,airplane,lamp,0.575
resnet50,NC,5,IC,inam,airplane,leaf,0.525
resnet50,NC,5,IC,inam,airplane,spoon,0.5
resnet50,NC,5,IC,inam,airplane,tree,0.55
resnet50,NC,5,IC,inam,airplane,truck,0.525
resnet50,NC,5,IC,inam,airplane,umbrella,0.475
resnet50,NC,5,IC,inam,apple,airplane,0.775
resnet50,NC,5,IC,inam,apple,bicycle,0.55
resnet50,NC,5,IC,inam,apple,chair,0.55
resnet50,NC,5,IC,inam,apple,flower,0.475
resnet50,NC,5,IC,inam,apple,fork,0.5
resnet50,NC,5,IC,inam,apple,guitar,0.5
resnet50,NC,5,IC,inam,apple,key,0.475
resnet50,NC,5,IC,inam,apple,kite,0.325
resnet50,NC,5,IC,inam,apple,lamp,0.525
resnet50,NC,5,IC,inam,apple,leaf,0.475
resnet50,NC,5,IC,inam,apple,spoon,0.5
resnet50,NC,5,IC,inam,apple,tree,0.575
resnet50,NC,5,IC,inam,apple,truck,0.525
resnet50,NC,5,IC,inam,apple,umbrella,0.45
resnet50,NC,5,IC,inam,bicycle,airplane,0.575
resnet50,NC,5,IC,inam,bicycle,apple,0.675
resnet50,NC,5,IC,inam,bicycle,chair,0.5
resnet50,NC,5,IC,inam,bicycle,flower,0.575
resnet50,NC,5,IC,inam,bicycle,fork,0.625
resnet50,NC,5,IC,inam,bicycle,guitar,0.7
resnet50,NC,5,IC,inam,bicycle,key,0.5
resnet50,NC,5,IC,inam,bicycle,kite,0.475
resnet50,NC,5,IC,inam,bicycle,lamp,0.575
resnet50,NC,5,IC,inam,bicycle,leaf,0.6
resnet50,NC,5,IC,inam,bicycle,spoon,0.4
resnet50,NC,5,IC,inam,bicycle,tree,0.45
resnet50,NC,5,IC,inam,bicycle,truck,0.5
resnet50,NC,5,IC,inam,bicycle,umbrella,0.5
resnet50,NC,5,IC,inam,chair,airplane,0.525
resnet50,NC,5,IC,inam,chair,apple,0.55
resnet50,NC,5,IC,inam,chair,bicycle,0.6
resnet50,NC,5,IC,inam,chair,flower,0.525
resnet50,NC,5,IC,inam,chair,fork,0.525
resnet50,NC,5,IC,inam,chair,guitar,0.625
resnet50,NC,5,IC,inam,chair,key,0.65
resnet50,NC,5,IC,inam,chair,kite,0.425
resnet50,NC,5,IC,inam,chair,lamp,0.55
resnet50,NC,5,IC,inam,chair,leaf,0.625
resnet50,NC,5,IC,inam,chair,spoon,0.45
resnet50,NC,5,IC,inam,chair,tree,0.5
resnet50,NC,5,IC,inam,chair,truck,0.5
resnet50,NC,5,IC,inam,chair,umbrella,0.475
resnet50,NC,5,IC,inam,flower,airplane,0.45
resnet50,NC,5,IC,inam,flower,apple,0.425
resnet50,NC,5,IC,inam,flower,bicycle,0.375
resnet50,NC,5,IC,inam,flower,chair,0.55
resnet50,NC,5,IC,inam,flower,fork,0.55
resnet50,NC,5,IC,inam,flower,guitar,0.625
resnet50,NC,5,IC,inam,flower,key,0.425
resnet50,NC,5,IC,inam,flower,kite,0.45
resnet50,NC,5,IC,inam,flower,lamp,0.55
resnet50,NC,5,IC,inam,flower,leaf,0.55
resnet50,NC,5,IC,inam,flower,spoon,0.5
resnet50,NC,5,IC,inam,flower,tree,0.5
resnet50,NC,5,IC,inam,flower,truck,0.55
resnet50,NC,5,IC,inam,flower,umbrella,0.425
resnet50,NC,5,IC,inam,fork,airplane,0.625
resnet50,NC,5,IC,inam,fork,apple,0.4
resnet50,NC,5,IC,inam,fork,bicycle,0.625
resnet50,NC,5,IC,inam,fork,chair,0.6
resnet50,NC,5,IC,inam,fork,flower,0.575
resnet50,NC,5,IC,inam,fork,guitar,0.5
resnet50,NC,5,IC,inam,fork,key,0.375
resnet50,NC,5,IC,inam,fork,kite,0.475
resnet50,NC,5,IC,inam,fork,lamp,0.625
resnet50,NC,5,IC,inam,fork,leaf,0.425
resnet50,NC,5,IC,inam,fork,spoon,0.525
resnet50,NC,5,IC,inam,fork,tree,0.55
resnet50,NC,5,IC,inam,fork,truck,0.575
resnet50,NC,5,IC,inam,fork,umbrella,0.575
resnet50,NC,5,IC,inam,guitar,airplane,0.675
resnet50,NC,5,IC,inam,guitar,apple,0.475
resnet50,NC,5,IC,inam,guitar,bicycle,0.575
resnet50,NC,5,IC,inam,guitar,chair,0.7
resnet50,NC,5,IC,inam,guitar,flower,0.625
resnet50,NC,5,IC,inam,guitar,fork,0.575
resnet50,NC,5,IC,inam,guitar,key,0.55
resnet50,NC,5,IC,inam,guitar,kite,0.75
resnet50,NC,5,IC,inam,guitar,lamp,0.525
resnet50,NC,5,IC,inam,guitar,leaf,0.65
resnet50,NC,5,IC,inam,guitar,spoon,0.625
resnet50,NC,5,IC,inam,guitar,tree,0.825
resnet50,NC,5,IC,inam,guitar,truck,0.775
resnet50,NC,5,IC,inam,guitar,umbrella,0.625
resnet50,NC,5,IC,inam,key,airplane,0.625
resnet50,NC,5,IC,inam,key,apple,0.625
resnet50,NC,5,IC,inam,key,bicycle,0.575
resnet50,NC,5,IC,inam,key,chair,0.475
resnet50,NC,5,IC,inam,key,flower,0.5
resnet50,NC,5,IC,inam,key,fork,0.525
resnet50,NC,5,IC,inam,key,guitar,0.65
resnet50,NC,5,IC,inam,key,kite,0.55
resnet50,NC,5,IC,inam,key,lamp,0.55
resnet50,NC,5,IC,inam,key,leaf,0.425
resnet50,NC,5,IC,inam,key,spoon,0.4
resnet50,NC,5,IC,inam,key,tree,0.575
resnet50,NC,5,IC,inam,key,truck,0.475
resnet50,NC,5,IC,inam,key,umbrella,0.525
resnet50,NC,5,IC,inam,kite,airplane,0.4
resnet50,NC,5,IC,inam,kite,apple,0.45
resnet50,NC,5,IC,inam,kite,bicycle,0.5
resnet50,NC,5,IC,inam,kite,chair,0.5
resnet50,NC,5,IC,inam,kite,flower,0.375
resnet50,NC,5,IC,inam,kite,fork,0.55
resnet50,NC,5,IC,inam,kite,guitar,0.7
resnet50,NC,5,IC,inam,kite,key,0.5
resnet50,NC,5,IC,inam,kite,lamp,0.575
resnet50,NC,5,IC,inam,kite,leaf,0.475
resnet50,NC,5,IC,inam,kite,spoon,0.625
resnet50,NC,5,IC,inam,kite,tree,0.625
resnet50,NC,5,IC,inam,kite,truck,0.5
resnet50,NC,5,IC,inam,kite,umbrella,0.525
resnet50,NC,5,IC,inam,lamp,airplane,0.575
resnet50,NC,5,IC,inam,lamp,apple,0.475
resnet50,NC,5,IC,inam,lamp,bicycle,0.825
resnet50,NC,5,IC,inam,lamp,chair,0.625
resnet50,NC,5,IC,inam,lamp,flower,0.35
resnet50,NC,5,IC,inam,lamp,fork,0.45
resnet50,NC,5,IC,inam,lamp,guitar,0.5
resnet50,NC,5,IC,inam,lamp,key,0.5
resnet50,NC,5,IC,inam,lamp,kite,0.55
resnet50,NC,5,IC,inam,lamp,leaf,0.6
resnet50,NC,5,IC,inam,lamp,spoon,0.525
resnet50,NC,5,IC,inam,lamp,tree,0.6
resnet50,NC,5,IC,inam,lamp,truck,0.6
resnet50,NC,5,IC,inam,lamp,umbrella,0.6
resnet50,NC,5,IC,inam,leaf,airplane,0.575
resnet50,NC,5,IC,inam,leaf,apple,0.4
resnet50,NC,5,IC,inam,leaf,bicycle,0.625
resnet50,NC,5,IC,inam,leaf,chair,0.675
resnet50,NC,5,IC,inam,leaf,flower,0.475
resnet50,NC,5,IC,inam,leaf,fork,0.55
resnet50,NC,5,IC,inam,leaf,guitar,0.625
resnet50,NC,5,IC,inam,leaf,key,0.3
resnet50,NC,5,IC,inam,leaf,kite,0.55
resnet50,NC,5,IC,inam,leaf,lamp,0.5
resnet50,NC,5,IC,inam,leaf,spoon,0.45
resnet50,NC,5,IC,inam,leaf,tree,0.5
resnet50,NC,5,IC,inam,leaf,truck,0.625
resnet50,NC,5,IC,inam,leaf,umbrella,0.55
resnet50,NC,5,IC,inam,spoon,airplane,0.55
resnet50,NC,5,IC,inam,spoon,apple,0.4
resnet50,NC,5,IC,inam,spoon,bicycle,0.55
resnet50,NC,5,IC,inam,spoon,chair,0.5
resnet50,NC,5,IC,inam,spoon,flower,0.45
resnet50,NC,5,IC,inam,spoon,fork,0.575
resnet50,NC,5,IC,inam,spoon,guitar,0.6
resnet50,NC,5,IC,inam,spoon,key,0.575
resnet50,NC,5,IC,inam,spoon,kite,0.55
resnet50,NC,5,IC,inam,spoon,lamp,0.575
resnet50,NC,5,IC,inam,spoon,leaf,0.6
resnet50,NC,5,IC,inam,spoon,tree,0.525
resnet50,NC,5,IC,inam,spoon,truck,0.425
resnet50,NC,5,IC,inam,spoon,umbrella,0.55
resnet50,NC,5,IC,inam,tree,airplane,0.55
resnet50,NC,5,IC,inam,tree,apple,0.65
resnet50,NC,5,IC,inam,tree,bicycle,0.55
resnet50,NC,5,IC,inam,tree,chair,0.425
resnet50,NC,5,IC,inam,tree,flower,0.525
resnet50,NC,5,IC,inam,tree,fork,0.6
resnet50,NC,5,IC,inam,tree,guitar,0.65
resnet50,NC,5,IC,inam,tree,key,0.325
resnet50,NC,5,IC,inam,tree,kite,0.55
resnet50,NC,5,IC,inam,tree,lamp,0.625
resnet50,NC,5,IC,inam,tree,leaf,0.6
resnet50,NC,5,IC,inam,tree,spoon,0.475
resnet50,NC,5,IC,inam,tree,truck,0.475
resnet50,NC,5,IC,inam,tree,umbrella,0.45
resnet50,NC,5,IC,inam,truck,airplane,0.575
resnet50,NC,5,IC,inam,truck,apple,0.6
resnet50,NC,5,IC,inam,truck,bicycle,0.45
resnet50,NC,5,IC,inam,truck,chair,0.625
resnet50,NC,5,IC,inam,truck,flower,0.45
resnet50,NC,5,IC,inam,truck,fork,0.65
resnet50,NC,5,IC,inam,truck,guitar,0.8
resnet50,NC,5,IC,inam,truck,key,0.425
resnet50,NC,5,IC,inam,truck,kite,0.55
resnet50,NC,5,IC,inam,truck,lamp,0.525
resnet50,NC,5,IC,inam,truck,leaf,0.6
resnet50,NC,5,IC,inam,truck,spoon,0.475
resnet50,NC,5,IC,inam,truck,tree,0.475
resnet50,NC,5,IC,inam,truck,umbrella,0.5
resnet50,NC,5,IC,inam,umbrella,airplane,0.525
resnet50,NC,5,IC,inam,umbrella,apple,0.475
resnet50,NC,5,IC,inam,umbrella,bicycle,0.475
resnet50,NC,5,IC,inam,umbrella,chair,0.5
resnet50,NC,5,IC,inam,umbrella,flower,0.55
resnet50,NC,5,IC,inam,umbrella,fork,0.45
resnet50,NC,5,IC,inam,umbrella,guitar,0.675
resnet50,NC,5,IC,inam,umbrella,key,0.55
resnet50,NC,5,IC,inam,umbrella,kite,0.5
resnet50,NC,5,IC,inam,umbrella,lamp,0.6
resnet50,NC,5,IC,inam,umbrella,leaf,0.55
resnet50,NC,5,IC,inam,umbrella,spoon,0.425
resnet50,NC,5,IC,inam,umbrella,tree,0.475
resnet50,NC,5,IC,inam,umbrella,truck,0.475
resnet50,NC,5,IC,anim,bear,bird,0.425
resnet50,NC,5,IC,anim,bear,butterfly,0.15
resnet50,NC,5,IC,anim,bear,cat,0.35
resnet50,NC,5,IC,anim,bear,cow,0.45
resnet50,NC,5,IC,anim,bear,dog,0.5
resnet50,NC,5,IC,anim,bear,duck,0.525
resnet50,NC,5,IC,anim,bear,elephant,0.325
resnet50,NC,5,IC,anim,bear,fish,0.375
resnet50,NC,5,IC,anim,bear,foot,0.35
resnet50,NC,5,IC,anim,bear,frog,0.375
resnet50,NC,5,IC,anim,bear,hand,0.7
resnet50,NC,5,IC,anim,bear,rabbit,0.575
resnet50,NC,5,IC,anim,bear,squirrel,0.425
resnet50,NC,5,IC,anim,bear,turtle,0.475
resnet50,NC,5,IC,anim,bird,bear,0.45
resnet50,NC,5,IC,anim,bird,butterfly,0.35
resnet50,NC,5,IC,anim,bird,cat,0.7
resnet50,NC,5,IC,anim,bird,cow,0.6
resnet50,NC,5,IC,anim,bird,dog,0.425
resnet50,NC,5,IC,anim,bird,duck,0.6
resnet50,NC,5,IC,anim,bird,elephant,0.6
resnet50,NC,5,IC,anim,bird,fish,0.575
resnet50,NC,5,IC,anim,bird,foot,0.475
resnet50,NC,5,IC,anim,bird,frog,0.575
resnet50,NC,5,IC,anim,bird,hand,0.65
resnet50,NC,5,IC,anim,bird,rabbit,0.575
resnet50,NC,5,IC,anim,bird,squirrel,0.475
resnet50,NC,5,IC,anim,bird,turtle,0.575
resnet50,NC,5,IC,anim,butterfly,bear,0.15
resnet50,NC,5,IC,anim,butterfly,bird,0.475
resnet50,NC,5,IC,anim,butterfly,cat,0.375
resnet50,NC,5,IC,anim,butterfly,cow,0.55
resnet50,NC,5,IC,anim,butterfly,dog,0.225
resnet50,NC,5,IC,anim,butterfly,duck,0.5
resnet50,NC,5,IC,anim,butterfly,elephant,0.375
resnet50,NC,5,IC,anim,butterfly,fish,0.425
resnet50,NC,5,IC,anim,butterfly,foot,0.55
resnet50,NC,5,IC,anim,butterfly,frog,0.5
resnet50,NC,5,IC,anim,butterfly,hand,0.45
resnet50,NC,5,IC,anim,butterfly,rabbit,0.125
resnet50,NC,5,IC,anim,butterfly,squirrel,0.35
resnet50,NC,5,IC,anim,butterfly,turtle,0.35
resnet50,NC,5,IC,anim,cat,bear,0.55
resnet50,NC,5,IC,anim,cat,bird,0.6
resnet50,NC,5,IC,anim,cat,butterfly,0.375
resnet50,NC,5,IC,anim,cat,cow,0.425
resnet50,NC,5,IC,anim,cat,dog,0.5
resnet50,NC,5,IC,anim,cat,duck,0.575
resnet50,NC,5,IC,anim,cat,elephant,0.65
resnet50,NC,5,IC,anim,cat,fish,0.525
resnet50,NC,5,IC,anim,cat,foot,0.475
resnet50,NC,5,IC,anim,cat,frog,0.525
resnet50,NC,5,IC,anim,cat,hand,0.475
resnet50,NC,5,IC,anim,cat,rabbit,0.35
resnet50,NC,5,IC,anim,cat,squirrel,0.525
resnet50,NC,5,IC,anim,cat,turtle,0.5
resnet50,NC,5,IC,anim,cow,bear,0.45
resnet50,NC,5,IC,anim,cow,bird,0.6
resnet50,NC,5,IC,anim,cow,butterfly,0.525
resnet50,NC,5,IC,anim,cow,cat,0.4
resnet50,NC,5,IC,anim,cow,dog,0.55
resnet50,NC,5,IC,anim,cow,duck,0.475
resnet50,NC,5,IC,anim,cow,elephant,0.475
resnet50,NC,5,IC,anim,cow,fish,0.6
resnet50,NC,5,IC,anim,cow,foot,0.525
resnet50,NC,5,IC,anim,cow,frog,0.525
resnet50,NC,5,IC,anim,cow,hand,0.55
resnet50,NC,5,IC,anim,cow,rabbit,0.225
resnet50,NC,5,IC,anim,cow,squirrel,0.45
resnet50,NC,5,IC,anim,cow,turtle,0.55
resnet50,NC,5,IC,anim,dog,bear,0.55
resnet50,NC,5,IC,anim,dog,bird,0.575
resnet50,NC,5,IC,anim,dog,butterfly,0.25
resnet50,NC,5,IC,anim,dog,cat,0.575
resnet50,NC,5,IC,anim,dog,cow,0.525
resnet50,NC,5,IC,anim,dog,duck,0.575
resnet50,NC,5,IC,anim,dog,elephant,0.5
resnet50,NC,5,IC,anim,dog,fish,0.375
resnet50,NC,5,IC,anim,dog,foot,0.525
resnet50,NC,5,IC,anim,dog,frog,0.475
resnet50,NC,5,IC,anim,dog,hand,0.525
resnet50,NC,5,IC,anim,dog,rabbit,0.55
resnet50,NC,5,IC,anim,dog,squirrel,0.55
resnet50,NC,5,IC,anim,dog,turtle,0.6
resnet50,NC,5,IC,anim,duck,bear,0.4
resnet50,NC,5,IC,anim,duck,bird,0.575
resnet50,NC,5,IC,anim,duck,butterfly,0.4
resnet50,NC,5,IC,anim,duck,cat,0.625
resnet50,NC,5,IC,anim,duck,cow,0.425
resnet50,NC,5,IC,anim,duck,dog,0.575
resnet50,NC,5,IC,anim,duck,elephant,0.45
resnet50,NC,5,IC,anim,duck,fish,0.575
resnet50,NC,5,IC,anim,duck,foot,0.375
resnet50,NC,5,IC,anim,duck,frog,0.575
resnet50,NC,5,IC,anim,duck,hand,0.575
resnet50,NC,5,IC,anim,duck,rabbit,0.425
resnet50,NC,5,IC,anim,duck,squirrel,0.4
resnet50,NC,5,IC,anim,duck,turtle,0.5
resnet50,NC,5,IC,anim,elephant,bear,0.425
resnet50,NC,5,IC,anim,elephant,bird,0.725
resnet50,NC,5,IC,anim,elephant,butterfly,0.45
resnet50,NC,5,IC,anim,elephant,cat,0.525
resnet50,NC,5,IC,anim,elephant,cow,0.525
resnet50,NC,5,IC,anim,elephant,dog,0.525
resnet50,NC,5,IC,anim,elephant,duck,0.5
resnet50,NC,5,IC,anim,elephant,fish,0.725
resnet50,NC,5,IC,anim,elephant,foot,0.425
resnet50,NC,5,IC,anim,elephant,frog,0.5
resnet50,NC,5,IC,anim,elephant,hand,0.575
resnet50,NC,5,IC,anim,elephant,rabbit,0.2
resnet50,NC,5,IC,anim,elephant,squirrel,0.45
resnet50,NC,5,IC,anim,elephant,turtle,0.5
resnet50,NC,5,IC,anim,fish,bear,0.475
resnet50,NC,5,IC,anim,fish,bird,0.45
resnet50,NC,5,IC,anim,fish,butterfly,0.25
resnet50,NC,5,IC,anim,fish,cat,0.45
resnet50,NC,5,IC,anim,fish,cow,0.525
resnet50,NC,5,IC,anim,fish,dog,0.6
resnet50,NC,5,IC,anim,fish,duck,0.4
resnet50,NC,5,IC,anim,fish,elephant,0.575
resnet50,NC,5,IC,anim,fish,foot,0.525
resnet50,NC,5,IC,anim,fish,frog,0.65
resnet50,NC,5,IC,anim,fish,hand,0.525
resnet50,NC,5,IC,anim,fish,rabbit,0.475
resnet50,NC,5,IC,anim,fish,squirrel,0.375
resnet50,NC,5,IC,anim,fish,turtle,0.5
resnet50,NC,5,IC,anim,foot,bear,0.2
resnet50,NC,5,IC,anim,foot,bird,0.625
resnet50,NC,5,IC,anim,foot,butterfly,0.575
resnet50,NC,5,IC,anim,foot,cat,0.3
resnet50,NC,5,IC,anim,foot,cow,0.475
resnet50,NC,5,IC,anim,foot,dog,0.325
resnet50,NC,5,IC,anim,foot,duck,0.45
resnet50,NC,5,IC,anim,foot,elephant,0.375
resnet50,NC,5,IC,anim,foot,fish,0.55
resnet50,NC,5,IC,anim,foot,frog,0.475
resnet50,NC,5,IC,anim,foot,hand,0.475
resnet50,NC,5,IC,anim,foot,rabbit,0.175
resnet50,NC,5,IC,anim,foot,squirrel,0.45
resnet50,NC,5,IC,anim,foot,turtle,0.525
resnet50,NC,5,IC,anim,frog,bear,0.45
resnet50,NC,5,IC,anim,frog,bird,0.425
resnet50,NC,5,IC,anim,frog,butterfly,0.45
resnet50,NC,5,IC,anim,frog,cat,0.4
resnet50,NC,5,IC,anim,frog,cow,0.525
resnet50,NC,5,IC,anim,frog,dog,0.525
resnet50,NC,5,IC,anim,frog,duck,0.475
resnet50,NC,5,IC,anim,frog,elephant,0.5
resnet50,NC,5,IC,anim,frog,fish,0.575
resnet50,NC,5,IC,anim,frog,foot,0.45
resnet50,NC,5,IC,anim,frog,hand,0.425
resnet50,NC,5,IC,anim,frog,rabbit,0.2
resnet50,NC,5,IC,anim,frog,squirrel,0.45
resnet50,NC,5,IC,anim,frog,turtle,0.525
resnet50,NC,5,IC,anim,hand,bear,0.375
resnet50,NC,5,IC,anim,hand,bird,0.7
resnet50,NC,5,IC,anim,hand,butterfly,0.4
resnet50,NC,5,IC,anim,hand,cat,0.65
resnet50,NC,5,IC,anim,hand,cow,0.575
resnet50,NC,5,IC,anim,hand,dog,0.675
resnet50,NC,5,IC,anim,hand,duck,0.65
resnet50,NC,5,IC,anim,hand,elephant,0.45
resnet50,NC,5,IC,anim,hand,fish,0.575
resnet50,NC,5,IC,anim,hand,foot,0.5
resnet50,NC,5,IC,anim,hand,frog,0.45
resnet50,NC,5,IC,anim,hand,rabbit,0.475
resnet50,NC,5,IC,anim,hand,squirrel,0.625
resnet50,NC,5,IC,anim,hand,turtle,0.7
resnet50,NC,5,IC,anim,rabbit,bear,0.55
resnet50,NC,5,IC,anim,rabbit,bird,0.55
resnet50,NC,5,IC,anim,rabbit,butterfly,0.125
resnet50,NC,5,IC,anim,rabbit,cat,0.325
resnet50,NC,5,IC,anim,rabbit,cow,0.2
resnet50,NC,5,IC,anim,rabbit,dog,0.5
resnet50,NC,5,IC,anim,rabbit,duck,0.525
resnet50,NC,5,IC,anim,rabbit,elephant,0.15
resnet50,NC,5,IC,anim,rabbit,fish,0.5
resnet50,NC,5,IC,anim,rabbit,foot,0.05
resnet50,NC,5,IC,anim,rabbit,frog,0.25
resnet50,NC,5,IC,anim,rabbit,hand,0.375
resnet50,NC,5,IC,anim,rabbit,squirrel,0.475
resnet50,NC,5,IC,anim,rabbit,turtle,0.4
resnet50,NC,5,IC,anim,squirrel,bear,0.575
resnet50,NC,5,IC,anim,squirrel,bird,0.6
resnet50,NC,5,IC,anim,squirrel,butterfly,0.35
resnet50,NC,5,IC,anim,squirrel,cat,0.425
resnet50,NC,5,IC,anim,squirrel,cow,0.475
resnet50,NC,5,IC,anim,squirrel,dog,0.6
resnet50,NC,5,IC,anim,squirrel,duck,0.475
resnet50,NC,5,IC,anim,squirrel,elephant,0.45
resnet50,NC,5,IC,anim,squirrel,fish,0.55
resnet50,NC,5,IC,anim,squirrel,foot,0.35
resnet50,NC,5,IC,anim,squirrel,frog,0.45
resnet50,NC,5,IC,anim,squirrel,hand,0.575
resnet50,NC,5,IC,anim,squirrel,rabbit,0.4
resnet50,NC,5,IC,anim,squirrel,turtle,0.525
resnet50,NC,5,IC,anim,turtle,bear,0.5
resnet50,NC,5,IC,anim,turtle,bird,0.575
resnet50,NC,5,IC,anim,turtle,butterfly,0.375
resnet50,NC,5,IC,anim,turtle,cat,0.575
resnet50,NC,5,IC,anim,turtle,cow,0.525
resnet50,NC,5,IC,anim,turtle,dog,0.475
resnet50,NC,5,IC,anim,turtle,duck,0.4
resnet50,NC,5,IC,anim,turtle,elephant,0.55
resnet50,NC,5,IC,anim,turtle,fish,0.5
resnet50,NC,5,IC,anim,turtle,foot,0.425
resnet50,NC,5,IC,anim,turtle,frog,0.5
resnet50,NC,5,IC,anim,turtle,hand,0.525
resnet50,NC,5,IC,anim,turtle,rabbit,0.45
resnet50,NC,5,IC,anim,turtle,squirrel,0.65
