model,obj1,obj2,condition,train_acc,acc
alexnet,key,truck,IC,1.0,0.5
alexnet,key,umbrella,IC,1.0,0.5333333333333333
alexnet,kite,airplane,IC,1.0,0.6
alexnet,kite,apple,IC,1.0,0.5666666666666667
alexnet,kite,bike,IC,1.0,0.8666666666666667
alexnet,kite,chair,IC,1.0,0.7666666666666667
alexnet,kite,flower,IC,1.0,0.7
alexnet,kite,fork,IC,1.0,0.6333333333333333
alexnet,kite,guitar,IC,1.0,0.8
alexnet,kite,key,IC,1.0,0.9333333333333333
alexnet,kite,lamp,IC,1.0,0.7666666666666667
alexnet,kite,leaf,IC,1.0,0.5333333333333333
alexnet,kite,spoon,IC,1.0,0.8666666666666667
alexnet,kite,tree,IC,1.0,0.6
alexnet,kite,truck,IC,1.0,0.5
alexnet,kite,umbrella,IC,1.0,0.5333333333333333
alexnet,lamp,airplane,IC,1.0,0.8333333333333334
alexnet,lamp,apple,IC,1.0,0.5
alexnet,lamp,bike,IC,1.0,0.7333333333333333
alexnet,lamp,chair,IC,1.0,0.5
alexnet,lamp,flower,IC,1.0,0.5333333333333333
alexnet,lamp,fork,IC,1.0,0.5333333333333333
alexnet,lamp,guitar,IC,1.0,0.5666666666666667
alexnet,lamp,key,IC,1.0,0.5333333333333333
alexnet,lamp,kite,IC,1.0,0.8666666666666667
alexnet,lamp,leaf,IC,1.0,0.5
alexnet,lamp,spoon,IC,1.0,0.5666666666666667
alexnet,lamp,tree,IC,1.0,0.5666666666666667
alexnet,lamp,truck,IC,1.0,0.5
alexnet,lamp,umbrella,IC,1.0,0.43333333333333335
alexnet,leaf,airplane,IC,1.0,1.0
alexnet,leaf,apple,IC,1.0,0.5333333333333333
alexnet,leaf,bike,IC,1.0,0.9
alexnet,leaf,chair,IC,1.0,0.8666666666666667
alexnet,leaf,flower,IC,1.0,0.36666666666666664
alexnet,leaf,fork,IC,1.0,0.5
alexnet,leaf,guitar,IC,1.0,0.7
alexnet,leaf,key,IC,1.0,0.5
alexnet,leaf,kite,IC,1.0,0.5666666666666667
alexnet,leaf,lamp,IC,1.0,0.5333333333333333
alexnet,leaf,spoon,IC,1.0,0.5
alexnet,leaf,tree,IC,1.0,0.6
alexnet,leaf,truck,IC,1.0,0.8333333333333334
alexnet,leaf,umbrella,IC,1.0,0.5666666666666667
alexnet,spoon,airplane,IC,1.0,0.5666666666666667
alexnet,spoon,apple,IC,1.0,0.5
alexnet,spoon,bike,IC,1.0,0.5
alexnet,spoon,chair,IC,1.0,0.5
alexnet,spoon,flower,IC,1.0,0.5
alexnet,spoon,fork,IC,1.0,0.5333333333333333
alexnet,spoon,guitar,IC,1.0,0.5
