model,classifier,train_ims,condition,animacy,obj1,obj2,acc
vit,SVM,25,IC,inam,airplane,apple,0.975
vit,SVM,25,IC,inam,airplane,bike,0.5
vit,SVM,25,IC,inam,airplane,chair,0.9375
vit,SVM,25,IC,inam,airplane,flower,1.0
vit,SVM,25,IC,inam,airplane,fork,0.5
vit,SVM,25,IC,inam,airplane,guitar,0.75
vit,SVM,25,IC,inam,airplane,key,0.5
vit,SVM,25,IC,inam,airplane,kite,0.5625
vit,SVM,25,IC,inam,airplane,lamp,0.5
vit,SVM,25,IC,inam,airplane,leaf,0.9875
vit,SVM,25,IC,inam,airplane,spoon,0.5
vit,SVM,25,IC,inam,airplane,tree,0.8875
vit,SVM,25,IC,inam,airplane,truck,0.5
vit,SVM,25,IC,inam,airplane,umbrella,0.9
vit,SVM,25,IC,inam,apple,airplane,0.975
vit,SVM,25,IC,inam,apple,bike,0.5
vit,SVM,25,IC,inam,apple,chair,0.625
vit,SVM,25,IC,inam,apple,flower,0.6625
vit,SVM,25,IC,inam,apple,fork,0.5
vit,SVM,25,IC,inam,apple,guitar,0.5625
vit,SVM,25,IC,inam,apple,key,0.5
vit,SVM,25,IC,inam,apple,kite,0.5
vit,SVM,25,IC,inam,apple,lamp,0.5
vit,SVM,25,IC,inam,apple,leaf,0.6125
vit,SVM,25,IC,inam,apple,spoon,0.5
vit,SVM,25,IC,inam,apple,tree,0.5
vit,SVM,25,IC,inam,apple,truck,0.5
vit,SVM,25,IC,inam,apple,umbrella,0.4625
vit,SVM,25,IC,inam,bike,airplane,0.5
vit,SVM,25,IC,inam,bike,apple,0.5
vit,SVM,25,IC,inam,bike,chair,0.5
vit,SVM,25,IC,inam,bike,flower,0.5
vit,SVM,25,IC,inam,bike,fork,0.5
vit,SVM,25,IC,inam,bike,guitar,0.5
vit,SVM,25,IC,inam,bike,key,0.5
vit,SVM,25,IC,inam,bike,kite,0.5
vit,SVM,25,IC,inam,bike,lamp,0.525
vit,SVM,25,IC,inam,bike,leaf,0.5
vit,SVM,25,IC,inam,bike,spoon,0.5
vit,SVM,25,IC,inam,bike,tree,0.5
vit,SVM,25,IC,inam,bike,truck,0.5875
vit,SVM,25,IC,inam,bike,umbrella,0.5
vit,SVM,25,IC,inam,chair,airplane,0.9375
vit,SVM,25,IC,inam,chair,apple,0.6625
vit,SVM,25,IC,inam,chair,bike,0.5
vit,SVM,25,IC,inam,chair,flower,0.6625
vit,SVM,25,IC,inam,chair,fork,0.5
vit,SVM,25,IC,inam,chair,guitar,0.825
vit,SVM,25,IC,inam,chair,key,0.5
vit,SVM,25,IC,inam,chair,kite,0.5625
vit,SVM,25,IC,inam,chair,lamp,0.5
vit,SVM,25,IC,inam,chair,leaf,0.8625
vit,SVM,25,IC,inam,chair,spoon,0.5625
vit,SVM,25,IC,inam,chair,tree,0.5
vit,SVM,25,IC,inam,chair,truck,0.5
