libraries loaded...
vgg19 guitar
extracting features...
vgg19 chair
extracting features...
vgg19 squirrel
extracting features...
vgg19 fork
extracting features...
vgg19 flower
extracting features...
vgg19 cow
extracting features...
vgg19 foot
extracting features...
vgg19 kite
extracting features...
vgg19 cat
extracting features...
vgg19 apple
extracting features...
vgg19 leaf
extracting features...
vgg19 bird
extracting features...
vgg19 airplane
extracting features...
vgg19 umbrella
extracting features...
vgg19 frog
extracting features...
vgg19 tree
extracting features...
vgg19 rabbit
extracting features...
vgg19 hand
extracting features...
vgg19 spoon
extracting features...
vgg19 butterfly
extracting features...
vgg19 duck
extracting features...
vgg19 bear
extracting features...
vgg19 truck
extracting features...
vgg19 fish
extracting features...
vgg19 key
extracting features...
vgg19 turtle
extracting features...
vgg19 dog
extracting features...
vgg19 bike
extracting features...
vgg19 elephant
extracting features...
vgg19 lamp
extracting features...
