libraries loaded...
cornet_s guitar
extracting features...
cornet_s chair
extracting features...
cornet_s squirrel
extracting features...
cornet_s fork
extracting features...
cornet_s flower
extracting features...
cornet_s cow
extracting features...
cornet_s foot
extracting features...
cornet_s kite
extracting features...
cornet_s cat
extracting features...
cornet_s apple
extracting features...
cornet_s leaf
extracting features...
cornet_s bird
extracting features...
cornet_s airplane
extracting features...
cornet_s umbrella
extracting features...
cornet_s frog
extracting features...
cornet_s tree
extracting features...
cornet_s rabbit
extracting features...
cornet_s hand
extracting features...
cornet_s spoon
extracting features...
cornet_s butterfly
extracting features...
cornet_s duck
extracting features...
cornet_s bear
extracting features...
cornet_s truck
extracting features...
cornet_s fish
extracting features...
cornet_s key
extracting features...
cornet_s turtle
extracting features...
cornet_s dog
extracting features...
cornet_s bike
extracting features...
cornet_s elephant
extracting features...
cornet_s lamp
extracting features...
