libraries loaded...
SayCam guitar
extracting features...
SayCam chair
extracting features...
SayCam squirrel
extracting features...
SayCam fork
extracting features...
SayCam flower
extracting features...
SayCam cow
extracting features...
SayCam foot
extracting features...
SayCam kite
extracting features...
SayCam cat
extracting features...
SayCam apple
extracting features...
SayCam leaf
extracting features...
SayCam bird
extracting features...
SayCam airplane
extracting features...
SayCam umbrella
extracting features...
SayCam frog
extracting features...
SayCam tree
extracting features...
SayCam rabbit
extracting features...
SayCam hand
extracting features...
SayCam spoon
extracting features...
SayCam butterfly
extracting features...
SayCam duck
extracting features...
SayCam bear
extracting features...
SayCam truck
extracting features...
SayCam fish
extracting features...
SayCam key
extracting features...
SayCam turtle
extracting features...
SayCam dog
extracting features...
SayCam bike
extracting features...
SayCam elephant
extracting features...
SayCam lamp
extracting features...
