libraries loaded...
convnext guitar
extracting features...
convnext chair
extracting features...
convnext squirrel
extracting features...
convnext fork
extracting features...
convnext flower
extracting features...
convnext cow
extracting features...
convnext foot
extracting features...
convnext kite
extracting features...
convnext cat
extracting features...
convnext apple
extracting features...
convnext leaf
extracting features...
convnext bird
extracting features...
convnext airplane
extracting features...
convnext umbrella
extracting features...
convnext frog
extracting features...
convnext tree
extracting features...
convnext rabbit
extracting features...
convnext hand
extracting features...
convnext spoon
extracting features...
convnext butterfly
extracting features...
convnext duck
extracting features...
convnext bear
extracting features...
convnext truck
extracting features...
convnext fish
extracting features...
convnext key
extracting features...
convnext turtle
extracting features...
convnext dog
extracting features...
convnext bike
extracting features...
convnext elephant
extracting features...
convnext lamp
extracting features...
