libraries loaded...
resnet50 guitar
extracting features...
resnet50 chair
extracting features...
resnet50 squirrel
extracting features...
resnet50 fork
extracting features...
resnet50 flower
extracting features...
resnet50 cow
extracting features...
resnet50 foot
extracting features...
resnet50 kite
extracting features...
resnet50 cat
extracting features...
resnet50 apple
extracting features...
resnet50 leaf
extracting features...
resnet50 bird
extracting features...
resnet50 airplane
extracting features...
resnet50 umbrella
extracting features...
resnet50 frog
extracting features...
resnet50 tree
extracting features...
resnet50 rabbit
extracting features...
resnet50 hand
extracting features...
resnet50 spoon
extracting features...
resnet50 butterfly
extracting features...
resnet50 duck
extracting features...
resnet50 bear
extracting features...
resnet50 truck
extracting features...
resnet50 fish
extracting features...
resnet50 key
extracting features...
resnet50 turtle
extracting features...
resnet50 dog
extracting features...
resnet50 bike
extracting features...
resnet50 elephant
extracting features...
resnet50 lamp
extracting features...
