libraries loaded...
alexnet guitar
extracting features...
alexnet chair
extracting features...
alexnet squirrel
extracting features...
alexnet fork
extracting features...
alexnet flower
extracting features...
alexnet cow
extracting features...
alexnet foot
extracting features...
alexnet kite
extracting features...
alexnet cat
extracting features...
alexnet apple
extracting features...
alexnet leaf
extracting features...
alexnet bird
extracting features...
alexnet airplane
extracting features...
alexnet umbrella
extracting features...
alexnet frog
extracting features...
alexnet tree
extracting features...
alexnet rabbit
extracting features...
alexnet hand
extracting features...
alexnet spoon
extracting features...
alexnet butterfly
extracting features...
alexnet duck
extracting features...
alexnet bear
extracting features...
alexnet truck
extracting features...
alexnet fish
extracting features...
alexnet key
extracting features...
alexnet turtle
extracting features...
alexnet dog
extracting features...
alexnet bike
extracting features...
alexnet elephant
extracting features...
alexnet lamp
extracting features...
