libraries loaded...
vit guitar
extracting features...
vit chair
extracting features...
vit squirrel
extracting features...
vit fork
extracting features...
vit flower
extracting features...
vit cow
extracting features...
vit foot
extracting features...
vit kite
extracting features...
vit cat
extracting features...
vit apple
extracting features...
vit leaf
extracting features...
vit bird
extracting features...
vit airplane
extracting features...
vit umbrella
extracting features...
vit frog
extracting features...
vit tree
extracting features...
vit rabbit
extracting features...
vit hand
extracting features...
vit spoon
extracting features...
vit butterfly
extracting features...
vit duck
extracting features...
vit bear
extracting features...
vit truck
extracting features...
/var/spool/slurmd/job1417291/slurm_script: line 32:  4121 Killed                  python /user_data/vayzenbe/GitHub_Repos/kornet/modelling/extract_acts.py
slurmstepd: error: Detected 5 oom-kill event(s) in step 1417291.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
