/user_data/vayzenbe/GitHub_Repos/vonenet/vonenet/params.py:59: RuntimeWarning: invalid value encountered in true_divide
  ny_dist_marg = n_joint_dist / n_joint_dist.sum(axis=1, keepdims=True)
/home/vayzenbe/anaconda3/envs/ml/lib/python3.9/site-packages/torch/functional.py:478: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  /opt/conda/conda-bld/pytorch_1659484775609/work/aten/src/ATen/native/TensorShape.cpp:2895.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
libraries loaded...
Neuronal distributions gabor parameters
Model:  VOneCORnet-S
vonecornet_s guitar
extracting features...
vonecornet_s chair
extracting features...
vonecornet_s squirrel
extracting features...
vonecornet_s fork
extracting features...
vonecornet_s flower
extracting features...
vonecornet_s cow
extracting features...
vonecornet_s foot
extracting features...
vonecornet_s kite
extracting features...
vonecornet_s cat
extracting features...
vonecornet_s apple
extracting features...
vonecornet_s leaf
extracting features...
vonecornet_s bird
extracting features...
vonecornet_s airplane
extracting features...
vonecornet_s umbrella
extracting features...
vonecornet_s frog
extracting features...
vonecornet_s tree
extracting features...
vonecornet_s rabbit
extracting features...
vonecornet_s hand
extracting features...
vonecornet_s spoon
extracting features...
vonecornet_s butterfly
extracting features...
vonecornet_s duck
extracting features...
vonecornet_s bear
extracting features...
vonecornet_s truck
extracting features...
vonecornet_s fish
extracting features...
vonecornet_s key
extracting features...
vonecornet_s turtle
extracting features...
vonecornet_s dog
extracting features...
vonecornet_s bike
extracting features...
vonecornet_s elephant
extracting features...
vonecornet_s lamp
extracting features...
