sub,age,age_group,cond,fast_high_curv,fast_low_curv,intro_high_curv,intro_low_curv,slow_high_curv,slow_low_curv,high_curv,low_curv,fast_high_conv_hull,fast_low_conv_hull,intro_high_conv_hull,intro_low_conv_hull,slow_high_conv_hull,slow_low_conv_hull,high_conv_hull,low_conv_hull,fast_high_axis_ratio,fast_low_axis_ratio,intro_high_axis_ratio,intro_low_axis_ratio,slow_high_axis_ratio,slow_low_axis_ratio,high_axis_ratio,low_axis_ratio
6000,5.93,5yrold,deleted,0.8,1.0,,,1.0,1.0,0.875,1.0,0.75,1.0,,,1.0,1.0,0.875,1.0,0.6666666666666666,1.0,,,1.0,1.0,0.8571428571428571,1.0
6001,5.34,5yrold,complete,1.0,0.5,,1.0,1.0,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,,1.0,1.0,1.0,0.8,1.0,0.75,1.0,,1.0,1.0,1.0,0.8
6002,5.09,5yrold,perturbed,0.0,0.75,,1.0,1.0,1.0,0.5,0.8333333333333334,0.0,1.0,,1.0,1.0,,0.5,1.0,0.5,1.0,,1.0,1.0,,0.6666666666666666,1.0
6003,5.49,5yrold,deleted,0.3333333333333333,,,1.0,1.0,0.3333333333333333,0.7142857142857143,0.6,0.0,0.5,,1.0,1.0,0.5,0.75,0.625,0.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.625,0.75
6004,5.06,5yrold,complete,0.8571428571428571,,,1.0,1.0,1.0,0.875,1.0,1.0,0.75,1.0,,,1.0,1.0,0.8571428571428571,0.8333333333333334,1.0,1.0,,1.0,1.0,0.875,1.0
6005,5.49,5yrold,perturbed,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.875,1.0,1.0,1.0,,1.0,0.6666666666666666,1.0,0.875
6006,5.34,5yrold,deleted,0.3333333333333333,0.5,,1.0,1.0,0.5,0.6666666666666666,0.6,0.4,,,1.0,1.0,0.75,0.5,0.8,0.3333333333333333,0.5,,1.0,1.0,0.6666666666666666,0.6,0.6666666666666666
6007,5.25,5yrold,complete,1.0,0.75,,,1.0,1.0,1.0,0.8,0.75,1.0,,,,1.0,0.75,1.0,1.0,0.8571428571428571,,,1.0,1.0,1.0,0.875
6009,5.52,5yrold,deleted,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6010,5.54,5yrold,complete,1.0,0.6666666666666666,1.0,,1.0,0.5,1.0,0.625,0.5,1.0,1.0,1.0,0.75,,0.6666666666666666,1.0,1.0,0.6,1.0,1.0,0.6666666666666666,1.0,0.8571428571428571,0.7142857142857143
