model,obj1,obj2,condition,train_acc,acc
cornet_s_pretrained,airplane,apple,IC,0.999,0.5
cornet_s_pretrained,airplane,bike,IC,1.0,0.4
cornet_s_pretrained,airplane,chair,IC,0.999,0.35
cornet_s_pretrained,airplane,flower,IC,0.9970000000000001,0.6
cornet_s_pretrained,airplane,fork,IC,1.0,0.7
cornet_s_pretrained,airplane,guitar,IC,0.999,0.3
cornet_s_pretrained,airplane,key,IC,0.9970000000000001,0.45
cornet_s_pretrained,airplane,kite,IC,0.998,0.5
cornet_s_pretrained,airplane,lamp,IC,0.999,0.5
cornet_s_pretrained,airplane,leaf,IC,0.9890000000000001,0.25
cornet_s_pretrained,airplane,spoon,IC,0.9970000000000001,0.35
cornet_s_pretrained,airplane,tree,IC,1.0,0.35
cornet_s_pretrained,airplane,truck,IC,0.999,0.5
cornet_s_pretrained,airplane,umbrella,IC,0.9970000000000001,0.45
cornet_s_pretrained,apple,airplane,IC,0.999,0.55
cornet_s_pretrained,apple,bike,IC,1.0,0.6
cornet_s_pretrained,apple,chair,IC,0.998,0.5
cornet_s_pretrained,apple,flower,IC,1.0,0.55
cornet_s_pretrained,apple,fork,IC,1.0,0.4
cornet_s_pretrained,apple,guitar,IC,0.998,0.35
cornet_s_pretrained,apple,key,IC,0.998,0.45
cornet_s_pretrained,apple,kite,IC,0.999,0.3
cornet_s_pretrained,apple,lamp,IC,0.999,0.15
cornet_s_pretrained,apple,leaf,IC,0.994,0.35
cornet_s_pretrained,apple,spoon,IC,0.999,0.2
cornet_s_pretrained,apple,tree,IC,1.0,0.65
cornet_s_pretrained,apple,truck,IC,0.999,0.6
cornet_s_pretrained,apple,umbrella,IC,0.9959999999999999,0.2
cornet_s_pretrained,bike,airplane,IC,0.999,0.2
cornet_s_pretrained,bike,apple,IC,1.0,0.45
cornet_s_pretrained,bike,chair,IC,0.999,0.6
cornet_s_pretrained,bike,flower,IC,0.999,0.4
cornet_s_pretrained,bike,fork,IC,1.0,0.15
cornet_s_pretrained,bike,guitar,IC,1.0,0.25
cornet_s_pretrained,bike,key,IC,0.999,0.45
cornet_s_pretrained,bike,kite,IC,0.998,0.35
cornet_s_pretrained,bike,lamp,IC,0.998,0.4
cornet_s_pretrained,bike,leaf,IC,0.9950000000000001,0.5
cornet_s_pretrained,bike,spoon,IC,0.9970000000000001,0.35
cornet_s_pretrained,bike,tree,IC,1.0,0.55
cornet_s_pretrained,bike,truck,IC,1.0,0.75
cornet_s_pretrained,bike,umbrella,IC,1.0,0.25
cornet_s_pretrained,chair,airplane,IC,0.9969999999999999,0.4
cornet_s_pretrained,chair,apple,IC,0.9960000000000001,0.55
cornet_s_pretrained,chair,bike,IC,0.9960000000000001,0.5
cornet_s_pretrained,chair,flower,IC,0.999,0.5
cornet_s_pretrained,chair,fork,IC,0.999,0.45
cornet_s_pretrained,chair,guitar,IC,1.0,0.45
cornet_s_pretrained,chair,key,IC,0.9970000000000001,0.55
cornet_s_pretrained,chair,kite,IC,1.0,0.5
cornet_s_pretrained,chair,lamp,IC,0.9970000000000001,0.05
cornet_s_pretrained,chair,leaf,IC,0.999,0.7
cornet_s_pretrained,chair,spoon,IC,0.998,0.45
cornet_s_pretrained,chair,tree,IC,0.9969999999999999,0.6
cornet_s_pretrained,chair,truck,IC,0.999,0.5
cornet_s_pretrained,chair,umbrella,IC,1.0,0.55
cornet_s_pretrained,flower,airplane,IC,1.0,0.4
cornet_s_pretrained,flower,apple,IC,0.999,0.4
cornet_s_pretrained,flower,bike,IC,0.999,0.4
cornet_s_pretrained,flower,chair,IC,0.999,0.5
cornet_s_pretrained,flower,fork,IC,1.0,0.6
cornet_s_pretrained,flower,guitar,IC,1.0,0.6
cornet_s_pretrained,flower,key,IC,0.998,0.5
cornet_s_pretrained,flower,kite,IC,0.999,0.5
cornet_s_pretrained,flower,lamp,IC,0.998,0.7
cornet_s_pretrained,flower,leaf,IC,0.994,0.6
cornet_s_pretrained,flower,spoon,IC,0.9960000000000001,0.5
cornet_s_pretrained,flower,tree,IC,0.999,0.55
cornet_s_pretrained,flower,truck,IC,0.9970000000000001,0.7
cornet_s_pretrained,flower,umbrella,IC,0.999,0.55
cornet_s_pretrained,fork,airplane,IC,1.0,0.4
cornet_s_pretrained,fork,apple,IC,1.0,0.4
cornet_s_pretrained,fork,bike,IC,0.999,0.4
cornet_s_pretrained,fork,chair,IC,0.999,0.4
cornet_s_pretrained,fork,flower,IC,1.0,0.6
cornet_s_pretrained,fork,guitar,IC,1.0,0.65
cornet_s_pretrained,fork,key,IC,0.998,0.4
cornet_s_pretrained,fork,kite,IC,0.999,0.55
cornet_s_pretrained,fork,lamp,IC,0.999,0.55
cornet_s_pretrained,fork,leaf,IC,0.9970000000000001,0.75
cornet_s_pretrained,fork,spoon,IC,0.9949999999999999,0.45
cornet_s_pretrained,fork,tree,IC,1.0,0.6
cornet_s_pretrained,fork,truck,IC,1.0,0.5
cornet_s_pretrained,fork,umbrella,IC,0.999,0.45
cornet_s_pretrained,guitar,airplane,IC,0.998,0.2
cornet_s_pretrained,guitar,apple,IC,1.0,0.35
cornet_s_pretrained,guitar,bike,IC,0.999,0.25
cornet_s_pretrained,guitar,chair,IC,1.0,0.6
cornet_s_pretrained,guitar,flower,IC,1.0,0.6
cornet_s_pretrained,guitar,fork,IC,1.0,0.45
cornet_s_pretrained,guitar,key,IC,1.0,0.75
cornet_s_pretrained,guitar,kite,IC,0.998,0.4
cornet_s_pretrained,guitar,lamp,IC,0.998,0.7
cornet_s_pretrained,guitar,leaf,IC,0.9970000000000001,0.65
cornet_s_pretrained,guitar,spoon,IC,0.998,0.45
cornet_s_pretrained,guitar,tree,IC,0.998,0.35
cornet_s_pretrained,guitar,truck,IC,0.999,0.5
cornet_s_pretrained,guitar,umbrella,IC,0.999,0.45
cornet_s_pretrained,key,airplane,IC,0.9969999999999999,0.35
cornet_s_pretrained,key,apple,IC,0.998,0.3
cornet_s_pretrained,key,bike,IC,0.998,0.35
cornet_s_pretrained,key,chair,IC,1.0,0.45
cornet_s_pretrained,key,flower,IC,0.998,0.6
cornet_s_pretrained,key,fork,IC,0.999,0.45
cornet_s_pretrained,key,guitar,IC,0.999,0.75
cornet_s_pretrained,key,kite,IC,0.998,0.45
cornet_s_pretrained,key,lamp,IC,0.999,0.75
cornet_s_pretrained,key,leaf,IC,0.999,0.5
cornet_s_pretrained,key,spoon,IC,1.0,0.45
cornet_s_pretrained,key,tree,IC,0.998,0.6
cornet_s_pretrained,key,truck,IC,0.998,0.55
cornet_s_pretrained,key,umbrella,IC,1.0,0.5
cornet_s_pretrained,kite,airplane,IC,0.999,0.4
cornet_s_pretrained,kite,apple,IC,1.0,0.35
cornet_s_pretrained,kite,bike,IC,1.0,0.2
cornet_s_pretrained,kite,chair,IC,0.998,0.65
cornet_s_pretrained,kite,flower,IC,1.0,0.55
cornet_s_pretrained,kite,fork,IC,0.9970000000000001,0.4
cornet_s_pretrained,kite,guitar,IC,0.999,0.45
cornet_s_pretrained,kite,key,IC,0.998,0.4
cornet_s_pretrained,kite,lamp,IC,0.999,0.55
cornet_s_pretrained,kite,leaf,IC,0.999,0.55
cornet_s_pretrained,kite,spoon,IC,0.999,0.6
cornet_s_pretrained,kite,tree,IC,0.998,0.45
cornet_s_pretrained,kite,truck,IC,0.999,0.55
cornet_s_pretrained,kite,umbrella,IC,0.998,0.55
cornet_s_pretrained,lamp,airplane,IC,0.998,0.55
cornet_s_pretrained,lamp,apple,IC,0.9970000000000001,0.4
cornet_s_pretrained,lamp,bike,IC,0.9970000000000001,0.35
cornet_s_pretrained,lamp,chair,IC,0.999,0.3
cornet_s_pretrained,lamp,flower,IC,0.9970000000000001,0.75
cornet_s_pretrained,lamp,fork,IC,0.998,0.75
cornet_s_pretrained,lamp,guitar,IC,1.0,0.6
cornet_s_pretrained,lamp,key,IC,0.998,0.6
cornet_s_pretrained,lamp,kite,IC,1.0,0.6
cornet_s_pretrained,lamp,leaf,IC,0.998,0.45
cornet_s_pretrained,lamp,spoon,IC,0.998,0.6
cornet_s_pretrained,lamp,tree,IC,0.9970000000000001,0.75
cornet_s_pretrained,lamp,truck,IC,0.9970000000000001,0.7
cornet_s_pretrained,lamp,umbrella,IC,0.9969999999999999,0.5
cornet_s_pretrained,leaf,airplane,IC,0.9940000000000001,0.35
cornet_s_pretrained,leaf,apple,IC,0.998,0.35
cornet_s_pretrained,leaf,bike,IC,0.993,0.45
cornet_s_pretrained,leaf,chair,IC,0.999,0.6
cornet_s_pretrained,leaf,flower,IC,0.9970000000000001,0.65
cornet_s_pretrained,leaf,fork,IC,0.9970000000000001,0.35
cornet_s_pretrained,leaf,guitar,IC,0.998,0.5
cornet_s_pretrained,leaf,key,IC,0.998,0.55
cornet_s_pretrained,leaf,kite,IC,0.9970000000000001,0.4
cornet_s_pretrained,leaf,lamp,IC,1.0,0.5
cornet_s_pretrained,leaf,spoon,IC,0.9960000000000001,0.45
cornet_s_pretrained,leaf,tree,IC,0.99,0.5
cornet_s_pretrained,leaf,truck,IC,0.993,0.5
cornet_s_pretrained,leaf,umbrella,IC,0.999,0.6
cornet_s_pretrained,spoon,airplane,IC,0.9949999999999999,0.35
cornet_s_pretrained,spoon,apple,IC,0.9960000000000001,0.2
cornet_s_pretrained,spoon,bike,IC,0.999,0.1
cornet_s_pretrained,spoon,chair,IC,0.998,0.25
cornet_s_pretrained,spoon,flower,IC,1.0,0.5
cornet_s_pretrained,spoon,fork,IC,0.998,0.5
cornet_s_pretrained,spoon,guitar,IC,0.9960000000000001,0.45
cornet_s_pretrained,spoon,key,IC,0.999,0.45
cornet_s_pretrained,spoon,kite,IC,1.0,0.4
cornet_s_pretrained,spoon,lamp,IC,1.0,0.35
cornet_s_pretrained,spoon,leaf,IC,0.999,0.3
cornet_s_pretrained,spoon,tree,IC,0.9960000000000001,0.5
cornet_s_pretrained,spoon,truck,IC,0.9970000000000001,0.5
cornet_s_pretrained,spoon,umbrella,IC,1.0,0.5
cornet_s_pretrained,tree,airplane,IC,1.0,0.6
cornet_s_pretrained,tree,apple,IC,0.999,0.75
cornet_s_pretrained,tree,bike,IC,0.9970000000000001,0.45
cornet_s_pretrained,tree,chair,IC,0.998,0.6
cornet_s_pretrained,tree,flower,IC,0.9960000000000001,0.5
cornet_s_pretrained,tree,fork,IC,1.0,0.8
cornet_s_pretrained,tree,guitar,IC,0.998,0.45
cornet_s_pretrained,tree,key,IC,0.998,0.65
cornet_s_pretrained,tree,kite,IC,0.9960000000000001,0.55
cornet_s_pretrained,tree,lamp,IC,0.998,0.65
cornet_s_pretrained,tree,leaf,IC,0.9960000000000001,0.55
cornet_s_pretrained,tree,spoon,IC,0.9960000000000001,0.5
cornet_s_pretrained,tree,truck,IC,0.999,0.55
cornet_s_pretrained,tree,umbrella,IC,0.999,0.55
cornet_s_pretrained,truck,airplane,IC,0.999,0.5
cornet_s_pretrained,truck,apple,IC,1.0,0.75
