sub,age,age_group,cond,curv_100.0_high,curv_100.0_low,curv_150.0_high,curv_150.0_low,curv_200.0_high,curv_200.0_low,curv_250.0_high,curv_250.0_low,curv_300.0_high,curv_300.0_low,axis_100.0_high,axis_100.0_low,axis_150.0_high,axis_150.0_low,axis_200.0_high,axis_200.0_low,axis_250.0_high,axis_250.0_low,axis_300.0_high,axis_300.0_low
6031,3.73,3yrold,perturbed,,0.0,1.0,1.0,0.5,,0.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.5,,,0.5,1.0,0.0
6033,3.41,3yrold,complete,0.6666666666666666,1.0,1.0,,1.0,1.0,1.0,,,1.0,0.6666666666666666,1.0,1.0,,1.0,1.0,,1.0,1.0,
6035,3.79,3yrold,deleted,,1.0,,,,0.5,1.0,1.0,1.0,0.0,1.0,,,,,0.5,1.0,1.0,0.5,1.0
6036,3.05,3yrold,complete,0.6,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.6,1.0,,1.0,1.0,1.0,0.5,1.0,1.0,1.0
6037,3.06,3yrold,perturbed,,,,,,,,,1.0,0.5,,,,,,,,,1.0,0.6666666666666666
6038,3.36,3yrold,deleted,,,,,,,,,0.6666666666666666,,,,,,,,,,1.0,0.0
6039,3.95,3yrold,complete,,1.0,1.0,0.5,0.0,1.0,,1.0,,1.0,1.0,,1.0,0.6666666666666666,,0.5,1.0,,1.0,1.0
6040,3.53,3yrold,perturbed,,,,,,,,0.5,0.5,1.0,,,,,,,1.0,0.0,,0.6666666666666666
6041,3.62,3yrold,deleted,0.75,0.3333333333333333,1.0,0.5,1.0,1.0,,0.0,,1.0,0.3333333333333333,0.75,1.0,0.5,1.0,1.0,0.0,,,1.0
6042,3.85,3yrold,complete,0.6666666666666666,1.0,1.0,1.0,1.0,,1.0,,,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,,1.0,,0.5,
6043,4.25,4yrold,perturbed,1.0,0.3333333333333333,,1.0,1.0,,1.0,,0.75,,1.0,0.5,1.0,,1.0,1.0,1.0,,0.5,1.0
6044,3.83,3yrold,deleted,,,,,,,,,0.0,0.5,,,,,,,,,0.4,0.0
6045,5.52,5yrold,deleted,0.0,,,,1.0,,,1.0,0.25,,,0.0,,,,1.0,1.0,1.0,0.3333333333333333,0.0
6046,5.02,5yrold,complete,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0
6047,5.74,5yrold,perturbed,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0
6048,5.01,5yrold,deleted,1.0,0.5,1.0,,1.0,,1.0,1.0,1.0,,0.5,1.0,1.0,1.0,1.0,,,1.0,1.0,
6049,5.72,5yrold,complete,0.75,1.0,,,1.0,,,,1.0,,0.8,1.0,,,1.0,,,,1.0,
6050,5.9,5yrold,perturbed,0.3333333333333333,0.8,1.0,1.0,,0.0,,1.0,1.0,,0.4,1.0,1.0,1.0,,0.0,,1.0,,1.0
6051,5.2,5yrold,deleted,1.0,1.0,,,0.0,1.0,,1.0,0.5,1.0,1.0,1.0,,,0.0,1.0,,1.0,1.0,0.6666666666666666
