model,layer,corr,acc
vonenet_ff_ecoset,vone_block.output,-0.0038800437912401282,0.5008333333333334
vonenet_ff_ecoset,model.V2.norm3_0,-0.0250962144119411,0.501904761904762
vonenet_ff_ecoset,model.V4.norm3_0,0.006163451318317322,0.5109523809523809
vonenet_ff_ecoset,model.IT.norm3_0,-0.022445125617939758,0.5063095238095238
vonenet_ff_ecoset,top,0.0700212918950975,0.5661904761904762
vonenet_ff_stylized-ecoset,vone_block.output,0.12710844594391324,0.5004761904761904
vonenet_ff_stylized-ecoset,model.V2.norm3_0,-0.10376438667464727,0.5072619047619048
vonenet_ff_stylized-ecoset,model.V4.norm3_0,-0.05332433521400667,0.513095238095238
vonenet_ff_stylized-ecoset,model.IT.norm3_0,-0.05500744035731978,0.5039285714285714
vonenet_ff_stylized-ecoset,top,-0.07774998711418474,0.5441071428571429
vonenet_r_ecoset,vone_block.output,-0.052265785401809296,0.5002380952380953
vonenet_r_ecoset,model.V2.norm3_1,-0.008081939468373602,0.5097619047619046
vonenet_r_ecoset,model.V4.norm3_3,0.06976340457762914,0.5508333333333334
vonenet_r_ecoset,model.IT.norm3_1,-0.027786608260956226,0.5516666666666667
vonenet_r_ecoset,top,-0.08224043341103462,0.6046428571428571
vonenet_r_stylized-ecoset,vone_block.output,0.01618834238869852,0.5009523809523809
vonenet_r_stylized-ecoset,model.V2.norm3_1,0.04649542902028734,0.5058333333333334
vonenet_r_stylized-ecoset,model.V4.norm3_3,0.07745675921764729,0.5732142857142857
vonenet_r_stylized-ecoset,model.IT.norm3_1,0.04287677427419944,0.5557142857142856
vonenet_r_stylized-ecoset,top,0.049269265366226,0.66125
SayCam,layer1.2.relu,-0.07076760965927781,0.5030952380952382
SayCam,layer2.3.relu,-0.009729762671519235,0.5060714285714286
SayCam,layer3.5.relu,0.09162087372225715,0.5301190476190476
SayCam,layer4.2.relu,0.1048927402756423,0.5285714285714286
SayCam,top,0.04255105711521444,0.6028571428571429
cvcl,vision_encoder.model.layer1.2.relu,-0.05434406269153329,0.5046428571428572
cvcl,vision_encoder.model.layer2.3.relu,-0.030711945535254935,0.5070238095238095
cvcl,vision_encoder.model.layer3.5.relu,-0.03334499919465557,0.526547619047619
cvcl,vision_encoder.model.layer4.2.relu,0.04316210231513482,0.5175
cvcl,top,-0.010108814562920058,0.5630357142857143
convnext,features.1.0.block.6,-0.04867427844485349,0.501904761904762
convnext,features.1.1.block.6,0.002529594933653265,0.5030952380952382
convnext,features.1.2.block.6,-0.0472406704336791,0.5017857142857143
convnext,features.3.0.block.6,0.07934172379301108,0.5005952380952381
convnext,features.3.1.block.6,-0.11684728325950665,0.5029761904761905
convnext,features.3.2.block.6,0.050923887985292994,0.5063095238095239
convnext,features.5.0.block.6,-0.012780282780124164,0.5097619047619047
convnext,features.5.1.block.6,0.04500151458553473,0.5063095238095238
convnext,features.5.2.block.6,0.05550620294743251,0.5085714285714287
convnext,features.5.3.block.6,-0.10228421880334794,0.5136904761904761
convnext,features.5.4.block.6,0.047038193812059134,0.518452380952381
convnext,features.5.5.block.6,-0.0029168962039924046,0.5182142857142857
convnext,features.5.6.block.6,0.06292861540402153,0.5079761904761905
convnext,features.5.7.block.6,0.008490589627876268,0.5047619047619047
convnext,features.5.8.block.6,-0.035669608561404005,0.5136904761904761
convnext,features.5.9.block.6,0.04030222264578279,0.5144047619047619
