model,classifier,train_ims,condition,acc,ci_low,ci_high,fig_number
3yrold-fast,,,perturbed,0.6623281293511557,0.5903902551517682,0.7404418054685324,0
3yrold-slow,,,perturbed,0.7907013125763124,0.7131734584859585,0.8669190705128206,0
4yrold-fast,,,perturbed,0.795519140785685,0.741612856225678,0.848461928568776,0
4yrold-slow,,,perturbed,0.8922123015873016,0.8381448412698413,0.9421881200396824,0
5yrold-fast,,,perturbed,0.8714257312236635,0.8185912045739349,0.9222594432509843,0
5yrold-slow,,,perturbed,0.9137896825396826,0.8702380952380953,0.9551587301587301,0
Adult-fast,,,perturbed,0.9523635477582846,0.9048489278752437,0.9883040935672516,0
Adult-slow,,,perturbed,1.0,1.0,1.0,0
VoneNet_FF-EcoSet,NC,300,Pert,0.5836904761904762,0.562438988095238,0.6047633928571428,1
VoneNet_FF-EcoSet-Style,KNN,300,Pert,0.5761904761904761,0.5586904761904763,0.5939300595238095,1
VoneNet_R-EcoSet,NC,300,Pert,0.614047619047619,0.5945833333333334,0.6332142857142857,1
VoneNet_R-EcoSet-Style,KNN,300,Pert,0.635654761904762,0.6164285714285713,0.6545238095238096,1
ResNext50_SAY,NC,300,Pert,0.641547619047619,0.6249389880952381,0.6579166666666666,1
CVCL,logistic,300,Pert,0.5717857142857143,0.5582142857142857,0.5859523809523809,1
ConvNext-ImageNet1k,logistic,250,Pert,0.5949404761904762,0.58,0.6104166666666667,1
ViT-ImageNet1k,logistic,300,Pert,0.5972619047619048,0.5826190476190476,0.6120833333333333,1
ViT-DINOv2,KNN,300,Pert,0.919047619047619,0.9029151785714284,0.934703869047619,1
ViT-CLIP,logistic,300,Pert,0.9720238095238095,0.9623214285714285,0.9810119047619047,1
ResNet50-ImageNet1k,logistic,150,Pert,0.6689285714285714,0.6504761904761904,0.687797619047619,2
ResNet50-ImageNet-Sketch,NC,300,Pert,0.7267261904761906,0.7027961309523808,0.7501190476190477,2
ResNet50-ImageNet21k,NC,300,Pert,0.822857142857143,0.7989866071428572,0.8460119047619047,2
ResNet50-DINO,logistic,50,Pert,0.5898809523809524,0.5784523809523809,0.6020833333333333,2
ResNet50-YFCC15m,logistic,300,Pert,0.6639880952380952,0.6467261904761905,0.6808333333333333,2
ResNet50-CLIP,logistic,300,Pert,0.8291666666666667,0.809404761904762,0.8488690476190476,2
