model,classifier,train_ims,condition,acc,ci_low,ci_high,fig_number
3yrold-fast,,,deleted,0.5425714858335268,0.47203249872376096,0.6201008755516494,0
3yrold-slow,,,deleted,0.5792288239490075,0.5230326532184083,0.6367250617367161,0
4yrold-fast,,,deleted,0.717093839705582,0.6574669487151406,0.7771633601277776,0
4yrold-slow,,,deleted,0.8256392045454546,0.7614820639430016,0.8878621031746032,0
5yrold-fast,,,deleted,0.6729469852258665,0.5938691189477575,0.7550157194236559,0
5yrold-slow,,,deleted,0.7843875780932618,0.7154001280101724,0.8518871186965888,0
Adult-fast,,,deleted,0.9013112910481332,0.8500638495276652,0.9491962719298246,0
Adult-slow,,,deleted,0.9680555555555556,0.9305555555555556,1.0,0
VoneNet_FF-EcoSet,NC,300,IC,0.5661904761904762,0.5501190476190476,0.5823214285714285,1
VoneNet_FF-EcoSet-Style,logistic,300,IC,0.5441071428571429,0.5302976190476191,0.5585119047619047,1
VoneNet_R-EcoSet,NC,300,IC,0.6046428571428571,0.5838080357142856,0.6260714285714285,1
VoneNet_R-EcoSet-Style,KNN,300,IC,0.66125,0.6413095238095239,0.6815476190476191,1
ResNext50_SAY,NC,300,IC,0.6028571428571429,0.5861309523809524,0.6195833333333333,1
CVCL,logistic,300,IC,0.5630357142857143,0.5491666666666667,0.5773214285714285,1
ConvNext-ImageNet1k,Ridge,50,IC,0.6057142857142858,0.5932738095238096,0.6183928571428572,1
ViT-ImageNet1k,logistic,250,IC,0.5844642857142857,0.5721428571428572,0.5972619047619048,1
ViT-CLIP,logistic,300,IC,0.8335714285714286,0.8124985119047619,0.8547053571428572,1
ResNet50-ImageNet1k,NC,300,IC,0.5835714285714285,0.5601190476190476,0.6070848214285713,2
ResNet50-ImageNet21k,NC,250,IC,0.7013690476190476,0.6786904761904761,0.7245238095238095,2
ResNet50-YFCC15m,logistic,300,IC,0.6897619047619047,0.670297619047619,0.7095238095238096,2
ResNet50-CLIP,logistic,250,IC,0.741904761904762,0.7216666666666667,0.7617872023809524,2
