sub,age,age_group,cond,duration,speed,target,distractor,acc
6000,5.93,5yrold,deleted,0.3,intro,squirrel,rabbit,0
6000,5.93,5yrold,deleted,0.3,intro,chair,apple,1
6000,5.93,5yrold,deleted,0.3,intro,airplane,watch,1
6000,5.93,5yrold,deleted,0.25,slow,apple,umbrella,1
6000,5.93,5yrold,deleted,0.25,slow,umbrella,guitar,1
6000,5.93,5yrold,deleted,0.25,slow,frog,foot,0
6000,5.93,5yrold,deleted,0.25,slow,rabbit,butterfly,0
6000,5.93,5yrold,deleted,0.25,slow,guitar,spoon,1
6000,5.93,5yrold,deleted,0.25,slow,fish,dog,0
6000,5.93,5yrold,deleted,0.25,slow,cat,cow,1
6000,5.93,5yrold,deleted,0.25,slow,bear,rabbit,1
6000,5.93,5yrold,deleted,0.2,slow,hand,squirrel,1
6000,5.93,5yrold,deleted,0.2,slow,fork,flower,1
6000,5.93,5yrold,deleted,0.2,slow,bird,frog,1
6000,5.93,5yrold,deleted,0.15,fast,flower,chair,1
6000,5.93,5yrold,deleted,0.15,fast,cow,elephant,1
6000,5.93,5yrold,deleted,0.15,fast,tree,toothbrush,1
6000,5.93,5yrold,deleted,0.1,fast,key,kite,1
6000,5.93,5yrold,deleted,0.1,fast,leaf,spoon,1
6000,5.93,5yrold,deleted,0.1,fast,bicycle,chair,1
6000,5.93,5yrold,deleted,0.1,fast,spoon,apple,1
6000,5.93,5yrold,deleted,0.1,fast,turtle,ant,0
6000,5.93,5yrold,deleted,0.1,fast,lamp,scissors,0
6000,5.93,5yrold,deleted,0.1,fast,dog,foot,1
6000,5.93,5yrold,deleted,0.1,fast,kite,lamp,1
6000,5.93,5yrold,deleted,0.1,fast,butterfly,bird,0
6000,5.93,5yrold,deleted,0.1,fast,foot,turtle,0
6000,5.93,5yrold,deleted,0.1,fast,elephant,squirrel,1
6000,5.93,5yrold,deleted,0.1,fast,duck,elephant,1
6000,5.93,5yrold,deleted,0.1,fast,truck,key,1
6001,5.34,5yrold,complete,0.3,intro,truck,leaf,1
6001,5.34,5yrold,complete,0.3,intro,airplane,umbrella,1
6001,5.34,5yrold,complete,0.25,slow,foot,bird,1
6001,5.34,5yrold,complete,0.25,slow,bicycle,tree,1
6001,5.34,5yrold,complete,0.25,slow,kite,spoon,1
6001,5.34,5yrold,complete,0.2,slow,umbrella,leaf,1
6001,5.34,5yrold,complete,0.2,slow,chair,key,1
6001,5.34,5yrold,complete,0.2,slow,guitar,apple,1
6001,5.34,5yrold,complete,0.15,fast,apple,watch,1
6001,5.34,5yrold,complete,0.15,fast,leaf,apple,1
6001,5.34,5yrold,complete,0.15,fast,squirrel,hand,0
6001,5.34,5yrold,complete,0.15,fast,elephant,duck,1
6001,5.34,5yrold,complete,0.15,fast,spoon,airplane,1
6001,5.34,5yrold,complete,0.15,fast,frog,ant,0
6001,5.34,5yrold,complete,0.15,fast,tree,lamp,1
6001,5.34,5yrold,complete,0.15,fast,butterfly,cow,1
6001,5.34,5yrold,complete,0.1,fast,hand,kangaroo,1
6001,5.34,5yrold,complete,0.1,fast,cat,ant,1
6001,5.34,5yrold,complete,0.1,fast,flower,airplane,1
6001,5.34,5yrold,complete,0.1,fast,turtle,penguin,1
6001,5.34,5yrold,complete,0.1,fast,lamp,tree,0
6001,5.34,5yrold,complete,0.1,fast,duck,squirrel,1
6001,5.34,5yrold,complete,0.1,fast,fork,flower,1
