model,classifier,train_ims,condition,acc,ci_low,ci_high,fig_number
3yrold-fast,,,deleted,0.5425714858335268,0.47060808116140834,0.6205461379504874,0
3yrold-slow,,,deleted,0.5792288239490075,0.5237477689620442,0.6368028658238596,0
4yrold-fast,,,deleted,0.717093839705582,0.657438259453564,0.7787176995307316,0
4yrold-slow,,,deleted,0.8256392045454546,0.7621165618235931,0.88669411751443,0
5yrold-fast,,,deleted,0.6729469852258665,0.5938020261911231,0.7524611618553549,0
5yrold-slow,,,deleted,0.7843875780932618,0.7148654434818414,0.8538941390950321,0
Adult-fast,,,deleted,0.9013112910481332,0.849907529239766,0.9500566520467836,0
Adult-slow,,,deleted,0.9680555555555556,0.9319444444444445,1.0,0
VoneNet_FF-EcoSet,NC,300,IC,0.5661904761904762,0.5505357142857144,0.5823214285714285,1
VoneNet_FF-EcoSet-Style,logistic,300,IC,0.5441071428571429,0.5297619047619048,0.5583333333333333,1
VoneNet_R-EcoSet,NC,300,IC,0.6046428571428571,0.5833913690476189,0.6256547619047619,1
VoneNet_R-EcoSet-Style,KNN,300,IC,0.66125,0.6413095238095239,0.6819642857142856,1
ResNext50_SAY,NC,300,IC,0.6028571428571429,0.5857738095238095,0.6194642857142856,1
CVCL,logistic,300,IC,0.5630357142857143,0.5492857142857143,0.5776205357142857,1
ConvNext-ImageNet1k,Ridge,50,IC,0.6057142857142858,0.5931547619047619,0.6185714285714285,1
ViT-ImageNet1k,logistic,250,IC,0.5844642857142857,0.5723214285714285,0.5969047619047618,1
ViT-CLIP,logistic,300,IC,0.8335714285714286,0.8126785714285716,0.8542857142857143,1
ResNet50-ImageNet1k,NC,300,IC,0.5835714285714285,0.5601175595238095,0.6067261904761905,2
ResNet50-ImageNet21k,NC,250,IC,0.7013690476190476,0.677797619047619,0.7243452380952381,2
ResNet50-YFCC15m,logistic,300,IC,0.6897619047619047,0.6696428571428571,0.7092261904761905,2
ResNet50-CLIP,logistic,250,IC,0.741904761904762,0.7216071428571428,0.7621443452380953,2
