model,classifier,train_ims,condition,acc,ci,ci_low,ci_high
vonenet_ff_ecoset,NB,50,Outline,0.5376190476190477,0.009651150139689464,0.5279678974793582,0.5472701977587371
vonenet_ff_stylized-ecoset,KNN,200,Outline,0.5713690476190476,0.01644190150296334,0.5549271461160843,0.5878109491220109
vonenet_r_ecoset,NC,300,Outline,0.6650595238095238,0.01858886393794185,0.6464706598715819,0.6836483877474657
vonenet_r_stylized-ecoset,KNN,300,Outline,0.6552976190476191,0.018342654949217448,0.6369549640984016,0.6736402739968366
ShapeNet,KNN,300,Outline,0.6873809523809523,0.01825872763851466,0.6691222247424377,0.705639680019467
SayCam,NC,300,Outline,0.6030952380952381,0.01768115885382555,0.5854140792414125,0.6207763969490637
convnext,logistic,300,Outline,0.6873809523809523,0.020745773101154167,0.6666351792797981,0.7081267254821065
vit,Ridge,300,Outline,0.6193452380952381,0.01716668317614734,0.6021785549190908,0.6365119212713855
3yrold_fast,,,complete,0.7338213839171771,0.07032294601474134,0.6634984379024358,0.8041443299319184
3yrold_slow,,,complete,0.8391865079365081,0.06944147988841297,0.7697450280480951,0.908627987824921
4yrold_fast,,,complete,0.76401299905271,0.08731030130586238,0.6767026977468477,0.8513233003585724
4yrold_slow,,,complete,0.882903540903541,0.06585106109488796,0.817052479808653,0.9487546019984289
5yrold_fast,,,complete,0.834794721492478,0.05453114065937843,0.7802635808330995,0.8893258621518565
5yrold_slow,,,complete,0.9337535014005602,0.03986202246345547,0.8938914789371047,0.9736155238640157
