model,classifier,train_ims,condition,acc,ci,ci_low,ci_high
ResNet50-ImageNet1k,logistic,150,Pert,0.6689285714285714,0.018921541099539,0.6500070303290324,0.6878501125281105
ResNet50-ImageNet21k,NC,300,Pert,0.822857142857143,0.022940646324348373,0.7999164965327946,0.8457977891814913
ResNet-YFCC15m,logistic,300,Pert,0.6639880952380952,0.01673526445876806,0.6472528307793272,0.6807233596968633
ResNet-CLIP,logistic,300,Pert,0.8291666666666667,0.019872897969860824,0.8092937686968059,0.8490395646365275
3yrold-fast,,,perturbed,0.6282515733053331,0.08865146269219067,0.5396001106131424,0.7169030359975238
3yrold-slow,,,perturbed,0.7829640068189354,0.0850213752055799,0.6979426316133555,0.8679853820245154
4yrold-fast,,,perturbed,0.795519140785685,0.053967014924341014,0.741552125861344,0.849486155710026
4yrold-slow,,,perturbed,0.8922123015873016,0.053476541451493484,0.8387357601358081,0.9456888430387951
5yrold-fast,,,perturbed,0.878058384284888,0.051735102710150735,0.8263232815747373,0.9297934869950387
5yrold-slow,,,perturbed,0.9120039682539682,0.04390260080381138,0.8681013674501569,0.9559065690577796
Adult-fast,,,perturbed,0.9523635477582846,0.04414907095843469,0.9082144767998499,0.9965126187167193
Adult-slow,,,perturbed,1.0,0.0,1.0,1.0
