model,obj1,obj2,condition,train_acc,acc
convnext,airplane,apple,IC,1.0,1.0
convnext,airplane,bike,IC,1.0,1.0
convnext,airplane,chair,IC,1.0,1.0
convnext,airplane,flower,IC,1.0,1.0
convnext,airplane,fork,IC,1.0,1.0
convnext,airplane,guitar,IC,1.0,0.85
convnext,airplane,key,IC,1.0,0.8
convnext,airplane,kite,IC,1.0,1.0
convnext,airplane,lamp,IC,1.0,1.0
convnext,airplane,leaf,IC,1.0,1.0
convnext,airplane,spoon,IC,0.999,0.9
convnext,airplane,tree,IC,1.0,0.95
convnext,airplane,truck,IC,1.0,0.8
convnext,airplane,umbrella,IC,1.0,1.0
convnext,apple,airplane,IC,1.0,1.0
convnext,apple,bike,IC,1.0,1.0
convnext,apple,chair,IC,1.0,0.95
convnext,apple,flower,IC,1.0,0.6
convnext,apple,fork,IC,1.0,0.95
convnext,apple,guitar,IC,1.0,0.9
convnext,apple,key,IC,1.0,0.6
convnext,apple,kite,IC,1.0,0.5
convnext,apple,lamp,IC,1.0,0.75
convnext,apple,leaf,IC,1.0,0.7
convnext,apple,spoon,IC,1.0,0.9
convnext,apple,tree,IC,0.991,0.7
convnext,apple,truck,IC,1.0,0.7
convnext,apple,umbrella,IC,1.0,1.0
convnext,bike,airplane,IC,1.0,1.0
convnext,bike,apple,IC,1.0,1.0
convnext,bike,chair,IC,1.0,1.0
convnext,bike,flower,IC,1.0,1.0
convnext,bike,fork,IC,1.0,1.0
convnext,bike,guitar,IC,1.0,1.0
convnext,bike,key,IC,1.0,0.55
convnext,bike,kite,IC,1.0,1.0
convnext,bike,lamp,IC,1.0,1.0
convnext,bike,leaf,IC,1.0,1.0
convnext,bike,spoon,IC,1.0,0.95
convnext,bike,tree,IC,1.0,1.0
convnext,bike,truck,IC,1.0,1.0
convnext,bike,umbrella,IC,1.0,1.0
convnext,chair,airplane,IC,1.0,1.0
convnext,chair,apple,IC,1.0,0.95
convnext,chair,bike,IC,1.0,1.0
convnext,chair,flower,IC,1.0,1.0
convnext,chair,fork,IC,1.0,0.95
convnext,chair,guitar,IC,1.0,0.8
convnext,chair,key,IC,1.0,1.0
convnext,chair,kite,IC,1.0,1.0
convnext,chair,lamp,IC,1.0,0.95
convnext,chair,leaf,IC,1.0,1.0
convnext,chair,spoon,IC,1.0,1.0
convnext,chair,tree,IC,0.999,0.5
convnext,chair,truck,IC,1.0,0.5
convnext,chair,umbrella,IC,1.0,1.0
convnext,flower,airplane,IC,1.0,1.0
convnext,flower,apple,IC,1.0,0.6
convnext,flower,bike,IC,1.0,1.0
convnext,flower,chair,IC,0.999,1.0
convnext,flower,fork,IC,1.0,1.0
convnext,flower,guitar,IC,1.0,0.7
convnext,flower,key,IC,1.0,1.0
convnext,flower,kite,IC,1.0,0.9
convnext,flower,lamp,IC,1.0,1.0
convnext,flower,leaf,IC,1.0,0.5
convnext,flower,spoon,IC,1.0,1.0
convnext,flower,tree,IC,0.998,0.5
convnext,flower,truck,IC,1.0,1.0
convnext,flower,umbrella,IC,1.0,0.9
convnext,fork,airplane,IC,1.0,1.0
convnext,fork,apple,IC,1.0,1.0
convnext,fork,bike,IC,1.0,1.0
convnext,fork,chair,IC,1.0,0.9
convnext,fork,flower,IC,1.0,1.0
convnext,fork,guitar,IC,1.0,0.9
convnext,fork,key,IC,1.0,0.55
convnext,fork,kite,IC,1.0,1.0
convnext,fork,lamp,IC,1.0,0.95
convnext,fork,leaf,IC,1.0,1.0
convnext,fork,spoon,IC,1.0,0.65
convnext,fork,tree,IC,1.0,1.0
convnext,fork,truck,IC,1.0,1.0
convnext,fork,umbrella,IC,1.0,1.0
convnext,guitar,airplane,IC,1.0,0.9
convnext,guitar,apple,IC,1.0,0.85
convnext,guitar,bike,IC,1.0,1.0
convnext,guitar,chair,IC,1.0,0.8
convnext,guitar,flower,IC,1.0,0.65
convnext,guitar,fork,IC,1.0,0.95
convnext,guitar,key,IC,1.0,0.5
convnext,guitar,kite,IC,1.0,0.5
convnext,guitar,lamp,IC,1.0,0.5
convnext,guitar,leaf,IC,1.0,0.5
convnext,guitar,spoon,IC,1.0,0.5
convnext,guitar,tree,IC,0.9960000000000001,0.75
convnext,guitar,truck,IC,1.0,0.9
convnext,guitar,umbrella,IC,1.0,0.9
convnext,key,airplane,IC,1.0,0.8
convnext,key,apple,IC,1.0,0.55
convnext,key,bike,IC,1.0,0.6
convnext,key,chair,IC,1.0,1.0
convnext,key,flower,IC,1.0,1.0
convnext,key,fork,IC,1.0,0.5
convnext,key,guitar,IC,1.0,0.5
convnext,key,kite,IC,1.0,0.55
convnext,key,lamp,IC,1.0,0.7
convnext,key,leaf,IC,1.0,0.9
convnext,key,spoon,IC,1.0,0.75
convnext,key,tree,IC,1.0,0.5
convnext,key,truck,IC,1.0,0.5
convnext,key,umbrella,IC,1.0,0.75
convnext,kite,airplane,IC,1.0,1.0
convnext,kite,apple,IC,1.0,0.55
convnext,kite,bike,IC,1.0,1.0
convnext,kite,chair,IC,1.0,1.0
convnext,kite,flower,IC,1.0,0.75
convnext,kite,fork,IC,1.0,1.0
convnext,kite,guitar,IC,1.0,0.5
convnext,kite,key,IC,1.0,0.5
convnext,kite,lamp,IC,1.0,0.6
convnext,kite,leaf,IC,1.0,0.55
convnext,kite,spoon,IC,1.0,0.75
convnext,kite,tree,IC,1.0,0.5
convnext,kite,truck,IC,1.0,0.9
convnext,kite,umbrella,IC,1.0,0.5
convnext,lamp,airplane,IC,1.0,1.0
convnext,lamp,apple,IC,1.0,0.6
convnext,lamp,bike,IC,1.0,0.95
convnext,lamp,chair,IC,1.0,0.9
convnext,lamp,flower,IC,1.0,1.0
convnext,lamp,fork,IC,1.0,0.95
convnext,lamp,guitar,IC,1.0,0.55
convnext,lamp,key,IC,1.0,0.6
convnext,lamp,kite,IC,1.0,0.7
convnext,lamp,leaf,IC,1.0,1.0
convnext,lamp,spoon,IC,1.0,0.95
convnext,lamp,tree,IC,1.0,0.4
convnext,lamp,truck,IC,1.0,0.55
convnext,lamp,umbrella,IC,1.0,0.85
convnext,leaf,airplane,IC,1.0,1.0
convnext,leaf,apple,IC,1.0,0.7
convnext,leaf,bike,IC,1.0,1.0
convnext,leaf,chair,IC,1.0,1.0
convnext,leaf,flower,IC,1.0,0.5
convnext,leaf,fork,IC,1.0,1.0
convnext,leaf,guitar,IC,1.0,0.55
convnext,leaf,key,IC,1.0,0.8
convnext,leaf,kite,IC,1.0,0.55
convnext,leaf,lamp,IC,1.0,1.0
convnext,leaf,spoon,IC,1.0,0.85
convnext,leaf,tree,IC,1.0,0.05
convnext,leaf,truck,IC,1.0,0.9
convnext,leaf,umbrella,IC,1.0,0.6
convnext,spoon,airplane,IC,1.0,0.95
convnext,spoon,apple,IC,1.0,0.9
convnext,spoon,bike,IC,1.0,0.95
convnext,spoon,chair,IC,1.0,0.9
convnext,spoon,flower,IC,1.0,1.0
convnext,spoon,fork,IC,1.0,0.5
convnext,spoon,guitar,IC,1.0,0.5
convnext,spoon,key,IC,1.0,0.65
convnext,spoon,kite,IC,1.0,0.75
convnext,spoon,lamp,IC,1.0,0.9
convnext,spoon,leaf,IC,1.0,0.75
convnext,spoon,tree,IC,1.0,0.5
convnext,spoon,truck,IC,1.0,0.5
convnext,spoon,umbrella,IC,1.0,0.95
convnext,tree,airplane,IC,1.0,0.75
convnext,tree,apple,IC,0.991,0.8
convnext,tree,bike,IC,1.0,0.95
convnext,tree,chair,IC,1.0,0.6
convnext,tree,flower,IC,0.998,0.5
convnext,tree,fork,IC,1.0,1.0
convnext,tree,guitar,IC,0.9970000000000001,0.55
convnext,tree,key,IC,1.0,0.5
convnext,tree,kite,IC,1.0,0.5
convnext,tree,lamp,IC,1.0,0.4
convnext,tree,leaf,IC,1.0,0.1
convnext,tree,spoon,IC,1.0,0.5
convnext,tree,truck,IC,1.0,0.8
convnext,tree,umbrella,IC,1.0,0.5
convnext,truck,airplane,IC,1.0,0.95
convnext,truck,apple,IC,1.0,0.65
convnext,truck,bike,IC,1.0,1.0
convnext,truck,chair,IC,1.0,0.55
convnext,truck,flower,IC,1.0,0.95
convnext,truck,fork,IC,1.0,0.95
convnext,truck,guitar,IC,1.0,1.0
convnext,truck,key,IC,1.0,0.5
convnext,truck,kite,IC,1.0,0.75
convnext,truck,lamp,IC,1.0,0.6
convnext,truck,leaf,IC,1.0,1.0
convnext,truck,spoon,IC,1.0,0.5
convnext,truck,tree,IC,1.0,0.85
convnext,truck,umbrella,IC,1.0,0.85
convnext,umbrella,airplane,IC,1.0,1.0
convnext,umbrella,apple,IC,1.0,1.0
convnext,umbrella,bike,IC,1.0,1.0
convnext,umbrella,chair,IC,1.0,0.95
convnext,umbrella,flower,IC,1.0,1.0
convnext,umbrella,fork,IC,1.0,1.0
convnext,umbrella,guitar,IC,1.0,0.95
convnext,umbrella,key,IC,1.0,0.55
convnext,umbrella,kite,IC,1.0,0.5
convnext,umbrella,lamp,IC,1.0,1.0
convnext,umbrella,leaf,IC,1.0,0.65
convnext,umbrella,spoon,IC,1.0,0.9
convnext,umbrella,tree,IC,1.0,0.5
convnext,umbrella,truck,IC,1.0,1.0
convnext,bear,bird,IC,1.0,0.95
convnext,bear,butterfly,IC,1.0,1.0
convnext,bear,cat,IC,0.999,0.6
