model,layer,corr,acc
vonenet_ff_ecoset,vone_block.output,0.027253085123737,0.5017857142857143
vonenet_ff_ecoset,model.V2.norm3_0,0.03588100151263027,0.5044047619047619
vonenet_ff_ecoset,model.V4.norm3_0,-0.03527582936648308,0.518095238095238
vonenet_ff_ecoset,model.IT.norm3_0,-0.011757135917558099,0.5089285714285714
vonenet_ff_ecoset,top,0.016437245471704928,0.5836904761904762
vonenet_ff_stylized-ecoset,vone_block.output,0.05406756757146064,0.5016666666666666
vonenet_ff_stylized-ecoset,model.V2.norm3_0,-0.14434189549718665,0.5076190476190476
vonenet_ff_stylized-ecoset,model.V4.norm3_0,-0.06261916781074357,0.5157142857142857
vonenet_ff_stylized-ecoset,model.IT.norm3_0,-0.0779144120197361,0.5027380952380952
vonenet_ff_stylized-ecoset,top,0.021315613624780443,0.5761904761904761
vonenet_r_ecoset,vone_block.output,0.06087860601231164,0.5011904761904762
vonenet_r_ecoset,model.V2.norm3_1,-0.030021619473226107,0.51
vonenet_r_ecoset,model.V4.norm3_3,-0.03517243550190668,0.5602380952380953
vonenet_r_ecoset,model.IT.norm3_1,0.03293480730362813,0.5403571428571429
vonenet_r_ecoset,top,0.01568830873178622,0.614047619047619
vonenet_r_stylized-ecoset,vone_block.output,0.04650213178846624,0.5010714285714285
vonenet_r_stylized-ecoset,model.V2.norm3_1,0.03556369224088897,0.5094047619047619
vonenet_r_stylized-ecoset,model.V4.norm3_3,-0.008337666732983673,0.5938095238095238
vonenet_r_stylized-ecoset,model.IT.norm3_1,0.02536650274553931,0.5496428571428571
vonenet_r_stylized-ecoset,top,0.021832249161811142,0.635654761904762
SayCam,layer1.2.relu,-0.09571200833339845,0.504047619047619
SayCam,layer2.3.relu,-0.08108729751187889,0.5079761904761905
SayCam,layer3.5.relu,0.003803192916698535,0.533452380952381
SayCam,layer4.2.relu,0.08454685363002098,0.5276190476190477
SayCam,top,0.0739377307140481,0.641547619047619
cvcl,vision_encoder.model.layer1.2.relu,-0.08334596855436298,0.5046428571428572
cvcl,vision_encoder.model.layer2.3.relu,-0.04849668864988464,0.510952380952381
cvcl,vision_encoder.model.layer3.5.relu,0.008483218662617911,0.5357142857142857
cvcl,vision_encoder.model.layer4.2.relu,-0.04197936747194872,0.5158333333333334
cvcl,top,-0.10242373070186153,0.5717857142857143
convnext,features.1.0.block.6,-0.02649089478940779,0.5017857142857143
convnext,features.1.1.block.6,-0.008311906978972449,0.5030952380952382
convnext,features.1.2.block.6,-0.050974545372696675,0.5025
convnext,features.3.0.block.6,-0.14293448516106064,0.5044047619047618
convnext,features.3.1.block.6,-0.039150220973209096,0.5025000000000001
convnext,features.3.2.block.6,-0.13187151123807345,0.5094047619047619
convnext,features.5.0.block.6,-0.08727734894171117,0.5076190476190476
convnext,features.5.1.block.6,0.0015938733499572821,0.5094047619047619
convnext,features.5.2.block.6,-0.157371530733507,0.5107142857142857
convnext,features.5.3.block.6,0.025791318611685075,0.5203571428571429
convnext,features.5.4.block.6,0.06101562993575026,0.5148809523809523
convnext,features.5.5.block.6,-0.14961497634111795,0.5166666666666667
convnext,features.5.6.block.6,-0.03147860359330947,0.5092857142857143
convnext,features.5.7.block.6,-0.02771036067843853,0.5061904761904762
convnext,features.5.8.block.6,-0.01670437285789636,0.5088095238095238
convnext,features.5.9.block.6,-0.04899990742525562,0.5173809523809524
convnext,features.5.10.block.6,0.023170191535923607,0.5097619047619047
convnext,features.5.11.block.6,-0.13418004893690852,0.5222619047619048
convnext,features.5.12.block.6,-0.06612253481028857,0.5096428571428572
convnext,features.5.13.block.6,-0.0884982055273229,0.5075000000000001
convnext,features.5.14.block.6,-0.047663354796491565,0.51
convnext,features.5.15.block.6,0.021542486789378014,0.5070238095238095
convnext,features.5.16.block.6,-0.045716256376009345,0.5095238095238095
convnext,features.5.17.block.6,-0.10374011695187334,0.5075
convnext,features.5.18.block.6,-0.06952297635928818,0.5079761904761906
convnext,features.5.19.block.6,0.03748696800739775,0.5072619047619048
convnext,features.5.20.block.6,-0.11385439398498633,0.5079761904761906
convnext,features.5.21.block.6,-0.12060738231573663,0.49892857142857144
convnext,features.5.22.block.6,-0.036356306271924696,0.5129761904761905
convnext,features.5.23.block.6,0.026191535266258927,0.514047619047619
convnext,features.5.24.block.6,-0.11733323231656043,0.5239285714285714
convnext,features.5.25.block.6,-0.044906421550208374,0.5154761904761904
convnext,features.5.26.block.6,-0.09832786139522733,0.5126190476190476
convnext,features.7.0.block.6,-0.1397512609876895,0.508452380952381
convnext,features.7.1.block.6,-0.018628671536197107,0.516904761904762
convnext,features.7.2.block.6,0.013974708538113828,0.5017857142857143
convnext,top,0.002363384873303253,0.5949404761904762
vit,blocks.0.ls2,0.07560198534498684,0.5045238095238096
vit,blocks.1.ls2,0.05680683098931834,0.5025000000000001
vit,blocks.2.ls2,0.010509556129967988,0.5032142857142857
vit,blocks.3.ls2,0.11158582724492756,0.5058333333333334
vit,blocks.4.ls2,0.004002985739095871,0.513095238095238
vit,blocks.5.ls2,-0.06752545702683896,0.5236904761904763
vit,blocks.6.ls2,-0.15396871294653977,0.5291666666666667
vit,blocks.7.ls2,-0.05549596515367514,0.5482142857142858
vit,blocks.8.ls2,-0.052795538310385456,0.5469047619047619
vit,blocks.9.ls2,-0.17320010472177855,0.5328571428571428
vit,blocks.10.ls2,0.03674576816490107,0.5129761904761905
vit,blocks.11.ls2,-0.006547200302503292,0.5522619047619047
vit,top,-0.06748896392164534,0.5972619047619048
vit_dinov2,blocks.0.ls1,-0.13024849300789124,0.5036904761904762
vit_dinov2,blocks.0.ls2,-0.049533364387816615,0.5026190476190475
vit_dinov2,blocks.1.ls1,-0.085917605680325,0.5016666666666666
vit_dinov2,blocks.1.ls2,-0.03893638874895417,0.5036904761904762
vit_dinov2,blocks.2.ls2,-0.10243854507730689,0.5010714285714285
vit_dinov2,blocks.3.ls2,-0.11261215090834978,0.5077380952380952
vit_dinov2,blocks.4.ls2,0.03138264796036639,0.5148809523809523
vit_dinov2,blocks.5.ls2,-0.004233825074434224,0.5234523809523809
vit_dinov2,blocks.6.ls2,0.02643945390832321,0.5233333333333333
vit_dinov2,blocks.7.ls2,0.05998055689417213,0.5446428571428571
vit_dinov2,blocks.8.ls2,0.06611849032561616,0.5561904761904762
vit_dinov2,blocks.9.ls2,0.003723695434253641,0.5814285714285714
vit_dinov2,blocks.10.ls2,0.10583554370027626,0.5953571428571429
vit_dinov2,blocks.11.ls2,-0.02506645910549256,0.6336904761904761
vit_dinov2,top,-0.03764232379599027,0.9175595238095238
clip_vit,visual.transformer.resblocks.0.ln_2,-0.07798187759620404,0.5022619047619047
clip_vit,visual.transformer.resblocks.1.ln_2,-0.02097897307533789,0.5042857142857143
clip_vit,visual.transformer.resblocks.2.ln_2,0.05419766296551313,0.5032142857142857
clip_vit,visual.transformer.resblocks.3.ln_2,-0.10184658908497422,0.5070238095238095
clip_vit,visual.transformer.resblocks.4.ln_2,-0.00460926256232521,0.513095238095238
clip_vit,visual.transformer.resblocks.5.ln_2,-0.031759292493845355,0.5327380952380952
clip_vit,visual.transformer.resblocks.6.ln_2,0.004020136803713552,0.5590476190476191
clip_vit,visual.transformer.resblocks.7.ln_2,0.0487246936282889,0.5778571428571428
clip_vit,visual.transformer.resblocks.8.ln_2,0.025147008458835652,0.6141666666666666
clip_vit,visual.transformer.resblocks.9.ln_2,0.019916227796433275,0.6342857142857142
clip_vit,visual.transformer.resblocks.10.ln_2,-0.0645062567631978,0.6153571428571428
clip_vit,top,-0.08319420386436424,0.9720238095238096
