object,num,category,conv_hull,axis_ratio
airplane,1,inam,207726.5,1.85742248952144
apple,4,inam,111249.5,1.24000229346488
bear,6,anim,182077,1.66643616577915
bicycle,7,inam,224235.5,1.51965672121555
bird,8,anim,82438.5,1.57612706473342
butterfly,10,anim,198781.5,1.42787064259994
cat,11,anim,91505.5,1.82560701102827
chair,12,inam,129630.5,1.7780380521015
cow,14,anim,209513,3.69126790874729
dog,16,anim,145392,1.47590654008513
duck,17,anim,120021.5,1.41798923265459
elephant,18,anim,232337,2.5047421109869
fish,19,anim,106535.5,1.35937953561933
flower,20,inam,128267,1.56757304008648
foot,21,anim,104638,1.95253803802447
fork,22,inam,60807,7.01718892753811
frog,23,anim,119756.5,1.58654386377734
hand,25,anim,120974.5,1.68656336477946
guitar,27,inam,115728.5,2.68920615316377
key,29,inam,57283,2.21162835023601
kite,30,inam,118493,3.41795511464702
lamp,31,inam,124328,1.91134484319034
leaf,32,inam,122694,1.0339278611734
rabbit,38,anim,107554,1.39782764453547
spoon,41,inam,59528.5,6.66146678663244
squirrel,42,anim,150792,1.18053530245822
tree,44,inam,232877.5,1.09429157610511
truck,45,inam,202442.5,2.60247887275641
turtle,46,anim,119141,1.97451207170811
umbrella,47,inam,151522.5,1.38504765232111
