obj1,obj2,conv_hull,ratio_diff,conv_hull_z,ratio_diff_z
airplane,apple,96477.0,0.61742019605656,0.8868613337566228,-0.39208789869300514
airplane,bear,25649.5,0.19098632374228997,-0.7266984175675574,-0.6618277541821221
airplane,bicycle,16509.0,0.3377657683058899,-0.9349331132292519,-0.5689827230158833
airplane,bird,125288.0,0.28129542478801994,1.5432203750245053,-0.6047029208914996
airplane,butterfly,8945.0,0.42955184692150006,-1.1072527060288861,-0.5109236306475332
airplane,cat,116221.0,0.0318154784931699,1.3366601227883494,-0.762510939977308
airplane,chair,78096.0,0.07938443741993995,0.46811378811277327,-0.7324212943376708
airplane,cow,1786.5,1.8338454192258502,-1.270334383059053,0.3773593361860925
airplane,dog,62334.5,0.38151594943631006,0.10904249489338719,-0.5413086372972772
airplane,duck,87705.0,0.43943325686685,0.6870216367658254,-0.5046731654201296
airplane,elephant,24610.5,0.64731962146546,-0.7503684409571423,-0.3731750795840658
airplane,fish,101191.0,0.49804295390211006,0.9942535284231321,-0.4675997239443058
airplane,flower,79459.5,0.28984944943495994,0.49917642227225256,-0.5992920904628711
airplane,foot,103088.5,0.09511554850302995,1.0374815066538705,-0.7224706128704427
airplane,fork,146919.5,5.15976643801667,2.0360193268549245,2.481163731714246
airplane,frog,87970.0,0.27087862574410004,0.6930587457150458,-0.6112920453752493
airplane,hand,86752.0,0.17085912474197995,0.6653108260918366,-0.6745591718818474
airplane,guitar,91998.0,0.8317836636423301,0.7848228017431957,-0.25649273488735375
airplane,key,150443.5,0.35420586071457016,2.1163014851079534,-0.5585835768915881
airplane,kite,89233.5,1.56053262512558,0.7218432255540645,0.20447589898670981
airplane,lamp,83398.5,0.05392235366889997,0.5889129209551928,-0.7485272822466137
airplane,leaf,85032.5,0.82349462834804,0.6261379625515178,-0.261735946854292
airplane,rabbit,100172.5,0.4595948449859699,0.9710505266692416,-0.49191999495510946
airplane,spoon,148198.0,4.804044297111,2.0651455298420123,2.2561524342733605
airplane,squirrel,56934.5,0.67688718706322,-0.01397783841148131,-0.35447217770570133
