model,classifier,train_ims,condition,acc,ci_low,ci_high,fig_number
3yrold-fast,,,perturbed,0.6282515733053331,0.5445089376210178,0.7181191427235571,0
3yrold-slow,,,perturbed,0.7829640068189354,0.6993306960249281,0.8660292658730159,0
4yrold-fast,,,perturbed,0.795519140785685,0.7419487601093759,0.8485652795682668,0
4yrold-slow,,,perturbed,0.8922123015873016,0.8382192460317461,0.9426339285714286,0
5yrold-fast,,,perturbed,0.878058384284888,0.8254647758647995,0.9260323520855711,0
5yrold-slow,,,perturbed,0.9120039682539682,0.8674603174603176,0.9523809523809524,0
Adult-fast,,,perturbed,0.9523635477582846,0.9043615984405459,0.9883040935672516,0
Adult-slow,,,perturbed,1.0,1.0,1.0,0
VoneNet_FF-EcoSet,NC,300,Pert,0.5836904761904762,0.562141369047619,0.6044657738095237,1
VoneNet_FF-EcoSet-Style,KNN,300,Pert,0.5761904761904761,0.5582738095238096,0.5941666666666667,1
VoneNet_R-EcoSet,NC,300,Pert,0.614047619047619,0.5947604166666667,0.6335729166666667,1
VoneNet_R-EcoSet-Style,KNN,300,Pert,0.635654761904762,0.6161904761904761,0.6556547619047619,1
ResNext50_SAY,NC,300,Pert,0.641547619047619,0.6248214285714286,0.6582738095238094,1
CVCL,logistic,300,Pert,0.5717857142857143,0.5583333333333333,0.5858348214285714,1
ConvNext-ImageNet1k,logistic,250,Pert,0.5949404761904762,0.5797619047619048,0.6107142857142858,1
ViT-ImageNet1k,logistic,300,Pert,0.5972619047619048,0.5828571428571429,0.6119642857142856,1
ViT-CLIP,logistic,300,Pert,0.9720238095238095,0.9620833333333334,0.9810119047619047,1
ResNet50-ImageNet1k,logistic,150,Pert,0.6689285714285714,0.6501770833333332,0.6876190476190475,2
ResNet50-ImageNet21k,NC,300,Pert,0.822857142857143,0.8001190476190476,0.8449419642857142,2
ResNet50-YFCC15m,logistic,300,Pert,0.6639880952380952,0.6469032738095237,0.6810119047619048,2
ResNet50-CLIP,logistic,300,Pert,0.8291666666666667,0.8090476190476189,0.848751488095238,2
