model,obj1,obj2,condition,train_acc,acc
vit,leaf,guitar,Pert,1.0,0.6
vit,leaf,key,Pert,1.0,0.5
vit,leaf,kite,Pert,1.0,0.5
vit,leaf,lamp,Pert,1.0,0.55
vit,leaf,spoon,Pert,1.0,0.5
vit,leaf,tree,Pert,1.0,0.5
vit,leaf,truck,Pert,1.0,0.5
vit,leaf,umbrella,Pert,1.0,0.5
vit,spoon,airplane,Pert,1.0,0.55
vit,spoon,apple,Pert,1.0,0.5
vit,spoon,bike,Pert,1.0,0.5
vit,spoon,chair,Pert,1.0,0.5
vit,spoon,flower,Pert,1.0,0.5
vit,spoon,fork,Pert,0.9880000000000001,0.5
vit,spoon,guitar,Pert,1.0,0.5
vit,spoon,key,Pert,0.9970000000000001,0.6
vit,spoon,kite,Pert,1.0,0.55
vit,spoon,lamp,Pert,1.0,0.75
vit,spoon,leaf,Pert,1.0,0.5
vit,spoon,tree,Pert,1.0,0.5
vit,spoon,truck,Pert,1.0,0.5
vit,spoon,umbrella,Pert,1.0,0.5
vit,tree,airplane,Pert,1.0,0.5
vit,tree,apple,Pert,1.0,0.5
vit,tree,bike,Pert,1.0,0.6
vit,tree,chair,Pert,1.0,0.5
vit,tree,flower,Pert,1.0,0.5
vit,tree,fork,Pert,1.0,0.5
vit,tree,guitar,Pert,1.0,0.5
vit,tree,key,Pert,1.0,0.5
vit,tree,kite,Pert,1.0,0.5
vit,tree,lamp,Pert,1.0,0.5
vit,tree,leaf,Pert,1.0,0.5
vit,tree,spoon,Pert,1.0,0.5
vit,tree,truck,Pert,1.0,1.0
vit,tree,umbrella,Pert,1.0,0.5
vit,truck,airplane,Pert,1.0,0.5
vit,truck,apple,Pert,1.0,0.5
vit,truck,bike,Pert,1.0,0.55
vit,truck,chair,Pert,1.0,0.55
vit,truck,flower,Pert,1.0,0.55
vit,truck,fork,Pert,1.0,0.5
vit,truck,guitar,Pert,1.0,0.5
vit,truck,key,Pert,1.0,0.5
vit,truck,kite,Pert,1.0,0.5
vit,truck,lamp,Pert,1.0,0.5
vit,truck,leaf,Pert,1.0,0.5
vit,truck,spoon,Pert,1.0,0.5
vit,truck,tree,Pert,1.0,0.95
vit,truck,umbrella,Pert,1.0,0.5
vit,umbrella,airplane,Pert,1.0,0.5
vit,umbrella,apple,Pert,1.0,0.5
vit,umbrella,bike,Pert,1.0,0.65
vit,umbrella,chair,Pert,1.0,0.6
vit,umbrella,flower,Pert,1.0,0.65
vit,umbrella,fork,Pert,1.0,0.5
vit,umbrella,guitar,Pert,1.0,0.5
vit,umbrella,key,Pert,1.0,0.5
vit,umbrella,kite,Pert,1.0,0.5
vit,umbrella,lamp,Pert,1.0,0.5
vit,umbrella,leaf,Pert,1.0,0.5
vit,umbrella,spoon,Pert,1.0,0.5
vit,umbrella,tree,Pert,1.0,0.5
vit,umbrella,truck,Pert,1.0,0.6
vit,bear,bird,Pert,1.0,0.5
vit,bear,butterfly,Pert,1.0,0.7
vit,bear,cat,Pert,1.0,0.55
vit,bear,cow,Pert,1.0,0.6
vit,bear,dog,Pert,1.0,0.65
vit,bear,duck,Pert,1.0,0.85
vit,bear,elephant,Pert,1.0,0.5
vit,bear,fish,Pert,1.0,0.5
