,OBJ (6).png,OBJ (25).png,OBJ (1).png,OBJ (38).png,OBJ (12).png,OBJ (21).png,OBJ (19).png,OBJ (18).png,OBJ (4).png,OBJ (41).png,OBJ (47).png,OBJ (46).png,OBJ (11).png,OBJ (16).png,OBJ (44).png,OBJ (27).png,OBJ (14).png,OBJ (32).png,OBJ (23).png,OBJ (29).png,OBJ (7).png,OBJ (8).png,OBJ (22).png,OBJ (42).png,OBJ (31).png,OBJ (45).png,OBJ (20).png,OBJ (17).png,OBJ (30).png,OBJ (10).png
OBJ (6).png,1.0,0.999129286020544,0.9987503747421149,0.9995975154348962,0.9989950003457471,0.998738643384911,0.9994918744301687,0.9995893986620382,0.9983285525380861,0.9980294642940094,0.9984573086064484,0.999453542215626,0.9993616448517398,0.9992252630316133,0.9986932413345877,0.9993188507325965,0.9988326236278549,0.9996571325685009,0.998788863050803,0.9991532911893214,0.9965333343833855,0.9990943653131855,0.9974795787513787,0.9994106870232122,0.999133574252047,0.9975141574363412,0.9997154349522548,0.9995625844973816,0.9970800317255176,0.9992917642146872
OBJ (25).png,0.999129286020544,1.0,0.9982042361215441,0.998932458329579,0.9992696033503341,0.999101983634834,0.9993559484414062,0.9986789771696691,0.9974050958236458,0.9982894496320012,0.9975720933841264,0.9985930659314637,0.998999333042268,0.999285236309989,0.9973651021820528,0.9986823553978657,0.9988452370442771,0.9993346100370843,0.9982912752669958,0.9991928451148356,0.9952304888283969,0.999452231926265,0.9982291411469686,0.9985124177606407,0.9991064732359713,0.9985614693318137,0.9994124008834472,0.9993361009781505,0.9978233595804841,0.9985330621998904
OBJ (1).png,0.9987503747421148,0.998204236121544,1.0,0.9981641971243402,0.9987374662975758,0.9973412045511739,0.998898131745817,0.9989368471023142,0.9958987879961643,0.9970401304826864,0.9962873108185272,0.9978816910809672,0.9975431146202134,0.9992462900107681,0.997971696977287,0.9976951013708657,0.9992831141935143,0.9986300935936395,0.997131070358706,0.9975371621170073,0.9954227094995727,0.9980679224809927,0.9964661102778889,0.9980863779048929,0.9978587813783554,0.998320212105983,0.9990345651462531,0.998694871588979,0.9970538514819457,0.9985099209622308
OBJ (38).png,0.9995975154348963,0.9989324583295788,0.9981641971243405,1.0,0.9986127788347132,0.9990142021160193,0.9992945547848887,0.9991647074854189,0.9989479937453055,0.9983584320555179,0.9988740077803374,0.9996822383020758,0.9997048359325064,0.9990495174913216,0.997993870756205,0.9994464610742536,0.9984631577385216,0.9997542541521706,0.9991835165192468,0.9994430573429863,0.9958599808162492,0.9991546725515704,0.997763765951981,0.9991277909727715,0.9990059371017832,0.9971890069968751,0.9993654375897447,0.9994304107471528,0.9973264863944897,0.9991404547047827
OBJ (12).png,0.9989950003457471,0.9992696033503341,0.9987374662975756,0.9986127788347132,0.9999999999999998,0.9987113125734728,0.9995152100045837,0.9986675976616752,0.9965258986602094,0.9987177578193731,0.9967386181556607,0.9984196339634442,0.9985273832897533,0.9994303550511004,0.9970367591268168,0.9982269132697781,0.9992447365275708,0.9992627871799857,0.997816978182238,0.9988345921177131,0.9943434639969977,0.9993958845662673,0.9985523226452983,0.998269074309459,0.9985314337747371,0.9986165619043734,0.9993701764292634,0.9992730452743956,0.998764660685059,0.9986035245438989
OBJ (21).png,0.998738643384911,0.9991019836348339,0.9973412045511739,0.9990142021160192,0.9987113125734728,1.0,0.9991668117549201,0.9981138528105141,0.9983755754075255,0.9989784958998433,0.9980608937096278,0.9989905202895767,0.9994668230409344,0.9987997250965845,0.9958515912466066,0.9986414903542589,0.9980233663221151,0.9991962633356324,0.9991938287793787,0.9991939375437179,0.9928567443034916,0.9994688531933829,0.9989002057899434,0.9974430450727279,0.9985587202031669,0.9980513133656257,0.9987136194178444,0.9989775945367357,0.9984156810878719,0.9982263203931742
OBJ (19).png,0.9994918744301687,0.9993559484414062,0.998898131745817,0.9992945547848885,0.9995152100045837,0.9991668117549201,1.0,0.9988794425552205,0.9974503336574648,0.9987437732344776,0.9972925368664868,0.9991290805168426,0.9991171762614313,0.9997000853073736,0.9976429540403435,0.9992362147502761,0.9992270570338279,0.9995939408362592,0.9984693482090569,0.9993925389945328,0.9949366627162011,0.9995551344729194,0.9984083258840917,0.9988733987381876,0.9986119972909075,0.9985296168406788,0.9994693551504664,0.9996371594715607,0.9981449424664459,0.9990798573740761
OBJ (18).png,0.9995893986620382,0.9986789771696692,0.9989368471023142,0.999164707485419,0.9986675976616752,0.998113852810514,0.9988794425552204,1.0,0.9982058571704588,0.9973487555486632,0.9986910517125388,0.9990403583382839,0.9989626580056259,0.9989100745593835,0.9987811231811636,0.9984348468995049,0.9985255151100179,0.9992963891131311,0.9986766930602247,0.9984411191705244,0.9966947272049725,0.9985534774112416,0.9967874925650417,0.9989583871788844,0.999181286230081,0.9970298387093738,0.9996669904534086,0.9992436411925776,0.9968292924722367,0.9990753857200955
OBJ (4).png,0.9983285525380861,0.9974050958236458,0.9958987879961642,0.9989479937453054,0.9965258986602095,0.9983755754075256,0.9974503336574649,0.9982058571704588,1.0,0.9973411510970497,0.9993059280231652,0.9991568289149085,0.9993265254151862,0.9968836743336968,0.996303686603778,0.9982091331295521,0.9959716841239256,0.9985013172094942,0.9993995802083763,0.998318157256408,0.9938487981016402,0.9979456694438696,0.9966582417943249,0.997373500873199,0.998357263375744,0.9951260083067289,0.9979102238395641,0.9979424218244342,0.9959662578765328,0.9976262769565777
OBJ (41).png,0.9980294642940093,0.9982894496320012,0.9970401304826864,0.9983584320555179,0.998717757819373,0.9989784958998433,0.9987437732344775,0.9973487555486631,0.9973411510970498,1.0,0.9964922572058359,0.9987045580988207,0.9986871861164289,0.9982145800657615,0.9942487709977218,0.9979344258361283,0.9977050013661511,0.9987331681161744,0.9981435122958122,0.9989094793711346,0.9908361021805524,0.9994222870962495,0.999821111645599,0.9966861441793841,0.99779346793829,0.9982889507052571,0.9979922736756194,0.9984703512214017,0.9989254835927659,0.9978606969512778
