,obj1,obj2,correlation,zscore,obj1_name,obj2_name
65,OBJ (21).png,OBJ (1).png,0.9973412045511739,-0.5535738346548099,foot,airplane
66,OBJ (19).png,OBJ (1).png,0.998898131745817,0.5182708162404854,fish,airplane
67,OBJ (18).png,OBJ (1).png,0.9989368471023142,0.5449238594347035,elephant,airplane
68,OBJ (4).png,OBJ (1).png,0.9958987879961642,-1.5465852446741932,apple,airplane
69,OBJ (41).png,OBJ (1).png,0.9970401304826864,-0.7608440467379499,spoon,airplane
70,OBJ (47).png,OBJ (1).png,0.9962873108185272,-1.2791121667207894,umbrella,airplane
71,OBJ (46).png,OBJ (1).png,0.9978816910809672,-0.18148347755063574,turtle,airplane
72,OBJ (11).png,OBJ (1).png,0.9975431146202133,-0.41457168464653704,cat,airplane
73,OBJ (16).png,OBJ (1).png,0.9992462900107681,0.7579554818027945,dog,airplane
74,OBJ (44).png,OBJ (1).png,0.997971696977287,-0.11952018289475985,tree,airplane
75,OBJ (27).png,OBJ (1).png,0.9976951013708659,-0.3099385417131318,guitar,airplane
76,OBJ (14).png,OBJ (1).png,0.9992831141935143,0.7833065730008333,cow,airplane
77,OBJ (32).png,OBJ (1).png,0.9986300935936395,0.33374371655607316,leaf,airplane
78,OBJ (23).png,OBJ (1).png,0.997131070358706,-0.6982377668810177,frog,airplane
79,OBJ (29).png,OBJ (1).png,0.9975371621170074,-0.41866960184050106,key,airplane
80,OBJ (7).png,OBJ (1).png,0.9954227094995728,-1.8743347963124888,bicycle,airplane
81,OBJ (8).png,OBJ (1).png,0.9980679224809927,-0.05327508692526059,bird,airplane
82,OBJ (22).png,OBJ (1).png,0.9964661102778889,-1.1560201912197972,fork,airplane
83,OBJ (42).png,OBJ (1).png,0.9980863779048929,-0.04056970965688222,squirrel,airplane
84,OBJ (31).png,OBJ (1).png,0.9978587813783554,-0.1972553404114213,lamp,airplane
85,OBJ (45).png,OBJ (1).png,0.998320212105983,0.12041016049837772,truck,airplane
86,OBJ (20).png,OBJ (1).png,0.999034565146253,0.6121964737561006,flower,airplane
87,OBJ (17).png,OBJ (1).png,0.998694871588979,0.37833921725719266,duck,airplane
88,OBJ (30).png,OBJ (1).png,0.9970538514819457,-0.7513980175904983,kite,airplane
89,OBJ (10).png,OBJ (1).png,0.9985099209622308,0.25101255699855024,butterfly,airplane
90,OBJ (6).png,OBJ (38).png,0.9995975154348962,0.9997516900040111,bear,rabbit
91,OBJ (25).png,OBJ (38).png,0.998932458329579,0.5419024705114206,hand,rabbit
92,OBJ (1).png,OBJ (38).png,0.9981641971243402,0.013003838540178852,airplane,rabbit
94,OBJ (12).png,OBJ (38).png,0.9986127788347132,0.32182361406152316,chair,rabbit
95,OBJ (21).png,OBJ (38).png,0.9990142021160192,0.5981778317109255,foot,rabbit
96,OBJ (19).png,OBJ (38).png,0.9992945547848885,0.7911826873815497,fish,rabbit
97,OBJ (18).png,OBJ (38).png,0.999164707485419,0.701791138535547,elephant,rabbit
98,OBJ (4).png,OBJ (38).png,0.9989479937453054,0.5525976091814104,apple,rabbit
99,OBJ (41).png,OBJ (38).png,0.9983584320555179,0.1467221477302942,spoon,rabbit
100,OBJ (47).png,OBJ (38).png,0.9988740077803375,0.501663011170017,umbrella,rabbit
101,OBJ (46).png,OBJ (38).png,0.9996822383020759,1.0580779574798327,turtle,rabbit
102,OBJ (11).png,OBJ (38).png,0.9997048359325064,1.0736349786322135,cat,rabbit
103,OBJ (16).png,OBJ (38).png,0.9990495174913216,0.6224902056244366,dog,rabbit
104,OBJ (44).png,OBJ (38).png,0.9979938707562052,-0.10425495636054112,tree,rabbit
105,OBJ (27).png,OBJ (38).png,0.9994464610742535,0.8957604378720393,guitar,rabbit
106,OBJ (14).png,OBJ (38).png,0.9984631577385216,0.21881907270216877,cow,rabbit
107,OBJ (32).png,OBJ (38).png,0.9997542541521706,1.107656257588667,leaf,rabbit
108,OBJ (23).png,OBJ (38).png,0.9991835165192468,0.7147399535900872,frog,rabbit
109,OBJ (29).png,OBJ (38).png,0.9994430573429863,0.8934171869067052,key,rabbit
110,OBJ (7).png,OBJ (38).png,0.9958599808162492,-1.5733015024101638,bicycle,rabbit
111,OBJ (8).png,OBJ (38).png,0.9991546725515703,0.6948827293274741,bird,rabbit
112,OBJ (22).png,OBJ (38).png,0.9977637659519809,-0.2626673756449355,fork,rabbit
113,OBJ (42).png,OBJ (38).png,0.9991277909727714,0.6763764841142154,squirrel,rabbit
114,OBJ (31).png,OBJ (38).png,0.9990059371017832,0.5924878987911848,lamp,rabbit
115,OBJ (45).png,OBJ (38).png,0.9971890069968751,-0.6583521023964606,truck,rabbit
116,OBJ (20).png,OBJ (38).png,0.9993654375897447,0.8399809584163265,flower,rabbit
117,OBJ (17).png,OBJ (38).png,0.9994304107471529,0.8847108157014554,duck,rabbit
118,OBJ (30).png,OBJ (38).png,0.9973264863944896,-0.5637063428205009,kite,rabbit
119,OBJ (10).png,OBJ (38).png,0.9991404547047827,0.6850946524803759,butterfly,rabbit
120,OBJ (6).png,OBJ (12).png,0.9989950003457471,0.5849586427695694,bear,chair
121,OBJ (25).png,OBJ (12).png,0.9992696033503341,0.7740052228531484,hand,chair
122,OBJ (1).png,OBJ (12).png,0.9987374662975758,0.40766294589589097,airplane,chair
123,OBJ (38).png,OBJ (12).png,0.9986127788347132,0.32182361406152316,rabbit,chair
125,OBJ (21).png,OBJ (12).png,0.9987113125734728,0.38965778202103835,foot,chair
126,OBJ (19).png,OBJ (12).png,0.9995152100045837,0.9430896729722341,fish,chair
