sub,sex,age,cond,duration,acc,rt,age_group,speed
6001,M,5.34,complete,0.1,0.8571428571428571,7.7799129166666665,5yrold,fast
6001,M,5.34,complete,0.15,0.75,6.317155,5yrold,fast
6001,M,5.34,complete,0.2,1.0,3.647546666666667,5yrold,slow
6001,M,5.34,complete,0.25,1.0,6.800161666666667,5yrold,slow
6001,M,5.34,complete,0.3,1.0,3.5730775,5yrold,intro
6002,F,5.09,perturbed,0.1,0.6842105263157895,7.291303461538462,5yrold,fast
6002,F,5.09,perturbed,0.15,1.0,3.982898333333333,5yrold,fast
6002,F,5.09,perturbed,0.2,1.0,3.91332,5yrold,slow
6002,F,5.09,perturbed,0.25,1.0,6.760565,5yrold,slow
6002,F,5.09,perturbed,0.3,1.0,8.22823,5yrold,intro
6004,M,5.06,complete,0.1,0.8333333333333334,10.477509666666666,5yrold,fast
6004,M,5.06,complete,0.15,1.0,3.9171666666666667,5yrold,fast
6004,M,5.06,complete,0.2,0.75,1.64685,5yrold,slow
6004,M,5.06,complete,0.25,1.0,4.713885,5yrold,slow
6004,M,5.06,complete,0.3,1.0,9.250995,5yrold,intro
6005,F,5.49,perturbed,0.1,1.0,5.681591875,5yrold,fast
6005,F,5.49,perturbed,0.15,1.0,1.7216283333333333,5yrold,fast
6005,F,5.49,perturbed,0.2,1.0,2.1469366666666665,5yrold,slow
6005,F,5.49,perturbed,0.25,0.8333333333333334,1.669981,5yrold,slow
6005,F,5.49,perturbed,0.3,1.0,1.8976725,5yrold,intro
6007,M,5.25,complete,0.1,0.8571428571428571,6.58143,5yrold,fast
6007,M,5.25,complete,0.15,0.7,5.128277857142857,5yrold,fast
6007,M,5.25,complete,0.2,0.75,5.456985,5yrold,slow
6007,M,5.25,complete,0.25,1.0,4.916818333333333,5yrold,slow
6007,M,5.25,complete,0.3,1.0,2.706875,5yrold,intro
6008,M,5.75,perturbed,0.25,1.0,6.245775,5yrold,slow
6008,M,5.75,perturbed,0.3,0.8,6.878572500000001,5yrold,intro
6009,M,5.52,deleted,0.1,0.7692307692307693,5.3979705,5yrold,fast
6009,M,5.52,deleted,0.15,0.75,5.710446666666667,5yrold,fast
6009,M,5.52,deleted,0.2,0.625,3.518324,5yrold,slow
6009,M,5.52,deleted,0.25,1.0,3.5331766666666664,5yrold,slow
6009,M,5.52,deleted,0.3,1.0,12.5707825,5yrold,intro
6010,M,5.54,complete,0.1,0.8,7.459108333333333,5yrold,fast
6010,M,5.54,complete,0.15,0.8,7.786725000000001,5yrold,fast
6010,M,5.54,complete,0.2,1.0,7.092033333333333,5yrold,slow
6010,M,5.54,complete,0.25,0.6,6.8768,5yrold,slow
6010,M,5.54,complete,0.3,1.0,7.37135,5yrold,intro
6011,F,5.38,perturbed,0.1,0.5714285714285714,7.83925,5yrold,fast
6011,F,5.38,perturbed,0.15,1.0,6.629666666666666,5yrold,fast
6011,F,5.38,perturbed,0.2,0.625,5.724200000000001,5yrold,slow
6011,F,5.38,perturbed,0.25,1.0,5.755533333333333,5yrold,slow
6011,F,5.38,perturbed,0.3,1.0,5.55905,5yrold,intro
6013,F,5.79,complete,0.1,0.8823529411764706,3.8766000000000003,5yrold,fast
6013,F,5.79,complete,0.15,1.0,1.9866666666666666,5yrold,fast
6013,F,5.79,complete,0.2,1.0,2.0923333333333334,5yrold,slow
6013,F,5.79,complete,0.25,0.8,1.9572500000000002,5yrold,slow
6013,F,5.79,complete,0.3,1.0,3.215,5yrold,intro
6014,F,5.47,perturbed,0.1,0.8333333333333334,8.994306666666667,5yrold,fast
6014,F,5.47,perturbed,0.15,1.0,7.887366666666666,5yrold,fast
6014,F,5.47,perturbed,0.2,0.75,17.55966666666667,5yrold,slow
6014,F,5.47,perturbed,0.25,1.0,2.0838,5yrold,slow
6014,F,5.47,perturbed,0.3,1.0,7.2046,5yrold,intro
6015,M,4.48,complete,0.1,0.7894736842105263,3.6127623333333334,4yrold,fast
6015,M,4.48,complete,0.15,1.0,1.5952316666666668,4yrold,fast
6015,M,4.48,complete,0.2,1.0,3.5555566666666665,4yrold,slow
6015,M,4.48,complete,0.25,1.0,3.550026666666666,4yrold,slow
6015,M,4.48,complete,0.3,1.0,1.6827475,4yrold,intro
6017,M,4.8,deleted,0.1,0.6666666666666666,6.3389525,4yrold,fast
6017,M,4.8,deleted,0.15,0.6,6.858666666666667,4yrold,fast
6017,M,4.8,deleted,0.2,1.0,6.432905000000001,4yrold,slow
6017,M,4.8,deleted,0.25,1.0,6.458021666666667,4yrold,slow
6017,M,4.8,deleted,0.3,0.8,7.05660625,4yrold,intro
6021,F,4.57,complete,0.1,0.9375,5.418406333333333,4yrold,fast
6021,F,4.57,complete,0.15,0.8333333333333334,5.217929,4yrold,fast
6021,F,4.57,complete,0.2,1.0,5.167155,4yrold,slow
6021,F,4.57,complete,0.25,1.0,5.37638,4yrold,slow
6021,F,4.57,complete,0.3,1.0,7.926155,4yrold,intro
6022,M,4.73,perturbed,0.1,1.0,5.56598,4yrold,fast
6022,M,4.73,perturbed,0.15,0.7777777777777778,6.467352142857143,4yrold,fast
6022,M,4.73,perturbed,0.2,0.5333333333333333,5.568232500000001,4yrold,slow
6022,M,4.73,perturbed,0.25,1.0,11.838386666666667,4yrold,slow
6022,M,4.73,perturbed,0.3,1.0,6.7730475000000006,4yrold,intro
6024,F,4.39,complete,0.1,0.6428571428571429,7.089322222222222,4yrold,fast
6024,F,4.39,complete,0.15,0.75,6.450783333333334,4yrold,fast
6024,F,4.39,complete,0.2,1.0,6.4858,4yrold,slow
6024,F,4.39,complete,0.25,1.0,5.503899999999999,4yrold,slow
6024,F,4.39,complete,0.3,1.0,5.45895,4yrold,intro
6025,M,4.54,perturbed,0.1,0.8888888888888888,11.695,4yrold,fast
6025,M,4.54,perturbed,0.15,0.8333333333333334,8.3052,4yrold,fast
6025,M,4.54,perturbed,0.2,0.8,7.29425,4yrold,slow
6025,M,4.54,perturbed,0.25,0.75,6.2441666666666675,4yrold,slow
6025,M,4.54,perturbed,0.3,1.0,18.936999999999998,4yrold,intro
6026,M,4.92,deleted,0.1,0.75,7.1215,4yrold,fast
6026,M,4.92,deleted,0.15,0.625,5.93426,4yrold,fast
6026,M,4.92,deleted,0.2,0.8,4.680975,4yrold,slow
6026,M,4.92,deleted,0.25,1.0,2.415033333333333,4yrold,slow
6026,M,4.92,deleted,0.3,0.7,5.874057142857143,4yrold,intro
6028,F,4.52,perturbed,0.1,0.9444444444444444,5.3889,4yrold,fast
6028,F,4.52,perturbed,0.15,1.0,3.5747666666666666,4yrold,fast
6028,F,4.52,perturbed,0.2,0.75,3.8056666666666668,4yrold,slow
6028,F,4.52,perturbed,0.25,1.0,2.1631,4yrold,slow
6028,F,4.52,perturbed,0.3,1.0,4.2673000000000005,4yrold,intro
6030,F,3.96,complete,0.1,0.6666666666666666,18.744875,3yrold,fast
6030,F,3.96,complete,0.15,0.7777777777777778,20.480285714285714,3yrold,fast
6030,F,3.96,complete,0.2,1.0,7.182666666666666,3yrold,slow
6030,F,3.96,complete,0.25,0.75,6.252,3yrold,slow
6030,F,3.96,complete,0.3,1.0,6.901,3yrold,intro
6033,F,3.41,complete,0.1,0.7142857142857143,7.167629,3yrold,fast
6033,F,3.41,complete,0.15,0.75,10.21681,3yrold,fast
6033,F,3.41,complete,0.2,0.5714285714285714,5.73912125,3yrold,slow
6033,F,3.41,complete,0.25,1.0,6.1980216666666665,3yrold,slow
6033,F,3.41,complete,0.3,1.0,11.390635,3yrold,intro
6036,M,3.05,complete,0.1,0.75,7.147749999999999,3yrold,fast
6036,M,3.05,complete,0.15,1.0,3.691333333333333,3yrold,fast
6036,M,3.05,complete,0.2,1.0,3.9053333333333335,3yrold,slow
6036,M,3.05,complete,0.25,0.8333333333333334,4.8198,3yrold,slow
6036,M,3.05,complete,0.3,1.0,4.9635,3yrold,intro
6040,M,3.53,perturbed,0.2,0.625,11.3414,3yrold,slow
6040,M,3.53,perturbed,0.25,0.5714285714285714,9.729875,3yrold,slow
6040,M,3.53,perturbed,0.3,0.75,12.669833333333331,3yrold,intro
6041,M,3.62,deleted,0.1,0.6363636363636364,6.841114285714285,3yrold,fast
6041,M,3.62,deleted,0.15,0.8333333333333334,10.152080000000002,3yrold,fast
6041,M,3.62,deleted,0.2,0.8333333333333334,7.96116,3yrold,slow
6041,M,3.62,deleted,0.25,0.8,7.226075,3yrold,slow
6041,M,3.62,deleted,0.3,1.0,14.5439,3yrold,intro
6047,M,5.74,perturbed,0.1,0.8666666666666667,6.089392307692307,5yrold,fast
6047,M,5.74,perturbed,0.15,0.7142857142857143,6.52898,5yrold,fast
6047,M,5.74,perturbed,0.2,1.0,5.6224,5yrold,slow
6047,M,5.74,perturbed,0.25,1.0,5.698899999999999,5yrold,slow
6047,M,5.74,perturbed,0.3,1.0,6.2956,5yrold,intro
