model,classifier,train_ims,condition,acc,ci_low,ci_high,fig_number
3yrold-fast,,,deleted,0.5998947811447811,0.5458333333333334,0.6622685185185185,0
3yrold-slow,,,deleted,0.6061708694642132,0.562443924888536,0.6535836307708889,0
4yrold-fast,,,deleted,0.7199888744296639,0.6618244604901676,0.7784254744935255,0
4yrold-slow,,,deleted,0.8256392045454546,0.7629293211129149,0.8872405133928573,0
5yrold-fast,,,deleted,0.6891875981161696,0.6170008067329497,0.7617469856532357,0
5yrold-slow,,,deleted,0.7877035662749948,0.7201473600803958,0.8549393166357451,0
Adult-fast,,,deleted,0.9013112910481332,0.848836032388664,0.9487719298245615,0
Adult-slow,,,deleted,0.9680555555555556,0.9319444444444445,1.0,0
VoneNet_FF-EcoSet,NC,300,IC,0.5661904761904762,0.5504761904761905,0.5822619047619048,1
VoneNet_FF-EcoSet-Style,logistic,300,IC,0.5441071428571429,0.5304166666666666,0.558452380952381,1
VoneNet_R-EcoSet,NC,300,IC,0.6046428571428571,0.5832723214285713,0.625297619047619,1
VoneNet_R-EcoSet-Style,KNN,300,IC,0.66125,0.640892857142857,0.6816666666666665,1
ResNext50_SAY,NC,300,IC,0.6028571428571429,0.5858928571428571,0.6192872023809524,1
CVCL,logistic,300,IC,0.5630357142857143,0.549404761904762,0.5777976190476191,1
ConvNext-ImageNet1k,Ridge,50,IC,0.6057142857142858,0.5927976190476191,0.61875,1
ViT-ImageNet1k,logistic,250,IC,0.5844642857142857,0.572202380952381,0.5971428571428571,1
ViT-DINOv2,logistic,300,IC,0.89375,0.8764285714285714,0.9103571428571429,1
ViT-CLIP,logistic,300,IC,0.8335714285714286,0.8126785714285714,0.8541666666666666,1
ResNet50-ImageNet1k,NC,300,IC,0.5835714285714285,0.5601190476190476,0.6073824404761905,2
ResNet50-ImageNet-Sketch,NC,250,IC,0.6292857142857143,0.6018437499999999,0.6560714285714286,2
ResNet50-ImageNet21k,NC,250,IC,0.7013690476190476,0.6781547619047619,0.7245238095238095,2
ResNet50-DINO,NC,300,IC,0.5842857142857143,0.5680952380952381,0.6007752976190476,2
ResNet50-YFCC15m,logistic,300,IC,0.6897619047619047,0.6704761904761906,0.7092872023809524,2
ResNet50-CLIP,logistic,250,IC,0.741904761904762,0.7214285714285714,0.7625610119047618,2
