model,classifier,train_ims,condition,acc,ci,ci_low,ci_high
ResNet50-ImageNet1k,NC,250,Outline,0.6720833333333333,0.02335978343719885,0.6487235498961345,0.695443116770532
ResNet50-ImageNet21k,NC,300,Outline,0.8206547619047619,0.02186619374585614,0.7987885681589058,0.8425209556506181
ResNet50-YFCC15m,logistic,300,Outline,0.7327380952380952,0.019861027040932643,0.7128770681971626,0.7525991222790278
ResNet50-CLIP,SVM,250,Outline,0.9060119047619047,0.01644960504386588,0.8895622997180389,0.9224615098057706
3yrold-fast,,,complete,0.720244715610355,0.07239691617282897,0.647847799437526,0.7926416317831839
3yrold-slow,,,complete,0.8391865079365081,0.06944147988841298,0.7697450280480951,0.908627987824921
4yrold-fast,,,complete,0.7366662137149622,0.08861585668816668,0.6480503570267955,0.825282070403129
4yrold-slow,,,complete,0.8646373025823835,0.07269502558622443,0.791942276996159,0.9373323281686079
5yrold-fast,,,complete,0.834794721492478,0.05453114065937844,0.7802635808330995,0.8893258621518565
5yrold-slow,,,complete,0.9337535014005602,0.039862022463455465,0.8938914789371047,0.9736155238640157
Adult-fast,,,complete,0.9919590643274854,0.008610304896100537,0.9833487594313849,1.000569369223586
Adult-slow,,,complete,0.9775,0.03055916608120953,0.9469408339187905,1.0080591660812095
