model,classifier,train_ims,condition,acc,ci,ci_low,ci_high,fig_number
VoneNet_FF-EcoSet,NC,300,Pert,0.5836904761904762,0.02122244381434889,0.5624680323761273,0.6049129200048251,1
VoneNet_FF-EcoSet-Style,KNN,300,Pert,0.5761904761904761,0.017827737246423045,0.5583627389440531,0.5940182134368992,1
VoneNet_R-EcoSet,NC,300,Pert,0.614047619047619,0.019456281626325334,0.5945913374212937,0.6335039006739442,1
VoneNet_R-EcoSet-Style,KNN,300,Pert,0.635654761904762,0.019428675613412823,0.6162260862913492,0.6550834375181748,1
ResNext50_SAY,NC,300,Pert,0.641547619047619,0.016714249577985365,0.6248333694696336,0.6582618686256044,1
CVCL,logistic,300,Pert,0.5717857142857143,0.01388322219057951,0.5579024920951349,0.5856689364762938,1
ConvNext-ImageNet1k,logistic,250,Pert,0.5949404761904762,0.015345543437569272,0.579594932752907,0.6102860196280454,1
ViT-ImageNet1k,logistic,300,Pert,0.5972619047619048,0.014666903429780605,0.5825950013321242,0.6119288081916854,1
ViT-CLIP,logistic,300,Pert,0.9720238095238095,0.00937656554593869,0.9626472439778708,0.9814003750697482,1
ResNet50-ImageNet1k,logistic,150,Pert,0.6689285714285714,0.018921541099539,0.6500070303290324,0.6878501125281105,2
ResNet50-ImageNet21k,NC,300,Pert,0.822857142857143,0.022940646324348373,0.7999164965327946,0.8457977891814913,2
ResNet50-YFCC15m,logistic,300,Pert,0.6639880952380952,0.01673526445876806,0.6472528307793272,0.6807233596968633,2
ResNet50-CLIP,logistic,300,Pert,0.8291666666666667,0.019872897969860824,0.8092937686968059,0.8490395646365275,2
resnet_100m,NC,300,Pert,0.7908928571428572,0.022828069340202966,0.7680647878026542,0.8137209264830602,2
resnet_1b,NC,300,Pert,0.773154761904762,0.023763224918465723,0.7493915369862962,0.7969179868232277,2
3yrold-fast,,,perturbed,0.6282515733053331,0.08865146269219067,0.5396001106131424,0.7169030359975238,0
3yrold-slow,,,perturbed,0.7829640068189354,0.0850213752055799,0.6979426316133555,0.8679853820245154,0
4yrold-fast,,,perturbed,0.795519140785685,0.053967014924341014,0.741552125861344,0.849486155710026,0
4yrold-slow,,,perturbed,0.8922123015873016,0.053476541451493484,0.8387357601358081,0.9456888430387951,0
5yrold-fast,,,perturbed,0.878058384284888,0.051735102710150735,0.8263232815747373,0.9297934869950387,0
5yrold-slow,,,perturbed,0.9120039682539682,0.04390260080381138,0.8681013674501569,0.9559065690577796,0
Adult-fast,,,perturbed,0.9523635477582846,0.04414907095843469,0.9082144767998499,0.9965126187167193,0
Adult-slow,,,perturbed,1.0,0.0,1.0,1.0,0
