model,classifier,train_ims,condition,acc,ci_low,ci_high,fig_number
3yrold-fast,,,deleted,0.5425714858335268,0.4710101700724227,0.6222751403587675,0
3yrold-slow,,,deleted,0.5792288239490075,0.5225549697291455,0.6362255239900111,0
4yrold-fast,,,deleted,0.717093839705582,0.6581173556939779,0.7788614234787167,0
4yrold-slow,,,deleted,0.8256392045454546,0.7630623478084416,0.8880980282738095,0
5yrold-fast,,,deleted,0.6729469852258665,0.5927999237476311,0.7528832984134318,0
5yrold-slow,,,deleted,0.7843875780932618,0.7148348119110313,0.8527900581907362,0
Adult-fast,,,deleted,0.9013112910481332,0.8497507591093119,0.9496491228070175,0
Adult-slow,,,deleted,0.9680555555555556,0.9319444444444445,1.0,0
VoneNet_FF-ImageNet-Sketch,NC,300,IC,0.5426785714285715,0.5255952380952381,0.5601785714285714,1
VoneNet_R-ImageNet-Sketch,KNN,300,IC,0.5246428571428571,0.5027380952380952,0.5465476190476191,1
