model,classifier,condition,acc
resnet50,NB,IC,0.31366666666666665
resnet50,NB,IC,0.29633333333333334
resnet50,NB,IC,0.30533333333333335
resnet50,NB,IC,0.298
resnet50,NB,IC,0.31433333333333335
resnet50,NB,IC,0.308
resnet50,NB,IC,0.30433333333333334
resnet50,NB,IC,0.319
resnet50,NB,IC,0.29833333333333334
resnet50,NB,IC,0.29333333333333333
resnet50,NB,IC,0.30633333333333335
resnet50,NB,IC,0.30333333333333334
resnet50,NB,IC,0.30666666666666664
resnet50,NB,IC,0.31566666666666665
resnet50,NB,IC,0.3006666666666667
resnet50,NB,IC,0.292
resnet50,NB,IC,0.29733333333333334
resnet50,NB,IC,0.30966666666666665
resnet50,NB,IC,0.2926666666666667
resnet50,NB,IC,0.30533333333333335
resnet50,KNN,IC,0.242
resnet50,KNN,IC,0.218
resnet50,KNN,IC,0.244
resnet50,KNN,IC,0.23533333333333334
resnet50,KNN,IC,0.23466666666666666
resnet50,KNN,IC,0.22766666666666666
resnet50,KNN,IC,0.23533333333333334
resnet50,KNN,IC,0.23533333333333334
resnet50,KNN,IC,0.21566666666666667
resnet50,KNN,IC,0.231
resnet50,KNN,IC,0.22033333333333333
resnet50,KNN,IC,0.23633333333333334
resnet50,KNN,IC,0.22866666666666666
resnet50,KNN,IC,0.234
resnet50,KNN,IC,0.22233333333333333
resnet50,KNN,IC,0.22766666666666666
resnet50,KNN,IC,0.23133333333333334
resnet50,KNN,IC,0.21733333333333332
resnet50,KNN,IC,0.23266666666666666
resnet50,KNN,IC,0.22666666666666666
resnet50,logistic,IC,0.399
resnet50,logistic,IC,0.38333333333333336
resnet50,logistic,IC,0.38166666666666665
resnet50,logistic,IC,0.402
resnet50,logistic,IC,0.39466666666666667
resnet50,logistic,IC,0.3913333333333333
resnet50,logistic,IC,0.378
resnet50,logistic,IC,0.392
resnet50,logistic,IC,0.37833333333333335
resnet50,logistic,IC,0.38033333333333336
resnet50,logistic,IC,0.387
resnet50,logistic,IC,0.388
resnet50,logistic,IC,0.396
resnet50,logistic,IC,0.3863333333333333
resnet50,logistic,IC,0.38166666666666665
resnet50,logistic,IC,0.38766666666666666
resnet50,logistic,IC,0.391
resnet50,logistic,IC,0.38433333333333336
resnet50,logistic,IC,0.379
resnet50,logistic,IC,0.3893333333333333
resnet50,NC,IC,0.25466666666666665
resnet50,NC,IC,0.25333333333333335
resnet50,NC,IC,0.248
resnet50,NC,IC,0.25233333333333335
resnet50,NC,IC,0.26366666666666666
resnet50,NC,IC,0.258
resnet50,NC,IC,0.254
resnet50,NC,IC,0.265
resnet50,NC,IC,0.244
resnet50,NC,IC,0.24266666666666667
resnet50,NC,IC,0.254
resnet50,NC,IC,0.25466666666666665
resnet50,NC,IC,0.25666666666666665
resnet50,NC,IC,0.2633333333333333
resnet50,NC,IC,0.251
resnet50,NC,IC,0.24666666666666667
resnet50,NC,IC,0.24566666666666667
resnet50,NC,IC,0.243
resnet50,NC,IC,0.241
resnet50,NC,IC,0.26366666666666666
resnet50,SVM,IC,0.427
resnet50,SVM,IC,0.4093333333333333
resnet50,SVM,IC,0.41833333333333333
resnet50,SVM,IC,0.411
resnet50,SVM,IC,0.4166666666666667
resnet50,SVM,IC,0.403
resnet50,SVM,IC,0.4196666666666667
resnet50,SVM,IC,0.4216666666666667
resnet50,SVM,IC,0.4036666666666667
resnet50,SVM,IC,0.4003333333333333
resnet50,SVM,IC,0.4176666666666667
resnet50,SVM,IC,0.4136666666666667
resnet50,SVM,IC,0.4186666666666667
resnet50,SVM,IC,0.432
resnet50,SVM,IC,0.414
resnet50,SVM,IC,0.4156666666666667
resnet50,SVM,IC,0.41233333333333333
resnet50,SVM,IC,0.397
resnet50,SVM,IC,0.41933333333333334
resnet50,SVM,IC,0.4186666666666667
resnet50,Ridge,IC,0.43266666666666664
resnet50,Ridge,IC,0.4156666666666667
resnet50,Ridge,IC,0.4226666666666667
resnet50,Ridge,IC,0.43033333333333335
resnet50,Ridge,IC,0.43933333333333335
resnet50,Ridge,IC,0.41733333333333333
resnet50,Ridge,IC,0.4176666666666667
resnet50,Ridge,IC,0.446
resnet50,Ridge,IC,0.4136666666666667
resnet50,Ridge,IC,0.41733333333333333
resnet50,Ridge,IC,0.41933333333333334
resnet50,Ridge,IC,0.433
resnet50,Ridge,IC,0.43366666666666664
resnet50,Ridge,IC,0.42966666666666664
resnet50,Ridge,IC,0.427
resnet50,Ridge,IC,0.42233333333333334
resnet50,Ridge,IC,0.42433333333333334
resnet50,Ridge,IC,0.42033333333333334
resnet50,Ridge,IC,0.413
resnet50,Ridge,IC,0.431
