model,classifier,condition,acc
clip_resnet_15m,NB,IC,0.8276666666666667
clip_resnet_15m,NB,IC,0.8283333333333334
clip_resnet_15m,NB,IC,0.8226666666666667
clip_resnet_15m,NB,IC,0.826
clip_resnet_15m,NB,IC,0.826
clip_resnet_15m,NB,IC,0.821
clip_resnet_15m,NB,IC,0.819
clip_resnet_15m,NB,IC,0.833
clip_resnet_15m,NB,IC,0.812
clip_resnet_15m,NB,IC,0.8163333333333334
clip_resnet_15m,NB,IC,0.8186666666666667
clip_resnet_15m,NB,IC,0.8276666666666667
clip_resnet_15m,NB,IC,0.8223333333333334
clip_resnet_15m,NB,IC,0.8266666666666667
clip_resnet_15m,NB,IC,0.8326666666666667
clip_resnet_15m,NB,IC,0.8183333333333334
clip_resnet_15m,NB,IC,0.8256666666666667
clip_resnet_15m,NB,IC,0.8273333333333334
clip_resnet_15m,NB,IC,0.818
clip_resnet_15m,NB,IC,0.823
clip_resnet_15m,KNN,IC,0.847
clip_resnet_15m,KNN,IC,0.848
clip_resnet_15m,KNN,IC,0.8483333333333334
clip_resnet_15m,KNN,IC,0.8423333333333334
clip_resnet_15m,KNN,IC,0.8483333333333334
clip_resnet_15m,KNN,IC,0.839
clip_resnet_15m,KNN,IC,0.8413333333333334
clip_resnet_15m,KNN,IC,0.85
clip_resnet_15m,KNN,IC,0.8366666666666667
clip_resnet_15m,KNN,IC,0.8443333333333334
clip_resnet_15m,KNN,IC,0.8546666666666667
clip_resnet_15m,KNN,IC,0.846
clip_resnet_15m,KNN,IC,0.8463333333333334
clip_resnet_15m,KNN,IC,0.852
clip_resnet_15m,KNN,IC,0.8446666666666667
clip_resnet_15m,KNN,IC,0.8556666666666667
clip_resnet_15m,KNN,IC,0.8513333333333334
clip_resnet_15m,KNN,IC,0.8433333333333334
clip_resnet_15m,KNN,IC,0.845
clip_resnet_15m,KNN,IC,0.8456666666666667
clip_resnet_15m,logistic,IC,0.842
clip_resnet_15m,logistic,IC,0.8496666666666667
clip_resnet_15m,logistic,IC,0.848
clip_resnet_15m,logistic,IC,0.847
clip_resnet_15m,logistic,IC,0.8543333333333333
clip_resnet_15m,logistic,IC,0.835
clip_resnet_15m,logistic,IC,0.8443333333333334
clip_resnet_15m,logistic,IC,0.853
clip_resnet_15m,logistic,IC,0.8316666666666667
clip_resnet_15m,logistic,IC,0.8473333333333334
clip_resnet_15m,logistic,IC,0.8536666666666667
clip_resnet_15m,logistic,IC,0.849
clip_resnet_15m,logistic,IC,0.8423333333333334
clip_resnet_15m,logistic,IC,0.846
clip_resnet_15m,logistic,IC,0.849
clip_resnet_15m,logistic,IC,0.8533333333333334
clip_resnet_15m,logistic,IC,0.843
clip_resnet_15m,logistic,IC,0.8423333333333334
clip_resnet_15m,logistic,IC,0.8466666666666667
clip_resnet_15m,logistic,IC,0.8486666666666667
clip_resnet_15m,NC,IC,0.816
clip_resnet_15m,NC,IC,0.8193333333333334
clip_resnet_15m,NC,IC,0.811
clip_resnet_15m,NC,IC,0.814
clip_resnet_15m,NC,IC,0.8146666666666667
clip_resnet_15m,NC,IC,0.8093333333333333
clip_resnet_15m,NC,IC,0.8056666666666666
clip_resnet_15m,NC,IC,0.8223333333333334
