model,classifier,condition,acc
SayCam,NB,IC,0.09166666666666666
SayCam,NB,IC,0.08866666666666667
SayCam,NB,IC,0.09933333333333333
SayCam,NB,IC,0.09733333333333333
SayCam,NB,IC,0.08833333333333333
SayCam,NB,IC,0.08733333333333333
SayCam,NB,IC,0.09466666666666666
SayCam,NB,IC,0.088
SayCam,NB,IC,0.086
SayCam,NB,IC,0.086
SayCam,NB,IC,0.08766666666666667
SayCam,NB,IC,0.09033333333333333
SayCam,NB,IC,0.09166666666666666
SayCam,NB,IC,0.08733333333333333
SayCam,NB,IC,0.08933333333333333
SayCam,NB,IC,0.092
SayCam,NB,IC,0.08966666666666667
SayCam,NB,IC,0.097
SayCam,NB,IC,0.09633333333333334
SayCam,NB,IC,0.09133333333333334
SayCam,KNN,IC,0.19166666666666668
SayCam,KNN,IC,0.18633333333333332
SayCam,KNN,IC,0.20066666666666666
SayCam,KNN,IC,0.19666666666666666
SayCam,KNN,IC,0.19333333333333333
SayCam,KNN,IC,0.19166666666666668
SayCam,KNN,IC,0.19166666666666668
SayCam,KNN,IC,0.192
SayCam,KNN,IC,0.19433333333333333
SayCam,KNN,IC,0.18966666666666668
SayCam,KNN,IC,0.19733333333333333
SayCam,KNN,IC,0.188
SayCam,KNN,IC,0.18933333333333333
SayCam,KNN,IC,0.19866666666666666
SayCam,KNN,IC,0.208
SayCam,KNN,IC,0.19366666666666665
SayCam,KNN,IC,0.19466666666666665
SayCam,KNN,IC,0.19166666666666668
SayCam,KNN,IC,0.202
SayCam,KNN,IC,0.19066666666666668
SayCam,logistic,IC,0.09533333333333334
SayCam,logistic,IC,0.09366666666666666
SayCam,logistic,IC,0.09066666666666667
SayCam,logistic,IC,0.09666666666666666
SayCam,logistic,IC,0.09433333333333334
SayCam,logistic,IC,0.08633333333333333
SayCam,logistic,IC,0.09466666666666666
SayCam,logistic,IC,0.09633333333333334
SayCam,logistic,IC,0.09433333333333334
SayCam,logistic,IC,0.088
SayCam,logistic,IC,0.08333333333333333
SayCam,logistic,IC,0.08566666666666667
SayCam,logistic,IC,0.095
SayCam,logistic,IC,0.09333333333333334
SayCam,logistic,IC,0.089
SayCam,logistic,IC,0.096
SayCam,logistic,IC,0.08733333333333333
SayCam,logistic,IC,0.09533333333333334
SayCam,logistic,IC,0.09
SayCam,logistic,IC,0.08833333333333333
SayCam,NC,IC,0.044333333333333336
SayCam,NC,IC,0.045
SayCam,NC,IC,0.046
SayCam,NC,IC,0.041666666666666664
SayCam,NC,IC,0.04733333333333333
SayCam,NC,IC,0.037
SayCam,NC,IC,0.04533333333333334
SayCam,NC,IC,0.04466666666666667
SayCam,NC,IC,0.042333333333333334
SayCam,NC,IC,0.042333333333333334
SayCam,NC,IC,0.042666666666666665
SayCam,NC,IC,0.041
SayCam,NC,IC,0.03666666666666667
SayCam,NC,IC,0.041
SayCam,NC,IC,0.04833333333333333
SayCam,NC,IC,0.043666666666666666
SayCam,NC,IC,0.04533333333333334
SayCam,NC,IC,0.036333333333333336
SayCam,NC,IC,0.04533333333333334
SayCam,NC,IC,0.042
SayCam,SVM,IC,0.236
SayCam,SVM,IC,0.229
SayCam,SVM,IC,0.23766666666666666
SayCam,SVM,IC,0.23233333333333334
SayCam,SVM,IC,0.22766666666666666
SayCam,SVM,IC,0.217
SayCam,SVM,IC,0.23266666666666666
SayCam,SVM,IC,0.23533333333333334
SayCam,SVM,IC,0.23166666666666666
SayCam,SVM,IC,0.21866666666666668
SayCam,SVM,IC,0.22833333333333333
SayCam,SVM,IC,0.22566666666666665
SayCam,SVM,IC,0.23366666666666666
SayCam,SVM,IC,0.22566666666666665
SayCam,SVM,IC,0.231
SayCam,SVM,IC,0.241
SayCam,SVM,IC,0.23933333333333334
SayCam,SVM,IC,0.22766666666666666
SayCam,SVM,IC,0.22833333333333333
SayCam,SVM,IC,0.236
SayCam,Ridge,IC,0.13533333333333333
SayCam,Ridge,IC,0.13333333333333333
SayCam,Ridge,IC,0.13866666666666666
SayCam,Ridge,IC,0.13866666666666666
SayCam,Ridge,IC,0.12666666666666668
SayCam,Ridge,IC,0.12233333333333334
SayCam,Ridge,IC,0.13266666666666665
SayCam,Ridge,IC,0.129
SayCam,Ridge,IC,0.12833333333333333
SayCam,Ridge,IC,0.13
SayCam,Ridge,IC,0.12133333333333333
SayCam,Ridge,IC,0.12466666666666666
SayCam,Ridge,IC,0.13266666666666665
SayCam,Ridge,IC,0.12866666666666668
SayCam,Ridge,IC,0.12633333333333333
SayCam,Ridge,IC,0.13266666666666665
SayCam,Ridge,IC,0.13366666666666666
SayCam,Ridge,IC,0.13466666666666666
SayCam,Ridge,IC,0.12966666666666668
SayCam,Ridge,IC,0.12833333333333333
