sub,sex,test_date,dob,age,age_group,cond,exclude
6000,F,5/28/2021,6/24/2015,5.93,5,3,
6001,M,3/8/2021,11/6/2015,5.34,5,1,
6002,F,4/16/2021,3/15/2016,5.09,5,2,
6003,F,4/16/2021,10/20/2015,5.49,5,3,
6004,M,4/22/2021,4/1/2016,5.06,5,1,
6005,F,4/22/2021,10/26/2015,5.49,5,2,
6006,M,6/1/2021,1/27/2016,5.34,5,3,
6007,M,6/3/2021,3/2/2016,5.25,5,1,
6008,M,6/6/2021,9/5/2015,5.75,5,2,1
6009,M,6/8/2021,12/2/2015,5.52,5,3,
6010,M,6/8/2021,11/23/2015,5.54,5,1,
6011,F,6/17/2021,1/30/2016,5.38,5,2,
6012,F,7/7/2021,12/10/2015,5.57,5,3,
6013,F,7/22/2021,10/9/2015,5.79,5,1,
6014,F,7/12/2021,1/22/2016,5.47,5,2,
6015,M,3/9/2021,9/13/2016,4.48,4,1,
6016,M,4/2/2021,1/21/2017,4.19,4,2,
6017,M,4/5/2021,6/16/2016,4.8,4,3,
6018,F,4/5/2021,12/24/2016,4.28,4,1,1
6019,M,4/15/2021,7/10/2016,4.76,4,2,1
6020,M,4/16/2021,7/13/2016,4.76,4,3,
6021,F,5/24/2021,10/28/2016,4.57,4,1,
6022,M,5/26/2021,9/1/2016,4.73,4,2,
6023,M,6/1/2021,7/11/2016,4.89,4,3,
6024,F,6/17/2021,1/27/2017,4.39,4,1,
6025,M,6/23/2021,12/8/2016,4.54,4,2,
6026,M,7/9/2021,8/6/2016,4.92,4,3,
6027,F,7/9/2021,5/26/2017,4.12,4,1,
6028,F,7/12/2021,1/2/2017,4.52,4,2,
6029,F,7/12/2021,3/2/2017,4.36,4,3,
6030,F,4/16/2021,5/2/2017,3.96,3,1,
6031,M,5/20/2021,8/27/2017,3.73,3,2,
6032,M,4/16/2021,10/25/2017,3.47,3,3,1
6033,F,5/20/2021,12/20/2017,3.41,3,1,
6035,F,5/28/2021,8/13/2017,3.79,3,3,
6036,M,6/9/2021,5/22/2018,3.05,3,1,
6037,M,6/24/2021,6/4/2018,3.06,3,2,
6038,M,7/1/2021,2/21/2018,3.36,3,3,
6039,F,7/7/2021,7/24/2017,3.95,3,1,
6040,M,7/11/2021,12/29/2017,3.53,3,2,
6041,M,7/11/2021,11/25/2017,3.62,3,3,
6042,M,7/22/2021,9/13/2017,3.85,3,1,
6043,F,7/22/2021,4/22/2017,4.25,3,2,
6044,F,8/9/2021,10/9/2017,3.83,3,3,
6045,M,9/2/2021,2/24/2016,5.52,5,3,
6046,F,9/30/2021,9/22/2016,5.02,5,1,
6047,M,10/5/2021,1/7/2016,5.74,5,2,
6048,F,10/19/2021,10/14/2016,5.01,5,3,
6049,M,11/15/2021,2/26/2016,5.72,5,1,
6050,M,11/19/2021,12/25/2015,5.9,5,2,
6051,F,1/11/2022,10/31/2016,5.2,5,3,
6052,M,1/11/2022,11/14/2016,5.16,5,1,
6053,M,1/15/2022,2/2/2016,5.95,5,2,
6054,F,1/20/2022,5/25/2016,5.66,5,3,
6055,M,2/15/2022,4/2/2016,5.87,5,1,
6056,M,2/16/2022,5/28/2016,5.72,5,2,
6057,M,4/20/2022,9/23/2016,5.57,5,3,
6058,F,4/21/2022,12/2/2016,5.38,5,1,
6059,M,4/25/2022,7/17/2016,5.77,5,2,
6060,M,7/30/2021,1/15/2017,4.54,4,1,
6061,F,8/11/2021,2/3/2017,4.52,4,2,
6062,M,8/12/2021,10/25/2016,4.8,4,3,
6063,F,9/13/2021,9/17/2016,4.99,4,1,
6064,M,9/14/2021,2/4/2017,4.61,4,2,
6065,M,9/14/2021,11/13/2016,4.84,4,3,
6066,M,9/30/2021,6/2/2017,4.33,4,1,
6067,M,10/18/2021,12/19/2016,4.83,4,2,
6068,F,10/19/2021,7/3/2017,4.3,4,3,
6069,M,10/23/2021,,4.5,4,1,
6070,F,11/16/2021,3/8/2017,4.69,4,2,
6071,F,1/10/2022,7/8/2017,4.51,4,3,
6072,M,1/20/2022,6/21/2017,4.58,4,1,
6073,F,1/20/2022,2/3/2017,4.96,4,2,
6074,M,2/11/2022,12/22/2017,4.14,4,3,
6075,F,8/9/2021,12/20/2017,3.64,3,1,
6076,F,8/12/2021,7/2/2018,3.11,3,2,1
6077,F,8/17/2021,1/26/2018,3.56,3,3,1
6078,F,8/18/2021,10/10/2017,3.85,3,1,
6079,F,8/31/2021,10/23/2017,3.85,3,2,
6080,F,9/1/2021,10/16/2017,3.88,3,3,
6081,M,9/3/2021,3/18/2018,3.46,3,1,
6082,M,9/10/2021,12/23/2017,3.72,3,2,
6083,F,9/14/2021,9/18/2017,3.99,3,3,
6084,M,9/14/2021,5/2/2018,3.37,3,1,
6085,F,9/17/2021,9/20/2017,3.99,3,2,
6086,F,10/4/2021,12/26/2017,3.77,3,3,
6087,F,11/19/2021,1/19/2018,3.83,3,1,1
6088,F,1/10/2022,9/30/2018,3.28,3,2,
6089,F,1/20/2022,12/29/2018,3.06,3,3,
6090,M,4/20/2022,5/24/2016,5.91,5,3,
6091,M,6/14/2022,11/28/2016,5.54,5,1,
6092,F,6/14/2022,11/28/2016,5.54,5,2,
6093,F,8/22/2022,1/31/2017,5.56,5,3,
6094,F,1/19/2023,11/25/2017,5.15,5,1,
6095,M,1/20/2023,11/25/2017,5.15,5,2,
6096,M,1/20/2023,5/24/2017,5.66,5,3,
6097,F,2/17/2023,7/2/2017,5.63,5,1,
6098,M,4/3/2023,9/24/2017,5.52,5,2,
6099,F,4/4/2023,11/15/2017,5.38,5,3,
6100,F,4/6/2023,9/19/2017,5.54,5,1,
6101,M,4/24/2023,4/4/2018,5.05,5,2,
6102,F,4/24/2023,9/16/2017,5.6,5,3,
6103,F,5/4/2023,10/25/2017,5.52,5,1,
6104,F,5/4/2023,8/18/2017,5.71,5,2,
6105,M,2/14/2022,8/4/2017,4.53,4,1,
6106,F,2/15/2022,6/28/2017,4.64,4,2,
6107,M,2/16/2022,3/26/2017,4.9,4,3,
6108,F,3/15/2022,5/3/2017,4.87,4,1,
6109,F,4/21/2022,8/15/2017,4.68,4,2,
6110,M,6/15/2022,5/1/2018,4.12,4,3,
6111,F,6/16/2022,5/4/2018,4.12,4,1,1
6112,F,7/21/2022,2/12/2018,4.44,4,2,
6113,M,8/22/2022,10/7/2017,4.87,4,3,
6114,F,1/20/2023,11/5/2018,4.21,4,1,
6115,M,1/25/2023,1/20/2019,4.01,4,2,
6116,F,1/25/2023,11/3/2018,4.23,4,3,
6117,F,2/16/2023,9/21/2018,4.41,4,1,
6118,M,2/16/2023,10/3/2018,4.38,4,2,
6119,M,2/17/2023,3/5/2018,3.95,4,3,
6120,M,2/14/2022,1/5/2019,3.11,3,1,
6121,F,2/15/2022,7/20/2018,3.58,3,2,
6123,F,3/17/2022,12/27/2018,3.22,3,1,
6124,F,3/18/2022,5/19/2018,3.83,3,2,
6125,M,4/20/2022,1/20/2019,3.25,3,3,1
6126,F,4/21/2022,5/11/2016,5.94,3,1,
6127,M,4/21/2022,4/18/2019,3.01,3,2,1
6128,M,4/21/2022,3/3/2019,3.13,3,3,
6129,F,6/14/2022,8/1/2018,3.87,3,1,
6130,F,6/16/2022,2/10/2019,3.35,3,2,
6131,M,8/22/2022,1/1/2019,3.64,3,3,
6132,M,8/22/2022,9/27/2018,3.9,3,1,
6133,F,1/19/2023,9/5/2019,3.37,3,2,
6135,M,2/16/2023,12/4/2019,3.2,3,3,
6136,F,2/17/2023,5/11/2018,4.77,4,3,
6137,M,2/22/2023,2/26/2019,3.99,3,2,
6138,F,2/22/2023,8/15/2018,4.52,4,2,
60972,M,1/24/2023,12/7/2017,5.13,5,1,
60682,F,10/19/2021,7/3/2017,4.3,4,3,
