Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,9.536,0,0,0,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,,,,,,,,,,,
0.3,left,1,5.8263,0,1,1,0,1,shoe,Stim/Prac (1).jpg,phone,left,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,,,,,,,,,,,
0.25,right,1,4.9148,0,2,2,2,1,balloon,Stim/Prac (3).jpg,computer,right,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,,,,,,,,,,,
0.25,right,1,5.1179,0,3,3,1,1,castle,Stim/Prac (2).png,car,right,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,,,,,,,,,,,
0.3,left,1,8.0198,,,,,,cat,Stim/OBJ (11)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,frog,0.2954,0,0,0,6,1,11,Animate,3
0.3,left,1,6.7743,,,,,,umbrella,Stim/OBJ (47)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,scissors,0.2963,0,1,1,29,1,47,Inanimate,3
0.25,left,1,5.7142,,,,,,chair,Stim/OBJ (12)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,bicycle,0.2926,0,2,2,7,1,12,Inanimate,3
0.25,left,1,6.9766,,,,,,airplane,Stim/OBJ (1)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,umbrella,0.2499,0,3,3,0,1,1,Inanimate,3
0.25,left,0,6.0885,,,,,,truck,Stim/OBJ (45)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,spoon,0.24,0,4,4,27,1,45,Inanimate,3
0.25,right,1,5.7918,,,,,,fork,Stim/OBJ (22)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,glasses,0.2543,0,5,5,15,1,22,Inanimate,3
0.25,left,0,6.5203,,,,,,bicycle,Stim/OBJ (7)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,watch,0.2507,0,6,6,3,1,7,Inanimate,3
0.25,right,1,6.5316,,,,,,flower,Stim/OBJ (20)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,airplane,0.2456,0,7,7,13,1,20,Inanimate,3
0.25,left,1,6.24,,,,,,frog,Stim/OBJ (23)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,ant,0.241,0,8,8,16,1,23,Animate,3
0.2,left,1,7.998,,,,,,leaf,Stim/OBJ (32)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,kite,0.2454,0,9,9,22,1,32,Inanimate,3
0.2,left,1,6.7471,,,,,,butterfly,Stim/OBJ (10)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,mouse,0.2011,0,10,10,5,1,10,Animate,3
0.2,right,1,7.6232,,,,,,spoon,Stim/OBJ (41)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,glasses,0.2023,0,11,11,24,1,41,Inanimate,3
0.15,left,1,6.9602,,,,,,tree,Stim/OBJ (44)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,airplane,0.2064,0,12,12,26,1,44,Inanimate,3
0.15,left,0,7.8168,,,,,,apple,Stim/OBJ (4)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,kite,0.1472,0,13,13,1,1,4,Inanimate,3
0.15,left,1,5.6549,,,,,,fish,Stim/OBJ (19)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,bird,0.1462,0,14,14,12,1,19,Animate,3
0.15,right,1,6.1599,,,,,,duck,Stim/OBJ (17)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,foot,0.1449,0,15,15,10,1,17,Animate,3
0.1,left,1,7.9856,,,,,,turtle,Stim/OBJ (46)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,duck,0.1392,0,16,16,28,1,46,Animate,3
0.1,left,0,4.281,,,,,,key,Stim/OBJ (29)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,tree,0.1015,0,17,17,19,1,29,Inanimate,3
0.1,right,1,7.1705,,,,,,lamp,Stim/OBJ (31)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,flower,0.093,0,18,18,21,1,31,Inanimate,3
0.1,right,1,6.974,,,,,,cow,Stim/OBJ (14)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,fish,0.0968,0,19,19,8,1,14,Animate,3
0.1,right,1,5.8633,,,,,,elephant,Stim/OBJ (18)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,fish,0.0937,0,20,20,11,1,18,Animate,3
0.1,left,0,5.7309,,,,,,hand,Stim/OBJ (25)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,dog,0.0876,0,21,21,17,1,25,Animate,3
0.1,left,0,6.9937,,,,,,dog,Stim/OBJ (16)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,turtle,0.1032,0,22,22,9,1,16,Animate,3
0.15,left,0,6.7958,,,,,,foot,Stim/OBJ (21)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,deer,0.1024,0,23,23,14,1,21,Animate,3
0.15,right,1,5.5195,,,,,,bird,Stim/OBJ (8)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,elephant,0.1489,0,24,24,4,1,8,Animate,3
0.15,right,0,8.1303,,,,,,rabbit,Stim/OBJ (38)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,squirrel,0.1449,0,25,25,23,1,38,Animate,3
0.15,left,0,6.1419,,,,,,squirrel,Stim/OBJ (42)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,kangaroo,0.1491,0,26,26,25,1,42,Animate,3
0.15,left,1,5.959,,,,,,guitar,Stim/OBJ (27)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,left,leaf,0.1546,0,27,27,18,1,27,Inanimate,3
0.15,right,1,5.0839,,,,,,bear,Stim/OBJ (6)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,dog,0.1465,0,28,28,2,1,6,Animate,3
0.1,right,1,4.9956,,,,,,kite,Stim/OBJ (30)_IC.png,,,6102,2023-04-24_16h07.15.516,KorNet_kid_deleted,2020.2.0,MacIntel,60,right,spoon,0.149,0,29,29,20,1,30,Inanimate,3
