Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,right,0,32.5096,0,0,0,0,1,shoe,Stim/Prac (1).jpg,phone,left,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,,,,,,,,,,,
0.3,left,1,33.185,0,1,1,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,,,,,,,,,,,
0.3,right,1,20.9838,0,2,2,1,1,castle,Stim/Prac (2).png,car,right,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,,,,,,,,,,,
0.25,right,1,15.864,0,3,3,2,1,balloon,Stim/Prac (3).jpg,computer,right,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,,,,,,,,,,,
0.3,right,1,22.5815,,,,,,cat,Stim/OBJ (11)_IC.png,,,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,right,kangaroo,0.2995,0,0,0,6,1,11,Animate,3
0.3,right,0,28.7451,,,,,,fork,Stim/OBJ (22)_IC.png,,,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,left,spoon,0.299,0,1,1,15,1,22,Inanimate,3
0.3,right,1,9.9812,,,,,,tree,Stim/OBJ (44)_IC.png,,,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,right,kite,0.2959,0,2,2,26,1,44,Inanimate,3
0.3,left,1,7.3426,,,,,,bicycle,Stim/OBJ (7)_IC.png,,,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,left,guitar,0.2886,0,3,3,3,1,7,Inanimate,3
0.25,left,1,4.8215,,,,,,umbrella,Stim/OBJ (47)_IC.png,,,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,left,truck,0.2944,0,4,4,29,1,47,Inanimate,3
0.25,right,1,5.9484,,,,,,lamp,Stim/OBJ (31)_IC.png,,,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,right,scissors,0.2482,0,5,5,21,1,31,Inanimate,3
0.25,right,1,4.9134,,,,,,bird,Stim/OBJ (8)_IC.png,,,6023,2021-06-01_17h05.03.919,KorNet_kid_deleted,2020.2.4,MacIntel,60,6023,right,duck,0.2514,0,6,6,4,1,8,Animate,3
