Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,original_subnumber,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,right,0,6.7128,0,0,0,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,,,,,,,,,,,
0.3,left,1,3.3649,0,1,1,0,1,shoe,Stim/Prac (1).jpg,phone,left,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,,,,,,,,,,,
0.3,left,0,2.5105,0,2,2,2,1,balloon,Stim/Prac (3).jpg,computer,right,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,,,,,,,,,,,
0.3,right,1,2.2442,0,3,3,1,1,castle,Stim/Prac (2).png,car,right,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,,,,,,,,,,,
0.3,right,1,4.6436,,,,,,chair,Stim/OBJ (12)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,bicycle,0.3013,0,0,0,7,1,12,Inanimate,3
0.3,left,1,2.7749,,,,,,bicycle,Stim/OBJ (7)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,glasses,0.3001,0,1,1,3,1,7,Inanimate,3
0.25,right,1,3.3402,,,,,,apple,Stim/OBJ (4)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,toothbrush,0.2994,0,2,2,1,1,4,Inanimate,3
0.25,right,1,2.3777,,,,,,leaf,Stim/OBJ (32)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,guitar,0.2498,0,3,3,22,1,32,Inanimate,3
0.25,right,1,1.8419,,,,,,flower,Stim/OBJ (20)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,watch,0.2493,0,4,4,13,1,20,Inanimate,3
0.2,right,1,2.8358,,,,,,guitar,Stim/OBJ (27)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,chair,0.2498,0,5,5,18,1,27,Inanimate,3
0.2,left,1,1.3184,,,,,,bird,Stim/OBJ (8)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,left,ant,0.2002,0,6,6,4,1,8,Animate,3
0.2,right,1,1.9181,,,,,,dog,Stim/OBJ (16)_IC.png,,,60682,6068,2021-10-19_17h03.25.763,KorNet_kid_deleted,2020.2.4,Win32,60,right,butterfly,0.2004,0,7,7,9,1,16,Animate,3
