Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,3.06596,0,0,0,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,,,,,,,,,,,
0.3,right,1,2.12297,0,1,1,1,1,castle,Stim/Prac (2).png,car,right,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,,,,,,,,,,,
0.25,right,1,3.24741,0,2,2,2,1,balloon,Stim/Prac (3).jpg,computer,right,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,,,,,,,,,,,
0.25,left,1,1.774925,0,3,3,0,1,shoe,Stim/Prac (1).jpg,phone,left,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,,,,,,,,,,,
0.3,left,1,9.905435,,,,,,chair,Stim/OBJ (12)_IC.png,,,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,left,watch,0.296865,0,0,0,7,1,12,Inanimate,3
0.3,right,0,12.900535,,,,,,lamp,Stim/OBJ (31)_IC.png,,,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,left,airplane,0.2911,0,1,1,21,1,31,Inanimate,3
0.3,left,1,3.386145,,,,,,dog,Stim/OBJ (16)_IC.png,,,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,left,deer,0.293885,0,2,2,9,1,16,Animate,3
0.3,left,1,3.877975,,,,,,cow,Stim/OBJ (14)_IC.png,,,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,left,bear,0.292145,0,3,3,8,1,14,Animate,3
0.25,left,1,2.7729,,,,,,flower,Stim/OBJ (20)_IC.png,,,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,left,lamp,0.303665,0,4,4,13,1,20,Inanimate,3
0.25,right,1,7.840035,,,,,,rabbit,Stim/OBJ (38)_IC.png,,,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,right,deer,0.25572,0,5,5,23,1,38,Animate,3
0.25,right,1,7.59589,,,,,,squirrel,Stim/OBJ (42)_IC.png,,,6020,2021-04-16_17h11.27.741,KorNet_kid_deleted,2020.2.4,Win32,60,6020,right,elephant,0.252675,0,6,6,25,1,42,Animate,3
