Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,right,1,8.43291,0,0,0,1,1,castle,Stim/Prac (2).png,car,right,6005,2021-04-22_14h08.07.050,KorNet_kid_perturbed,2020.2.4,Win32,60,6005,,,,,,,,,,,
0.3,right,1,1.978745,0,1,1,2,1,balloon,Stim/Prac (3).jpg,computer,right,6005,2021-04-22_14h08.07.050,KorNet_kid_perturbed,2020.2.4,Win32,60,6005,,,,,,,,,,,
0.25,left,1,2.368385,0,2,2,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6005,2021-04-22_14h08.07.050,KorNet_kid_perturbed,2020.2.4,Win32,60,6005,,,,,,,,,,,
0.25,left,1,2.3272,0,3,3,0,1,shoe,Stim/Prac (1).jpg,phone,left,6005,2021-04-22_14h08.07.050,KorNet_kid_perturbed,2020.2.4,Win32,60,6005,,,,,,,,,,,
0.3,left,1,2.38244,,,,,,bear,Stim/OBJ (6)_ripple.png,,,6005,2021-04-22_14h08.07.050,KorNet_kid_perturbed,2020.2.4,Win32,60,6005,left,bird,0.298625,0,0,0,2,1,6,Animate,2
0.3,left,1,1.412905,,,,,,apple,Stim/OBJ (4)_ripple.png,,,6005,2021-04-22_14h08.07.050,KorNet_kid_perturbed,2020.2.4,Win32,60,6005,left,flower,0.29871,0,1,1,1,1,4,Inanimate,2
0.25,left,1,1.5493,,,,,,spoon,Stim/OBJ (41)_ripple.png,,,6005,2021-04-22_14h08.07.050,KorNet_kid_perturbed,2020.2.4,Win32,60,6005,left,watch,0.297865,0,2,2,24,1,41,Inanimate,2
0.25,left,1,1.20337,,,,,,bird,Stim/OBJ (8)_ripple.png,,,6005,2021-04-22_14h08.07.050,KorNet_kid_perturbed,2020.2.4,Win32,60,6005,left,penguin,0.26075,0,3,3,4,1,8,Animate,2
0.25,left,1,2.22365,,,,,,fish,Stim/OBJ (19)_ripple.png,,,6005,2021-04-22_14h08.07.050,KorNet_kid_perturbed,2020.2.4,Win32,60,6005,left,rabbit,0.249425,0,4,4,12,1,19,Animate,2
0.25,right,0,8.749705,,,,,,key,Stim/OBJ (29)_ripple.png,,,6005,2021-04-22_14h08.07.050,KorNet_kid_perturbed,2020.2.4,Win32,60,6005,left,tree,0.24388,0,5,5,19,1,29,Inanimate,2
