Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate
0.3,right,0,9.4229,0,0,0,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6127,2022-04-21_16h47.49.079,KorNet_kid_perturbed,2020.2.4,MacIntel,60
0.3,left,0,2.151,0,1,1,2,1,balloon,Stim/Prac (3).jpg,computer,right,6127,2022-04-21_16h47.49.079,KorNet_kid_perturbed,2020.2.4,MacIntel,60
