Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,6.5485,0,0,0,0,1,shoe,Stim/Prac (1).jpg,phone,left,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,,,,,,,,,,,
0.3,right,1,5.7263,0,1,1,2,1,balloon,Stim/Prac (3).jpg,computer,right,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,,,,,,,,,,,
0.25,right,1,4.8344,0,2,2,1,1,castle,Stim/Prac (2).png,car,right,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,,,,,,,,,,,
0.25,left,1,5.9645,0,3,3,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,,,,,,,,,,,
0.3,left,1,6.3185,,,,,,cow,Stim/OBJ (14)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,turtle,0.3,0,0,0,8,1,14,Animate,2
0.3,right,0,61.9709,,,,,,kite,Stim/OBJ (30)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,key,0.3048,0,1,1,20,1,30,Inanimate,2
0.3,right,1,7.0661,,,,,,key,Stim/OBJ (29)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,glasses,0.2917,0,2,2,19,1,29,Inanimate,2
0.3,right,1,4.9999,,,,,,foot,Stim/OBJ (21)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,deer,0.2923,0,3,3,14,1,21,Animate,2
0.25,right,1,4.6153,,,,,,dog,Stim/OBJ (16)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,rabbit,0.2898,0,4,4,9,1,16,Animate,2
0.25,right,1,4.9293,,,,,,flower,Stim/OBJ (20)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,leaf,0.2532,0,5,5,13,1,20,Inanimate,2
0.25,right,1,4.0711,,,,,,cat,Stim/OBJ (11)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,fish,0.2554,0,6,6,6,1,11,Animate,2
0.25,right,0,5.5722,,,,,,chair,Stim/OBJ (12)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,truck,0.2415,0,7,7,7,1,12,Inanimate,2
0.25,right,1,5.1256,,,,,,bicycle,Stim/OBJ (7)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,airplane,0.2411,0,8,8,3,1,7,Inanimate,2
0.25,right,1,4.3533,,,,,,fork,Stim/OBJ (22)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,chair,0.2431,0,9,9,15,1,22,Inanimate,2
0.2,right,1,4.0004,,,,,,duck,Stim/OBJ (17)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,fish,0.251,0,10,10,10,1,17,Animate,2
0.2,left,1,10.9113,,,,,,tree,Stim/OBJ (44)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,key,0.1926,0,11,11,26,1,44,Inanimate,2
0.2,left,1,5.445,,,,,,lamp,Stim/OBJ (31)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,umbrella,0.2041,0,12,12,21,1,31,Inanimate,2
0.15,left,1,4.6858,,,,,,elephant,Stim/OBJ (18)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,cow,0.2025,0,13,13,11,1,18,Animate,2
0.15,left,1,4.8474,,,,,,turtle,Stim/OBJ (46)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,butterfly,0.1483,0,14,14,28,1,46,Animate,2
0.15,right,0,4.5707,,,,,,bird,Stim/OBJ (8)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,rabbit,0.1403,0,15,15,4,1,8,Animate,2
0.15,left,0,6.1231,,,,,,truck,Stim/OBJ (45)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,watch,0.145,0,16,16,27,1,45,Inanimate,2
0.15,left,1,4.3116,,,,,,rabbit,Stim/OBJ (38)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,mouse,0.1508,0,17,17,23,1,38,Animate,2
0.15,left,1,5.6714,,,,,,frog,Stim/OBJ (23)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,ant,0.1517,0,18,18,16,1,23,Animate,2
0.1,left,1,4.4641,,,,,,apple,Stim/OBJ (4)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,guitar,0.1416,0,19,19,1,1,4,Inanimate,2
0.1,left,0,16.2051,,,,,,guitar,Stim/OBJ (27)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,airplane,0.0966,0,20,20,18,1,27,Inanimate,2
0.1,left,1,5.6352,,,,,,bear,Stim/OBJ (6)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,dog,0.0896,0,21,21,2,1,6,Animate,2
0.1,left,1,22.0278,,,,,,butterfly,Stim/OBJ (10)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,fish,0.0899,0,22,22,5,1,10,Animate,2
0.1,left,1,4.6165,,,,,,leaf,Stim/OBJ (32)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,bicycle,0.1047,0,23,23,22,1,32,Inanimate,2
0.1,left,0,5.5704,,,,,,hand,Stim/OBJ (25)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,butterfly,0.0909,0,24,24,17,1,25,Animate,2
0.1,right,0,5.8971,,,,,,fish,Stim/OBJ (19)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,squirrel,0.0913,0,25,25,12,1,19,Animate,2
0.15,right,0,5.4843,,,,,,squirrel,Stim/OBJ (42)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,duck,0.0922,0,26,26,25,1,42,Animate,2
0.15,right,1,5.5437,,,,,,spoon,Stim/OBJ (41)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,key,0.1435,0,27,27,24,1,41,Inanimate,2
0.15,right,1,4.6492,,,,,,umbrella,Stim/OBJ (47)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,right,guitar,0.1384,0,28,28,29,1,47,Inanimate,2
0.1,left,1,4.7302,,,,,,airplane,Stim/OBJ (1)_ripple.png,,,6070,2021-11-16_13h03.55.702,KorNet_kid_perturbed,2020.2.4,Win32,60,left,guitar,0.148,0,29,29,0,1,1,Inanimate,2
