airplane,hook,hair slide,matchstick,nail,bow
apple,hook,microphone,chain,whistle,knot
bear,hook,ringneck snake,microphone,nematode,chain
bicycle,hook,stethoscope,whistle,chain,loupe
bird,hook,bow,microphone,spider monkey,corkscrew
butterfly,hair slide,sunglasses,hook,sunglass,fire screen
cat,hook,bow,ringneck snake,envelope,matchstick
chair,hook,rule,nail,beaker,microphone
cow,hook,envelope,rule,bassoon,street sign
dog,hook,nematode,bassoon,microphone,jersey
duck,hook,mouse,American egret,nematode,ringneck snake
elephant,hook,bolo tie,microphone,whistle,modem
fish,hook,bow,whistle,bassoon,thunder snake
flower,hook,envelope,nematode,hair slide,knot
foot,microphone,hook,bow,bolo tie,bassoon
fork,hook,microphone,hair slide,bow,spatula
frog,hook,bow,envelope,banded gecko,microphone
hand,hook,spatula,shovel,envelope,microphone
guitar,microphone,hook,whistle,bow,torch
key,hook,nematode,thunder snake,ringneck snake,rule
kite,swing,hook,bow,scale,tripod
lamp,hook,table lamp,lampshade,scale,microphone
leaf,hook,paper towel,envelope,chain,night snake
rabbit,hook,chain,whistle,envelope,nematode
spoon,hook,hair slide,stethoscope,microphone,spatula
squirrel,hook,nematode,paper towel,bow,thunder snake
tree,hook,chain,nematode,whistle,paper towel
truck,hook,safety pin,chain,shovel,scale
turtle,hook,whistle,chain,loupe,stethoscope
umbrella,hook,stethoscope,microphone,nail,bolo tie
