airplane,wall clock,analog clock,nail,space shuttle,airliner
apple,hook,envelope,whistle,microphone,modem
bear,bow,hook,nematode,parachute,sea snake
bicycle,hook,rhinoceros beetle,tripod,power drill,bow
bird,hook,bow,kite,parachute,black stork
butterfly,wall clock,analog clock,black widow,hair slide,barn spider
cat,envelope,hook,sea snake,bow,nematode
chair,hook,chime,microphone,nail,rule
cow,hook,bow,bassoon,corkscrew,tripod
dog,hook,nematode,rule,matchstick,spider monkey
duck,hook,mouse,nematode,crane,microphone
elephant,bolo tie,tripod,microphone,hook,bow
fish,bow,hook,matchstick,whistle,tripod
flower,envelope,nematode,hook,matchstick,binder
foot,bow,microphone,hook,bassoon,tripod
fork,hook,nail,shovel,spatula,puck
frog,bow,hook,microphone,whistle,envelope
hand,nail,matchstick,bow,walking stick,hook
guitar,hook,nematode,bow,matchstick,chain
key,hook,matchstick,nematode,envelope,ringneck snake
kite,swing,bow,tripod,analog clock,wall clock
lamp,parachute,hook,wall clock,nail,table lamp
leaf,hook,bow,ant,envelope,scorpion
rabbit,hook,bow,envelope,matchstick,rhinoceros beetle
spoon,hook,spatula,nail,shovel,envelope
squirrel,bow,hook,spider monkey,parachute,kite
tree,hook,chain,corkscrew,whistle,nematode
truck,hook,bow,pole,wall clock,assault rifle
turtle,bow,long-horned beetle,hook,whistle,microphone
umbrella,bow,long-horned beetle,hook,parachute,analog clock
