airplane,apple,0.6,None,None,None,None,None
airplane,bicycle,0.5,None,None,None,None,None
airplane,chair,0.5,None,None,None,None,None
airplane,flower,0.6,None,None,None,None,None
airplane,fork,0.6,None,None,None,None,None
airplane,guitar,0.8,None,None,None,None,None
airplane,key,0.6,None,None,None,None,None
airplane,kite,0.6,None,None,None,None,None
airplane,lamp,0.9,None,None,None,None,None
airplane,leaf,0.7,None,None,None,None,None
airplane,spoon,0.8,None,None,None,None,None
airplane,tree,0.8,None,None,None,None,None
airplane,truck,0.8,None,None,None,None,None
airplane,umbrella,0.9,None,None,None,None,None
apple,bicycle,0.7,None,None,None,None,None
apple,chair,0.8,None,None,None,None,None
apple,flower,0.7,None,None,None,None,None
apple,fork,1.0,None,None,None,None,None
apple,guitar,0.7,None,None,None,None,None
apple,key,0.5,None,None,None,None,None
apple,kite,0.6,None,None,None,None,None
apple,lamp,0.8,None,None,None,None,None
apple,leaf,0.4,None,None,None,None,None
apple,spoon,0.6,None,None,None,None,None
apple,tree,0.6,None,None,None,None,None
apple,truck,0.5,None,None,None,None,None
apple,umbrella,0.5,None,None,None,None,None
bear,bird,1.0,None,None,None,None,None
bear,butterfly,1.0,None,None,None,None,None
bear,cat,0.8,None,None,None,None,None
bear,cow,0.6,None,None,None,None,None
bear,dog,0.7,None,None,None,None,None
bear,duck,1.0,None,None,None,None,None
bear,elephant,0.7,None,None,None,None,None
bear,fish,0.8,None,None,None,None,None
bear,foot,1.0,None,None,None,None,None
bear,frog,0.5,None,None,None,None,None
bear,hand,0.5,None,None,None,None,None
bear,rabbit,0.7,None,None,None,None,None
bear,squirrel,0.6,None,None,None,None,None
bear,turtle,0.5,None,None,None,None,None
bicycle,chair,0.9,None,None,None,None,None
bicycle,flower,0.6,None,None,None,None,None
bicycle,fork,1.0,None,None,None,None,None
bicycle,guitar,1.0,None,None,None,None,None
bicycle,key,0.8,None,None,None,None,None
bicycle,kite,0.8,None,None,None,None,None
bicycle,lamp,0.8,None,None,None,None,None
bicycle,leaf,0.7,None,None,None,None,None
bicycle,spoon,0.9,None,None,None,None,None
bicycle,tree,0.6,None,None,None,None,None
bicycle,truck,0.5,None,None,None,None,None
bicycle,umbrella,0.6,None,None,None,None,None
bird,butterfly,1.0,None,None,None,None,None
bird,cat,0.5,None,None,None,None,None
bird,cow,0.6,None,None,None,None,None
bird,dog,0.9,None,None,None,None,None
bird,duck,0.7,None,None,None,None,None
bird,elephant,1.0,None,None,None,None,None
bird,fish,0.7,None,None,None,None,None
bird,foot,0.8,None,None,None,None,None
bird,frog,0.6,None,None,None,None,None
bird,hand,0.5,None,None,None,None,None
bird,rabbit,0.6,None,None,None,None,None
bird,squirrel,0.5,None,None,None,None,None
bird,turtle,0.5,None,None,None,None,None
butterfly,cat,0.8,None,None,None,None,None
butterfly,cow,0.9,None,None,None,None,None
butterfly,dog,0.9,None,None,None,None,None
butterfly,duck,0.9,None,None,None,None,None
butterfly,elephant,1.0,None,None,None,None,None
butterfly,fish,1.0,None,None,None,None,None
butterfly,foot,0.7,None,None,None,None,None
butterfly,frog,0.8,None,None,None,None,None
butterfly,hand,0.6,None,None,None,None,None
butterfly,rabbit,0.9,None,None,None,None,None
butterfly,squirrel,0.5,None,None,None,None,None
butterfly,turtle,0.5,None,None,None,None,None
cat,cow,0.7,None,None,None,None,None
cat,dog,0.6,None,None,None,None,None
cat,duck,0.7,None,None,None,None,None
cat,elephant,0.6,None,None,None,None,None
cat,fish,0.6,None,None,None,None,None
cat,foot,0.7,None,None,None,None,None
cat,frog,0.5,None,None,None,None,None
cat,hand,0.5,None,None,None,None,None
cat,rabbit,0.6,None,None,None,None,None
cat,squirrel,0.5,None,None,None,None,None
cat,turtle,0.5,None,None,None,None,None
chair,flower,0.8,None,None,None,None,None
chair,fork,0.8,None,None,None,None,None
chair,guitar,0.8,None,None,None,None,None
chair,key,0.9,None,None,None,None,None
chair,kite,0.5,None,None,None,None,None
chair,lamp,0.9,None,None,None,None,None
chair,leaf,0.9,None,None,None,None,None
chair,spoon,0.6,None,None,None,None,None
chair,tree,0.7,None,None,None,None,None
chair,truck,0.5,None,None,None,None,None
chair,umbrella,0.5,None,None,None,None,None
cow,dog,0.6,None,None,None,None,None
cow,duck,1.0,None,None,None,None,None
cow,elephant,0.5,None,None,None,None,None
cow,fish,0.7,None,None,None,None,None
cow,foot,0.7,None,None,None,None,None
cow,frog,0.5,None,None,None,None,None
cow,hand,0.5,None,None,None,None,None
cow,rabbit,0.5,None,None,None,None,None
cow,squirrel,0.5,None,None,None,None,None
cow,turtle,0.6,None,None,None,None,None
dog,duck,0.7,None,None,None,None,None
dog,elephant,0.8,None,None,None,None,None
dog,fish,1.0,None,None,None,None,None
dog,foot,0.7,None,None,None,None,None
dog,frog,0.5,None,None,None,None,None
dog,hand,0.5,None,None,None,None,None
dog,rabbit,0.6,None,None,None,None,None
dog,squirrel,0.5,None,None,None,None,None
dog,turtle,0.5,None,None,None,None,None
duck,elephant,0.6,None,None,None,None,None
duck,fish,0.7,None,None,None,None,None
duck,foot,0.8,None,None,None,None,None
duck,frog,0.5,None,None,None,None,None
duck,hand,0.5,None,None,None,None,None
duck,rabbit,0.8,None,None,None,None,None
duck,squirrel,0.6,None,None,None,None,None
duck,turtle,0.5,None,None,None,None,None
elephant,fish,0.6,None,None,None,None,None
elephant,foot,0.6,None,None,None,None,None
elephant,frog,0.5,None,None,None,None,None
elephant,hand,0.7,None,None,None,None,None
elephant,rabbit,0.5,None,None,None,None,None
