sub,sex,age,cond,duration,acc,rt,imputed,top_speed,age_group,speed
6000,F,5.93,deleted,0.1,0.6923076923076923,2.2410705555555555,0,0.19999999999999998,5yrold,fast
6000,F,5.93,deleted,0.15,1.0,3.459395,0,0.19999999999999998,5yrold,fast
6000,F,5.93,deleted,0.2,1.0,4.719155,0,0.19999999999999998,5yrold,slow
6000,F,5.93,deleted,0.25,0.625,4.265791,0,0.19999999999999998,5yrold,slow
6000,F,5.93,deleted,0.3,0.6666666666666666,5.7505575,0,0.19999999999999998,5yrold,intro
6001,M,5.34,complete,0.1,0.8571428571428571,7.7799129166666665,0,0.19999999999999998,5yrold,fast
6001,M,5.34,complete,0.15,0.75,6.317155,0,0.19999999999999998,5yrold,fast
6001,M,5.34,complete,0.2,1.0,3.647546666666667,0,0.19999999999999998,5yrold,slow
6001,M,5.34,complete,0.25,1.0,6.800161666666667,0,0.19999999999999998,5yrold,slow
6001,M,5.34,complete,0.3,1.0,3.5730775,0,0.19999999999999998,5yrold,intro
6002,F,5.09,perturbed,0.1,0.6842105263157895,7.291303461538462,0,0.19999999999999998,5yrold,fast
6002,F,5.09,perturbed,0.15,1.0,3.982898333333333,0,0.19999999999999998,5yrold,fast
6002,F,5.09,perturbed,0.2,1.0,3.91332,0,0.19999999999999998,5yrold,slow
6002,F,5.09,perturbed,0.25,1.0,6.760565,0,0.19999999999999998,5yrold,slow
6002,F,5.09,perturbed,0.3,1.0,8.22823,0,0.19999999999999998,5yrold,intro
6003,F,5.49,deleted,0.1,1.0,6.73286,0,0.19999999999999998,5yrold,fast
6003,F,5.49,deleted,0.15,0.5714285714285714,6.9483749999999995,0,0.19999999999999998,5yrold,fast
6003,F,5.49,deleted,0.2,0.7272727272727273,7.228905625,0,0.19999999999999998,5yrold,slow
6003,F,5.49,deleted,0.25,1.0,6.402383333333333,0,0.19999999999999998,5yrold,slow
6003,F,5.49,deleted,0.3,0.625,7.710032,0,0.19999999999999998,5yrold,intro
6004,M,5.06,complete,0.1,0.8333333333333334,10.477509666666666,0,0.19999999999999998,5yrold,fast
6004,M,5.06,complete,0.15,1.0,3.9171666666666667,0,0.19999999999999998,5yrold,fast
6004,M,5.06,complete,0.2,0.75,1.64685,0,0.19999999999999998,5yrold,slow
6004,M,5.06,complete,0.25,1.0,4.713885,0,0.19999999999999998,5yrold,slow
6004,M,5.06,complete,0.3,1.0,9.250995,0,0.19999999999999998,5yrold,intro
6005,F,5.49,perturbed,0.1,1.0,5.681591875,0,0.19999999999999998,5yrold,fast
6005,F,5.49,perturbed,0.15,1.0,1.7216283333333333,0,0.19999999999999998,5yrold,fast
6005,F,5.49,perturbed,0.2,1.0,2.1469366666666665,0,0.19999999999999998,5yrold,slow
6005,F,5.49,perturbed,0.25,0.8333333333333334,1.669981,0,0.19999999999999998,5yrold,slow
6005,F,5.49,perturbed,0.3,1.0,1.8976725,0,0.19999999999999998,5yrold,intro
6006,M,5.34,deleted,0.15,0.375,5.461365000000001,0,0.15,5yrold,fast
6006,M,5.34,deleted,0.2,0.6666666666666666,6.203548333333333,0,0.15,5yrold,slow
6006,M,5.34,deleted,0.25,0.7777777777777778,5.957450714285714,0,0.15,5yrold,slow
