model,classifier,train_ims,condition,acc,ci,ci_low,ci_high
vonenet_r_ecoset,NC,300,IC,0.6086904761904762,0.021230799677488303,0.5874596765129879,0.6299212758679645
vonenet_r_stylized-ecoset,KNN,300,IC,0.6608928571428572,0.020128342827073483,0.6407645143157837,0.6810211999699306
vonenet_ff_ecoset,NC,300,IC,0.5661904761904762,0.015863177584459785,0.5503272986060165,0.582053653774936
vonenet_ff_stylized-ecoset,logistic,300,IC,0.5441071428571429,0.014023345193698926,0.5300837976634439,0.5581304880508419
ShapeNet,KNN,300,IC,0.6258333333333334,0.018432212487196533,0.6074011208461368,0.6442655458205299
SayCam,NC,300,IC,0.6028571428571429,0.016854277871732305,0.5860028649854105,0.6197114207288752
convnext,Ridge,50,IC,0.6057142857142858,0.012761298517658835,0.5929529871966269,0.6184755842319446
vit,NC,10,IC,0.5717857142857143,0.009220305063143973,0.5625654092225704,0.5810060193488583
3yrold_fast,,,deleted,0.597989787810968,0.09669105985573231,0.5012987279552357,0.6946808476667004
3yrold_slow,,,deleted,0.6498882863024185,0.05178815562040303,0.5981001306820154,0.7016764419228215
4yrold_fast,,,deleted,0.717093839705582,0.06133498831554759,0.6557588513900344,0.7784288280211297
4yrold_slow,,,deleted,0.8256392045454546,0.06358082613325025,0.7620583784122044,0.8892200306787048
5yrold_fast,,,deleted,0.6827912316819551,0.08197817267498533,0.6008130590069698,0.7647694043569404
5yrold_slow,,,deleted,0.7983592539148096,0.06825659814708258,0.7301026557677269,0.8666158520618922
