Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType
0.3,left,1,1.81632,0,0,0,0,1,shoe,Stim/Prac (1).jpg,phone,left,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,
0.3,right,1,1.962085,0,1,1,1,1,castle,Stim/Prac (2).png,car,right,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,
0.25,left,1,2.946565,0,2,2,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,
0.25,right,1,0.96531,0,3,3,2,1,balloon,Stim/Prac (3).jpg,computer,right,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,
0.3,left,1,1.746185,,,,,,cat,Stim/Complete/OBJ (11).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,frog,0,0,0,6,1,11,Animate
0.3,right,1,1.61931,,,,,,tree,Stim/Complete/OBJ (44).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,flower,0,1,1,26,1,44,Inanimate
0.25,right,1,1.81877,,,,,,lamp,Stim/Complete/OBJ (31).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,airplane,0,2,2,21,1,31,Inanimate
0.25,left,1,2.343665,,,,,,leaf,Stim/Complete/OBJ (32).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,left,bicycle,0,3,3,22,1,32,Inanimate
0.25,right,1,6.487645,,,,,,cow,Stim/Complete/OBJ (14).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,ant,0,4,4,8,1,14,Animate
0.2,right,1,2.51729,,,,,,spoon,Stim/Complete/OBJ (41).png,,,6015,2021-03-09_10h33.01.319,KorNet_kid_complete,2020.2.4,Win32,60,right,airplane,0,5,5,24,1,41,Inanimate
