Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType
0.3,right,1,1.198865,0,0,0,1,1,castle,Stim/Prac (2).png,car,right,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,
0.3,right,1,0.61786,0,1,1,2,1,balloon,Stim/Prac (3).jpg,computer,right,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,
0.25,left,1,0.921615,0,2,2,0,1,shoe,Stim/Prac (1).jpg,phone,left,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,
0.25,left,1,0.788125,0,3,3,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,
0.3,right,1,0.88766,,,,,,lamp,Stim/Complete/OBJ (31).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,fork,0.301045,0,0,0,21,1,31,Inanimate
0.3,left,1,0.84923,,,,,,duck,Stim/Complete/OBJ (17).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,kangaroo,0.2999,0,1,1,10,1,17,Animate
0.25,left,1,0.535345,,,,,,foot,Stim/Complete/OBJ (21).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,ant,0.298535,0,2,2,14,1,21,Animate
0.25,left,1,0.48235,,,,,,butterfly,Stim/Complete/OBJ (10).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,foot,0.251935,0,3,3,5,1,10,Animate
0.25,left,1,0.467325,,,,,,apple,Stim/Complete/OBJ (4).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,umbrella,0.25059,0,4,4,1,1,4,Inanimate
0.2,left,1,0.52249,,,,,,dog,Stim/Complete/OBJ (16).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,ant,0.250545,0,5,5,9,1,16,Animate
0.2,right,1,0.78159,,,,,,kite,Stim/Complete/OBJ (30).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,truck,0.199035,0,6,6,20,1,30,Inanimate
0.2,left,1,0.5828,,,,,,tree,Stim/Complete/OBJ (44).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,key,0.201415,0,7,7,26,1,44,Inanimate
0.15,left,1,0.48172,,,,,,frog,Stim/Complete/OBJ (23).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,left,bird,0.200125,0,8,8,16,1,23,Animate
0.15,right,1,0.731625,,,,,,rabbit,Stim/Complete/OBJ (38).png,,,0001,2021-03-29_19h38.29.580,KorNet_kid_complete,2020.2.4,MacIntel,60,right,deer,0.15207,0,9,9,23,1,38,Animate
