Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType
0.3,left,1,24.02821,0,0,0,0,1,shoe,Stim/Prac (1).jpg,phone,left,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,
0.3,left,1,10.56898,0,1,1,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,
0.25,right,1,8.06106,0,2,2,2,1,balloon,Stim/Prac (3).jpg,computer,right,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,
0.25,right,1,7.14061,0,3,3,1,1,castle,Stim/Prac (2).png,car,right,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,
0.3,left,1,3.459735,,,,,,truck,Stim/Complete/OBJ (45).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,leaf,0,0,0,27,1,45,Inanimate
0.3,left,1,3.68642,,,,,,airplane,Stim/Complete/OBJ (1).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,umbrella,0,1,1,0,1,1,Inanimate
0.25,left,1,7.92993,,,,,,foot,Stim/Complete/OBJ (21).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,bird,0,2,2,14,1,21,Animate
0.25,left,1,5.99442,,,,,,bicycle,Stim/Complete/OBJ (7).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,tree,0,3,3,3,1,7,Inanimate
0.25,left,1,6.476135,,,,,,kite,Stim/Complete/OBJ (30).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,spoon,0,4,4,20,1,30,Inanimate
0.2,left,1,4.06368,,,,,,umbrella,Stim/Complete/OBJ (47).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,leaf,0,5,5,29,1,47,Inanimate
0.2,right,1,2.99763,,,,,,chair,Stim/Complete/OBJ (12).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,key,0,6,6,7,1,12,Inanimate
0.2,right,1,3.88133,,,,,,guitar,Stim/Complete/OBJ (27).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,apple,0,7,7,18,1,27,Inanimate
0.15,left,1,3.885815,,,,,,apple,Stim/Complete/OBJ (4).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,watch,0,8,8,1,1,4,Inanimate
0.15,left,1,2.93051,,,,,,leaf,Stim/Complete/OBJ (32).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,apple,0,9,9,22,1,32,Inanimate
0.15,left,0,14.04441,,,,,,squirrel,Stim/Complete/OBJ (42).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,hand,0,10,10,25,1,42,Animate
0.15,left,1,10.69008,,,,,,elephant,Stim/Complete/OBJ (18).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,duck,0,11,11,11,1,18,Animate
0.15,left,1,5.649355,,,,,,spoon,Stim/Complete/OBJ (41).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,airplane,0,12,12,24,1,41,Inanimate
0.15,left,0,5.71215,,,,,,frog,Stim/Complete/OBJ (23).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,ant,0,13,13,16,1,23,Animate
0.15,right,1,6.060405,,,,,,tree,Stim/Complete/OBJ (44).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,lamp,0,14,14,26,1,44,Inanimate
0.15,right,1,8.686765,,,,,,butterfly,Stim/Complete/OBJ (10).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,cow,0,15,15,5,1,10,Animate
0.1,left,1,4.742785,,,,,,hand,Stim/Complete/OBJ (25).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,kangaroo,0,16,16,17,1,25,Animate
0.1,left,1,3.93542,,,,,,cat,Stim/Complete/OBJ (11).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,ant,0,17,17,6,1,11,Animate
0.1,left,1,3.82992,,,,,,flower,Stim/Complete/OBJ (20).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,airplane,0,18,18,13,1,20,Inanimate
0.1,left,1,14.28296,,,,,,turtle,Stim/Complete/OBJ (46).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,penguin,0,19,19,28,1,46,Animate
0.1,left,0,7.61631,,,,,,lamp,Stim/Complete/OBJ (31).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,tree,0,20,20,21,1,31,Inanimate
0.1,right,1,4.74679,,,,,,duck,Stim/Complete/OBJ (17).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,squirrel,0,21,21,10,1,17,Animate
0.1,right,1,4.924365,,,,,,fork,Stim/Complete/OBJ (22).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,flower,0,22,22,15,1,22,Inanimate
0.1,left,0,11.40868,,,,,,rabbit,Stim/Complete/OBJ (38).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,fish,0,23,23,23,1,38,Animate
0.1,right,1,6.58548,,,,,,dog,Stim/Complete/OBJ (16).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,rabbit,0,24,24,9,1,16,Animate
0.1,right,1,14.141745,,,,,,bird,Stim/Complete/OBJ (8).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,cow,0,25,25,4,1,8,Animate
0.1,right,1,3.65271,,,,,,bear,Stim/Complete/OBJ (6).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,dog,0,26,26,2,1,6,Animate
0.1,right,1,11.580325,,,,,,key,Stim/Complete/OBJ (29).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,bicycle,0,27,27,19,1,29,Inanimate
0.1,right,1,14.285485,,,,,,cow,Stim/Complete/OBJ (14).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,right,duck,0,28,28,8,1,14,Animate
0.1,left,1,6.65097,,,,,,fish,Stim/Complete/OBJ (19).png,,,6001,2021-03-08_13h04.12.343,KorNet_kid_complete,2020.2.4,Win32,60,left,cow,0,29,29,12,1,19,Animate
